EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHWARZBURG, GERMANY (STAID: 4633)
Blended and updated with sources:28688 29708 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4633, 29708,19510101,  -17,    0
  4633, 29708,19510102,   -6,    0
  4633, 29708,19510103,   10,    0
  4633, 29708,19510104,   27,    0
  4633, 29708,19510105,   51,    0
  4633, 29708,19510106,   44,    0
  4633, 29708,19510107,   58,    0
  4633, 29708,19510108,   48,    0
  4633, 29708,19510109,   33,    0
  4633, 29708,19510110,    6,    0
  4633, 29708,19510111,   76,    0
  4633, 29708,19510112,   54,    0
  4633, 29708,19510113,   43,    0
  4633, 29708,19510114,   54,    0
  4633, 29708,19510115,   36,    0
  4633, 29708,19510116,   29,    0
  4633, 29708,19510117,   29,    0
  4633, 29708,19510118,   54,    0
  4633, 29708,19510119,   44,    0
  4633, 29708,19510120,   37,    0
  4633, 29708,19510121,    1,    0
  4633, 29708,19510122,    8,    0
  4633, 29708,19510123,   24,    0
  4633, 29708,19510124,   18,    0
  4633, 29708,19510125,    5,    0
  4633, 29708,19510126,    8,    0
  4633, 29708,19510127,   26,    0
  4633, 29708,19510128,   20,    0
  4633, 29708,19510129,   -1,    0
  4633, 29708,19510130,    0,    0
  4633, 29708,19510131,    3,    0
  4633, 29708,19510201,   18,    0
