EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STIEGE, GERMANY (STAID: 4666)
Blended and updated with sources:29084 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4666, 29084,19470101,-9999,    9
  4666, 29084,19470102,-9999,    9
  4666, 29084,19470103,-9999,    9
  4666, 29084,19470104,-9999,    9
  4666, 29084,19470105,-9999,    9
  4666, 29084,19470106,-9999,    9
  4666, 29084,19470107,-9999,    9
  4666, 29084,19470108,-9999,    9
  4666, 29084,19470109,-9999,    9
  4666, 29084,19470110,-9999,    9
  4666, 29084,19470111,-9999,    9
  4666, 29084,19470112,-9999,    9
  4666, 29084,19470113,-9999,    9
  4666, 29084,19470114,-9999,    9
  4666, 29084,19470115,-9999,    9
  4666, 29084,19470116,-9999,    9
  4666, 29084,19470117,-9999,    9
  4666, 29084,19470118,-9999,    9
  4666, 29084,19470119,-9999,    9
  4666, 29084,19470120,-9999,    9
  4666, 29084,19470121,-9999,    9
  4666, 29084,19470122,-9999,    9
  4666, 29084,19470123,-9999,    9
  4666, 29084,19470124,-9999,    9
  4666, 29084,19470125,-9999,    9
  4666, 29084,19470126,-9999,    9
  4666, 29084,19470127,-9999,    9
  4666, 29084,19470128,-9999,    9
  4666, 29084,19470129,-9999,    9
  4666, 29084,19470130,-9999,    9
  4666, 29084,19470131,-9999,    9
  4666, 29084,19470201,-9999,    9
  4666, 29084,19470202,-9999,    9
  4666, 29084,19470203,-9999,    9
  4666, 29084,19470204,-9999,    9
  4666, 29084,19470205,-9999,    9
  4666, 29084,19470206,-9999,    9
  4666, 29084,19470207,-9999,    9
  4666, 29084,19470208,-9999,    9
  4666, 29084,19470209,-9999,    9
  4666, 29084,19470210,-9999,    9
  4666, 29084,19470211,-9999,    9
  4666, 29084,19470212,-9999,    9
  4666, 29084,19470213,-9999,    9
  4666, 29084,19470214,-9999,    9
  4666, 29084,19470215,-9999,    9
  4666, 29084,19470216,-9999,    9
  4666, 29084,19470217,-9999,    9
  4666, 29084,19470218,-9999,    9
  4666, 29084,19470219,-9999,    9
  4666, 29084,19470220,-9999,    9
  4666, 29084,19470221,-9999,    9
  4666, 29084,19470222,-9999,    9
  4666, 29084,19470223,-9999,    9
  4666, 29084,19470224,-9999,    9
  4666, 29084,19470225,-9999,    9
  4666, 29084,19470226,-9999,    9
  4666, 29084,19470227,-9999,    9
  4666, 29084,19470228,-9999,    9
  4666, 29084,19470301,-9999,    9
  4666, 29084,19470302,-9999,    9
  4666, 29084,19470303,-9999,    9
  4666, 29084,19470304,-9999,    9
  4666, 29084,19470305,-9999,    9
  4666, 29084,19470306,-9999,    9
  4666, 29084,19470307,-9999,    9
  4666, 29084,19470308,-9999,    9
  4666, 29084,19470309,-9999,    9
  4666, 29084,19470310,-9999,    9
  4666, 29084,19470311,-9999,    9
  4666, 29084,19470312,-9999,    9
  4666, 29084,19470313,-9999,    9
  4666, 29084,19470314,-9999,    9
  4666, 29084,19470315,-9999,    9
  4666, 29084,19470316,-9999,    9
  4666, 29084,19470317,-9999,    9
  4666, 29084,19470318,-9999,    9
  4666, 29084,19470319,-9999,    9
  4666, 29084,19470320,-9999,    9
  4666, 29084,19470321,-9999,    9
  4666, 29084,19470322,-9999,    9
  4666, 29084,19470323,-9999,    9
  4666, 29084,19470324,-9999,    9
  4666, 29084,19470325,-9999,    9
  4666, 29084,19470326,-9999,    9
  4666, 29084,19470327,-9999,    9
  4666, 29084,19470328,-9999,    9
  4666, 29084,19470329,-9999,    9
  4666, 29084,19470330,-9999,    9
  4666, 29084,19470331,-9999,    9
  4666, 29084,19470401,-9999,    9
  4666, 29084,19470402,-9999,    9
  4666, 29084,19470403,-9999,    9
  4666, 29084,19470404,-9999,    9
  4666, 29084,19470405,-9999,    9
  4666, 29084,19470406,-9999,    9
  4666, 29084,19470407,-9999,    9
  4666, 29084,19470408,-9999,    9
  4666, 29084,19470409,-9999,    9
  4666, 29084,19470410,-9999,    9
  4666, 29084,19470411,-9999,    9
  4666, 29084,19470412,-9999,    9
  4666, 29084,19470413,-9999,    9
  4666, 29084,19470414,-9999,    9
  4666, 29084,19470415,-9999,    9
  4666, 29084,19470416,-9999,    9
  4666, 29084,19470417,-9999,    9
  4666, 29084,19470418,-9999,    9
  4666, 29084,19470419,-9999,    9
  4666, 29084,19470420,-9999,    9
  4666, 29084,19470421,-9999,    9
  4666, 29084,19470422,-9999,    9
  4666, 29084,19470423,-9999,    9
  4666, 29084,19470424,-9999,    9
  4666, 29084,19470425,-9999,    9
  4666, 29084,19470426,-9999,    9
  4666, 29084,19470427,-9999,    9
  4666, 29084,19470428,-9999,    9
  4666, 29084,19470429,-9999,    9
  4666, 29084,19470430,-9999,    9
  4666, 29084,19470501,-9999,    9
  4666, 29084,19470502,-9999,    9
  4666, 29084,19470503,-9999,    9
  4666, 29084,19470504,-9999,    9
  4666, 29084,19470505,-9999,    9
  4666, 29084,19470506,-9999,    9
  4666, 29084,19470507,-9999,    9
  4666, 29084,19470508,-9999,    9
  4666, 29084,19470509,-9999,    9
  4666, 29084,19470510,-9999,    9
  4666, 29084,19470511,-9999,    9
  4666, 29084,19470512,-9999,    9
  4666, 29084,19470513,-9999,    9
  4666, 29084,19470514,-9999,    9
  4666, 29084,19470515,-9999,    9
  4666, 29084,19470516,-9999,    9
  4666, 29084,19470517,-9999,    9
  4666, 29084,19470518,-9999,    9
  4666, 29084,19470519,-9999,    9
  4666, 29084,19470520,-9999,    9
  4666, 29084,19470521,-9999,    9
  4666, 29084,19470522,-9999,    9
  4666, 29084,19470523,-9999,    9
  4666, 29084,19470524,-9999,    9
  4666, 29084,19470525,-9999,    9
  4666, 29084,19470526,-9999,    9
  4666, 29084,19470527,-9999,    9
  4666, 29084,19470528,-9999,    9
  4666, 29084,19470529,-9999,    9
  4666, 29084,19470530,-9999,    9
  4666, 29084,19470531,-9999,    9
  4666, 29084,19470601,-9999,    9
  4666, 29084,19470602,-9999,    9
  4666, 29084,19470603,-9999,    9
  4666, 29084,19470604,-9999,    9
  4666, 29084,19470605,-9999,    9
  4666, 29084,19470606,-9999,    9
  4666, 29084,19470607,-9999,    9
  4666, 29084,19470608,-9999,    9
  4666, 29084,19470609,-9999,    9
  4666, 29084,19470610,-9999,    9
  4666, 29084,19470611,-9999,    9
  4666, 29084,19470612,-9999,    9
  4666, 29084,19470613,-9999,    9
  4666, 29084,19470614,-9999,    9
  4666, 29084,19470615,-9999,    9
  4666, 29084,19470616,-9999,    9
  4666, 29084,19470617,-9999,    9
  4666, 29084,19470618,-9999,    9
  4666, 29084,19470619,-9999,    9
  4666, 29084,19470620,-9999,    9
  4666, 29084,19470621,-9999,    9
  4666, 29084,19470622,-9999,    9
  4666, 29084,19470623,-9999,    9
  4666, 29084,19470624,-9999,    9
  4666, 29084,19470625,-9999,    9
  4666, 29084,19470626,-9999,    9
  4666, 29084,19470627,-9999,    9
  4666, 29084,19470628,-9999,    9
  4666, 29084,19470629,-9999,    9
  4666, 29084,19470630,-9999,    9
  4666, 29084,19470701,-9999,    9
  4666, 29084,19470702,-9999,    9
  4666, 29084,19470703,-9999,    9
  4666, 29084,19470704,-9999,    9
  4666, 29084,19470705,-9999,    9
  4666, 29084,19470706,-9999,    9
  4666, 29084,19470707,-9999,    9
  4666, 29084,19470708,-9999,    9
  4666, 29084,19470709,-9999,    9
  4666, 29084,19470710,-9999,    9
  4666, 29084,19470711,-9999,    9
  4666, 29084,19470712,-9999,    9
  4666, 29084,19470713,-9999,    9
  4666, 29084,19470714,-9999,    9
  4666, 29084,19470715,-9999,    9
  4666, 29084,19470716,-9999,    9
  4666, 29084,19470717,-9999,    9
  4666, 29084,19470718,-9999,    9
  4666, 29084,19470719,-9999,    9
  4666, 29084,19470720,-9999,    9
  4666, 29084,19470721,-9999,    9
  4666, 29084,19470722,-9999,    9
  4666, 29084,19470723,-9999,    9
  4666, 29084,19470724,-9999,    9
  4666, 29084,19470725,-9999,    9
  4666, 29084,19470726,-9999,    9
  4666, 29084,19470727,-9999,    9
  4666, 29084,19470728,-9999,    9
  4666, 29084,19470729,-9999,    9
  4666, 29084,19470730,-9999,    9
  4666, 29084,19470731,-9999,    9
  4666, 29084,19470801,-9999,    9
  4666, 29084,19470802,-9999,    9
  4666, 29084,19470803,-9999,    9
  4666, 29084,19470804,-9999,    9
  4666, 29084,19470805,-9999,    9
  4666, 29084,19470806,-9999,    9
  4666, 29084,19470807,-9999,    9
  4666, 29084,19470808,-9999,    9
  4666, 29084,19470809,-9999,    9
  4666, 29084,19470810,-9999,    9
  4666, 29084,19470811,-9999,    9
  4666, 29084,19470812,-9999,    9
  4666, 29084,19470813,-9999,    9
  4666, 29084,19470814,-9999,    9
  4666, 29084,19470815,-9999,    9
  4666, 29084,19470816,-9999,    9
  4666, 29084,19470817,-9999,    9
  4666, 29084,19470818,-9999,    9
  4666, 29084,19470819,-9999,    9
  4666, 29084,19470820,-9999,    9
  4666, 29084,19470821,-9999,    9
  4666, 29084,19470822,-9999,    9
  4666, 29084,19470823,-9999,    9
  4666, 29084,19470824,-9999,    9
  4666, 29084,19470825,-9999,    9
  4666, 29084,19470826,-9999,    9
  4666, 29084,19470827,-9999,    9
  4666, 29084,19470828,-9999,    9
  4666, 29084,19470829,-9999,    9
  4666, 29084,19470830,-9999,    9
  4666, 29084,19470831,-9999,    9
  4666, 29084,19470901,-9999,    9
  4666, 29084,19470902,-9999,    9
  4666, 29084,19470903,-9999,    9
  4666, 29084,19470904,-9999,    9
  4666, 29084,19470905,-9999,    9
  4666, 29084,19470906,-9999,    9
  4666, 29084,19470907,-9999,    9
  4666, 29084,19470908,-9999,    9
  4666, 29084,19470909,-9999,    9
  4666, 29084,19470910,-9999,    9
  4666, 29084,19470911,-9999,    9
  4666, 29084,19470912,-9999,    9
  4666, 29084,19470913,-9999,    9
  4666, 29084,19470914,-9999,    9
  4666, 29084,19470915,-9999,    9
  4666, 29084,19470916,-9999,    9
  4666, 29084,19470917,-9999,    9
  4666, 29084,19470918,-9999,    9
  4666, 29084,19470919,-9999,    9
  4666, 29084,19470920,-9999,    9
  4666, 29084,19470921,-9999,    9
  4666, 29084,19470922,-9999,    9
  4666, 29084,19470923,-9999,    9
  4666, 29084,19470924,-9999,    9
  4666, 29084,19470925,-9999,    9
  4666, 29084,19470926,-9999,    9
  4666, 29084,19470927,-9999,    9
  4666, 29084,19470928,-9999,    9
  4666, 29084,19470929,-9999,    9
  4666, 29084,19470930,-9999,    9
  4666, 29084,19471001,-9999,    9
  4666, 29084,19471002,-9999,    9
  4666, 29084,19471003,-9999,    9
  4666, 29084,19471004,-9999,    9
  4666, 29084,19471005,-9999,    9
  4666, 29084,19471006,-9999,    9
  4666, 29084,19471007,-9999,    9
  4666, 29084,19471008,-9999,    9
  4666, 29084,19471009,-9999,    9
  4666, 29084,19471010,-9999,    9
  4666, 29084,19471011,-9999,    9
  4666, 29084,19471012,-9999,    9
  4666, 29084,19471013,-9999,    9
  4666, 29084,19471014,-9999,    9
  4666, 29084,19471015,-9999,    9
  4666, 29084,19471016,-9999,    9
  4666, 29084,19471017,-9999,    9
  4666, 29084,19471018,-9999,    9
  4666, 29084,19471019,-9999,    9
  4666, 29084,19471020,-9999,    9
  4666, 29084,19471021,-9999,    9
  4666, 29084,19471022,-9999,    9
  4666, 29084,19471023,-9999,    9
  4666, 29084,19471024,-9999,    9
  4666, 29084,19471025,-9999,    9
  4666, 29084,19471026,-9999,    9
  4666, 29084,19471027,-9999,    9
  4666, 29084,19471028,-9999,    9
  4666, 29084,19471029,-9999,    9
  4666, 29084,19471030,-9999,    9
  4666, 29084,19471031,-9999,    9
  4666, 29084,19471101,-9999,    9
  4666, 29084,19471102,-9999,    9
  4666, 29084,19471103,-9999,    9
  4666, 29084,19471104,-9999,    9
  4666, 29084,19471105,-9999,    9
  4666, 29084,19471106,-9999,    9
  4666, 29084,19471107,-9999,    9
  4666, 29084,19471108,-9999,    9
  4666, 29084,19471109,-9999,    9
  4666, 29084,19471110,-9999,    9
  4666, 29084,19471111,-9999,    9
  4666, 29084,19471112,-9999,    9
  4666, 29084,19471113,-9999,    9
  4666, 29084,19471114,-9999,    9
  4666, 29084,19471115,-9999,    9
  4666, 29084,19471116,-9999,    9
  4666, 29084,19471117,-9999,    9
  4666, 29084,19471118,-9999,    9
  4666, 29084,19471119,-9999,    9
  4666, 29084,19471120,-9999,    9
  4666, 29084,19471121,-9999,    9
  4666, 29084,19471122,-9999,    9
  4666, 29084,19471123,-9999,    9
  4666, 29084,19471124,-9999,    9
  4666, 29084,19471125,-9999,    9
  4666, 29084,19471126,-9999,    9
  4666, 29084,19471127,-9999,    9
  4666, 29084,19471128,-9999,    9
  4666, 29084,19471129,-9999,    9
  4666, 29084,19471130,-9999,    9
  4666, 29084,19471201,-9999,    9
  4666, 29084,19471202,-9999,    9
  4666, 29084,19471203,-9999,    9
  4666, 29084,19471204,-9999,    9
  4666, 29084,19471205,-9999,    9
  4666, 29084,19471206,-9999,    9
  4666, 29084,19471207,-9999,    9
  4666, 29084,19471208,-9999,    9
  4666, 29084,19471209,-9999,    9
  4666, 29084,19471210,-9999,    9
  4666, 29084,19471211,-9999,    9
  4666, 29084,19471212,-9999,    9
  4666, 29084,19471213,-9999,    9
  4666, 29084,19471214,-9999,    9
  4666, 29084,19471215,-9999,    9
  4666, 29084,19471216,-9999,    9
  4666, 29084,19471217,-9999,    9
  4666, 29084,19471218,-9999,    9
  4666, 29084,19471219,-9999,    9
  4666, 29084,19471220,-9999,    9
  4666, 29084,19471221,-9999,    9
  4666, 29084,19471222,-9999,    9
  4666, 29084,19471223,-9999,    9
  4666, 29084,19471224,-9999,    9
  4666, 29084,19471225,-9999,    9
  4666, 29084,19471226,-9999,    9
  4666, 29084,19471227,-9999,    9
  4666, 29084,19471228,-9999,    9
  4666, 29084,19471229,-9999,    9
  4666, 29084,19471230,-9999,    9
  4666, 29084,19471231,-9999,    9
  4666, 29084,19480101,-9999,    9
  4666, 29084,19480102,-9999,    9
  4666, 29084,19480103,-9999,    9
  4666, 29084,19480104,-9999,    9
  4666, 29084,19480105,-9999,    9
  4666, 29084,19480106,-9999,    9
  4666, 29084,19480107,-9999,    9
  4666, 29084,19480108,-9999,    9
  4666, 29084,19480109,-9999,    9
  4666, 29084,19480110,-9999,    9
  4666, 29084,19480111,-9999,    9
  4666, 29084,19480112,-9999,    9
  4666, 29084,19480113,-9999,    9
  4666, 29084,19480114,-9999,    9
  4666, 29084,19480115,-9999,    9
  4666, 29084,19480116,-9999,    9
  4666, 29084,19480117,-9999,    9
  4666, 29084,19480118,-9999,    9
  4666, 29084,19480119,-9999,    9
  4666, 29084,19480120,-9999,    9
  4666, 29084,19480121,-9999,    9
  4666, 29084,19480122,-9999,    9
  4666, 29084,19480123,-9999,    9
  4666, 29084,19480124,-9999,    9
  4666, 29084,19480125,-9999,    9
  4666, 29084,19480126,-9999,    9
  4666, 29084,19480127,-9999,    9
  4666, 29084,19480128,-9999,    9
  4666, 29084,19480129,-9999,    9
  4666, 29084,19480130,-9999,    9
  4666, 29084,19480131,-9999,    9
  4666, 29084,19480201,-9999,    9
  4666, 29084,19480202,-9999,    9
  4666, 29084,19480203,-9999,    9
  4666, 29084,19480204,-9999,    9
  4666, 29084,19480205,-9999,    9
  4666, 29084,19480206,-9999,    9
  4666, 29084,19480207,-9999,    9
  4666, 29084,19480208,-9999,    9
  4666, 29084,19480209,-9999,    9
  4666, 29084,19480210,-9999,    9
  4666, 29084,19480211,-9999,    9
  4666, 29084,19480212,-9999,    9
  4666, 29084,19480213,-9999,    9
  4666, 29084,19480214,-9999,    9
  4666, 29084,19480215,-9999,    9
  4666, 29084,19480216,-9999,    9
  4666, 29084,19480217,-9999,    9
  4666, 29084,19480218,-9999,    9
  4666, 29084,19480219,-9999,    9
  4666, 29084,19480220,-9999,    9
  4666, 29084,19480221,-9999,    9
  4666, 29084,19480222,-9999,    9
  4666, 29084,19480223,-9999,    9
  4666, 29084,19480224,-9999,    9
  4666, 29084,19480225,-9999,    9
  4666, 29084,19480226,-9999,    9
  4666, 29084,19480227,-9999,    9
  4666, 29084,19480228,-9999,    9
  4666, 29084,19480229,-9999,    9
  4666, 29084,19480301,-9999,    9
  4666, 29084,19480302,-9999,    9
  4666, 29084,19480303,-9999,    9
  4666, 29084,19480304,-9999,    9
  4666, 29084,19480305,-9999,    9
  4666, 29084,19480306,-9999,    9
  4666, 29084,19480307,-9999,    9
  4666, 29084,19480308,-9999,    9
  4666, 29084,19480309,-9999,    9
  4666, 29084,19480310,-9999,    9
  4666, 29084,19480311,-9999,    9
  4666, 29084,19480312,-9999,    9
  4666, 29084,19480313,-9999,    9
  4666, 29084,19480314,-9999,    9
  4666, 29084,19480315,-9999,    9
  4666, 29084,19480316,-9999,    9
  4666, 29084,19480317,-9999,    9
  4666, 29084,19480318,-9999,    9
  4666, 29084,19480319,-9999,    9
  4666, 29084,19480320,-9999,    9
  4666, 29084,19480321,-9999,    9
  4666, 29084,19480322,-9999,    9
  4666, 29084,19480323,-9999,    9
  4666, 29084,19480324,-9999,    9
  4666, 29084,19480325,-9999,    9
  4666, 29084,19480326,-9999,    9
  4666, 29084,19480327,-9999,    9
  4666, 29084,19480328,-9999,    9
  4666, 29084,19480329,-9999,    9
  4666, 29084,19480330,-9999,    9
  4666, 29084,19480331,-9999,    9
  4666, 29084,19480401,-9999,    9
  4666, 29084,19480402,-9999,    9
  4666, 29084,19480403,-9999,    9
  4666, 29084,19480404,-9999,    9
  4666, 29084,19480405,-9999,    9
  4666, 29084,19480406,-9999,    9
  4666, 29084,19480407,-9999,    9
  4666, 29084,19480408,-9999,    9
  4666, 29084,19480409,-9999,    9
  4666, 29084,19480410,-9999,    9
  4666, 29084,19480411,-9999,    9
  4666, 29084,19480412,-9999,    9
  4666, 29084,19480413,-9999,    9
  4666, 29084,19480414,-9999,    9
  4666, 29084,19480415,-9999,    9
  4666, 29084,19480416,-9999,    9
  4666, 29084,19480417,-9999,    9
  4666, 29084,19480418,-9999,    9
  4666, 29084,19480419,-9999,    9
  4666, 29084,19480420,-9999,    9
  4666, 29084,19480421,-9999,    9
  4666, 29084,19480422,-9999,    9
  4666, 29084,19480423,-9999,    9
  4666, 29084,19480424,-9999,    9
  4666, 29084,19480425,-9999,    9
  4666, 29084,19480426,-9999,    9
  4666, 29084,19480427,-9999,    9
  4666, 29084,19480428,-9999,    9
  4666, 29084,19480429,-9999,    9
  4666, 29084,19480430,-9999,    9
  4666, 29084,19480501,-9999,    9
  4666, 29084,19480502,-9999,    9
  4666, 29084,19480503,-9999,    9
  4666, 29084,19480504,-9999,    9
  4666, 29084,19480505,-9999,    9
  4666, 29084,19480506,-9999,    9
  4666, 29084,19480507,-9999,    9
  4666, 29084,19480508,-9999,    9
  4666, 29084,19480509,-9999,    9
  4666, 29084,19480510,-9999,    9
  4666, 29084,19480511,-9999,    9
  4666, 29084,19480512,-9999,    9
  4666, 29084,19480513,-9999,    9
  4666, 29084,19480514,-9999,    9
  4666, 29084,19480515,-9999,    9
  4666, 29084,19480516,-9999,    9
  4666, 29084,19480517,-9999,    9
  4666, 29084,19480518,-9999,    9
  4666, 29084,19480519,-9999,    9
  4666, 29084,19480520,-9999,    9
  4666, 29084,19480521,-9999,    9
  4666, 29084,19480522,-9999,    9
  4666, 29084,19480523,-9999,    9
  4666, 29084,19480524,-9999,    9
  4666, 29084,19480525,-9999,    9
  4666, 29084,19480526,-9999,    9
  4666, 29084,19480527,-9999,    9
  4666, 29084,19480528,-9999,    9
  4666, 29084,19480529,-9999,    9
  4666, 29084,19480530,-9999,    9
  4666, 29084,19480531,-9999,    9
  4666, 29084,19480601,-9999,    9
  4666, 29084,19480602,-9999,    9
  4666, 29084,19480603,-9999,    9
  4666, 29084,19480604,-9999,    9
  4666, 29084,19480605,-9999,    9
  4666, 29084,19480606,-9999,    9
  4666, 29084,19480607,-9999,    9
  4666, 29084,19480608,-9999,    9
  4666, 29084,19480609,-9999,    9
  4666, 29084,19480610,-9999,    9
  4666, 29084,19480611,-9999,    9
  4666, 29084,19480612,-9999,    9
  4666, 29084,19480613,-9999,    9
  4666, 29084,19480614,-9999,    9
  4666, 29084,19480615,-9999,    9
  4666, 29084,19480616,-9999,    9
  4666, 29084,19480617,-9999,    9
  4666, 29084,19480618,-9999,    9
  4666, 29084,19480619,-9999,    9
  4666, 29084,19480620,-9999,    9
  4666, 29084,19480621,-9999,    9
  4666, 29084,19480622,-9999,    9
  4666, 29084,19480623,-9999,    9
  4666, 29084,19480624,-9999,    9
  4666, 29084,19480625,-9999,    9
