EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LICHTENTANNE, GERMANY (STAID: 4803)
Blended and updated with sources:30728 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4803, 30728,19950101,   11,    0
  4803, 30728,19950102,  -10,    0
  4803, 30728,19950103,  -24,    0
  4803, 30728,19950104,  -70,    0
  4803, 30728,19950105, -118,    0
  4803, 30728,19950106, -102,    0
  4803, 30728,19950107,  -71,    0
  4803, 30728,19950108,  -80,    0
  4803, 30728,19950109,  -16,    0
  4803, 30728,19950110,   15,    0
  4803, 30728,19950111,    1,    0
  4803, 30728,19950112,  -16,    0
  4803, 30728,19950113,  -38,    0
  4803, 30728,19950114,  -16,    0
  4803, 30728,19950115,   13,    0
  4803, 30728,19950116,    8,    0
  4803, 30728,19950117,   -6,    0
  4803, 30728,19950118,  -28,    0
  4803, 30728,19950119,   -5,    0
  4803, 30728,19950120,   32,    0
  4803, 30728,19950121,   23,    0
  4803, 30728,19950122,   71,    0
  4803, 30728,19950123,   46,    0
  4803, 30728,19950124,   41,    0
  4803, 30728,19950125,   40,    0
  4803, 30728,19950126,  111,    0
  4803, 30728,19950127,    2,    0
  4803, 30728,19950128,   46,    0
  4803, 30728,19950129,   67,    0
  4803, 30728,19950130,   17,    0
  4803, 30728,19950131,   15,    0
  4803, 30728,19950201,   71,    0
  4803, 30728,19950202,   45,    0
  4803, 30728,19950203,   19,    0
  4803, 30728,19950204,   50,    0
  4803, 30728,19950205,   51,    0
  4803, 30728,19950206,   82,    0
  4803, 30728,19950207,   68,    0
  4803, 30728,19950208,   37,    0
  4803, 30728,19950209,  -19,    0
  4803, 30728,19950210,   -5,    0
  4803, 30728,19950211,   70,    0
  4803, 30728,19950212,   76,    0
  4803, 30728,19950213,   74,    0
  4803, 30728,19950214,   66,    0
  4803, 30728,19950215,   80,    0
  4803, 30728,19950216,   58,    0
  4803, 30728,19950217,   62,    0
  4803, 30728,19950218,   40,    0
  4803, 30728,19950219,   48,    0
  4803, 30728,19950220,   79,    0
  4803, 30728,19950221,  116,    0
  4803, 30728,19950222,   34,    0
  4803, 30728,19950223,   24,    0
  4803, 30728,19950224,   26,    0
  4803, 30728,19950225,   32,    0
  4803, 30728,19950226,   22,    0
  4803, 30728,19950227,   16,    0
  4803, 30728,19950228,   49,    0
  4803, 30728,19950301,   90,    0
  4803, 30728,19950302,   49,    0
  4803, 30728,19950303,   57,    0
  4803, 30728,19950304,   17,    0
  4803, 30728,19950305,   32,    0
  4803, 30728,19950306,   35,    0
  4803, 30728,19950307,   14,    0
  4803, 30728,19950308,   38,    0
  4803, 30728,19950309,   27,    0
  4803, 30728,19950310,   33,    0
  4803, 30728,19950311,   44,    0
  4803, 30728,19950312,   47,    0
  4803, 30728,19950313,   23,    0
  4803, 30728,19950314,  -14,    0
  4803, 30728,19950315,    8,    0
  4803, 30728,19950316,   22,    0
  4803, 30728,19950317,   57,    0
  4803, 30728,19950318,   55,    0
  4803, 30728,19950319,   36,    0
  4803, 30728,19950320,   31,    0
  4803, 30728,19950321,   20,    0
  4803, 30728,19950322,   38,    0
  4803, 30728,19950323,   76,    0
  4803, 30728,19950324,  108,    0
  4803, 30728,19950325,   48,    0
  4803, 30728,19950326,   56,    0
  4803, 30728,19950327,   13,    0
