EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BONN-ROLEBER, GERMANY (STAID: 4825)
Blended and updated with sources:30992 910519 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4825,910519,20000701,  163,    0
  4825, 30992,20000702,-9999,    9
  4825, 30992,20000703,  170,    0
  4825, 30992,20000704,  159,    0
  4825, 30992,20000705,  164,    0
  4825, 30992,20000706,  165,    0
  4825, 30992,20000707,  143,    0
  4825, 30992,20000708,  112,    0
  4825, 30992,20000709,  129,    0
  4825, 30992,20000710,  142,    0
  4825, 30992,20000711,  122,    0
  4825, 30992,20000712,  108,    0
  4825, 30992,20000713,  132,    0
  4825, 30992,20000714,  113,    0
  4825, 30992,20000715,  114,    0
  4825, 30992,20000716,  128,    0
  4825, 30992,20000717,  141,    0
  4825, 30992,20000718,  140,    0
  4825, 30992,20000719,  132,    0
  4825, 30992,20000720,  162,    0
  4825, 30992,20000721,  158,    0
  4825, 30992,20000722,  133,    0
  4825, 30992,20000723,  173,    0
  4825, 30992,20000724,  168,    0
  4825, 30992,20000725,  147,    0
  4825, 30992,20000726,  152,    0
  4825, 30992,20000727,  164,    0
  4825, 30992,20000728,  149,    0
  4825, 30992,20000729,  150,    0
  4825, 30992,20000730,  166,    0
  4825, 30992,20000731,  174,    0
  4825, 30992,20000801,  219,    0
  4825, 30992,20000802,  171,    0
  4825, 30992,20000803,  158,    0
  4825, 30992,20000804,  168,    0
  4825, 30992,20000805,  174,    0
  4825, 30992,20000806,  175,    0
  4825, 30992,20000807,  178,    0
  4825, 30992,20000808,  181,    0
  4825, 30992,20000809,  196,    0
  4825, 30992,20000810,  191,    0
  4825, 30992,20000811,  188,    0
  4825, 30992,20000812,  200,    0
  4825,910519,20000813,  207,    0
  4825, 30992,20000814,  222,    0
  4825, 30992,20000815,  185,    0
  4825, 30992,20000816,  189,    0
  4825, 30992,20000817,  197,    0
  4825, 30992,20000818,  196,    0
  4825, 30992,20000819,  198,    0
  4825, 30992,20000820,  183,    0
  4825, 30992,20000821,  154,    0
  4825, 30992,20000822,  152,    0
  4825, 30992,20000823,  168,    0
  4825, 30992,20000824,  184,    0
  4825, 30992,20000825,  174,    0
  4825, 30992,20000826,  200,    0
  4825, 30992,20000827,  156,    0
  4825, 30992,20000828,  145,    0
  4825, 30992,20000829,  150,    0
  4825, 30992,20000830,  153,    0
  4825, 30992,20000831,  152,    0
  4825, 30992,20000901,  153,    0
  4825, 30992,20000902,  133,    0
  4825, 30992,20000903,  135,    0
  4825, 30992,20000904,  125,    0
  4825, 30992,20000905,  142,    0
  4825, 30992,20000906,  138,    0
  4825, 30992,20000907,  139,    0
  4825, 30992,20000908,  172,    0
  4825, 30992,20000909,  173,    0
  4825, 30992,20000910,  174,    0
  4825,910519,20000911,  186,    0
  4825, 30992,20000912,  202,    0
  4825, 30992,20000913,  164,    0
  4825, 30992,20000914,  166,    0
  4825, 30992,20000915,  186,    0
  4825, 30992,20000916,  132,    0
  4825, 30992,20000917,  138,    0
  4825, 30992,20000918,  142,    0
  4825, 30992,20000919,  153,    0
  4825, 30992,20000920,  135,    0
  4825, 30992,20000921,  117,    0
  4825, 30992,20000922,  146,    0
  4825, 30992,20000923,  121,    0
  4825, 30992,20000924,  148,    0
  4825, 30992,20000925,  154,    0
  4825, 30992,20000926,  176,    0
  4825, 30992,20000927,  158,    0
  4825, 30992,20000928,  169,    0
  4825, 30992,20000929,  175,    0
  4825, 30992,20000930,  145,    0
  4825, 30992,20001001,  128,    0
  4825, 30992,20001002,  127,    0
  4825, 30992,20001003,  122,    0
  4825, 30992,20001004,  126,    0
  4825, 30992,20001005,  118,    0
  4825, 30992,20001006,   80,    0
  4825, 30992,20001007,   72,    0
  4825, 30992,20001008,   91,    0
  4825, 30992,20001009,  101,    0
  4825, 30992,20001010,   94,    0
  4825, 30992,20001011,  112,    0
  4825, 30992,20001012,  114,    0
  4825, 30992,20001013,  105,    0
  4825, 30992,20001014,  104,    0
  4825, 30992,20001015,  116,    0
  4825, 30992,20001016,  143,    0
  4825, 30992,20001017,  100,    0
  4825, 30992,20001018,   96,    0
  4825, 30992,20001019,  113,    0
  4825, 30992,20001020,  118,    0
  4825, 30992,20001021,  140,    0
  4825, 30992,20001022,  132,    0
  4825, 30992,20001023,  138,    0
  4825, 30992,20001024,  117,    0
  4825,910519,20001025,  108,    0
  4825,910519,20001026,  116,    0
  4825, 30992,20001027,  100,    0
  4825, 30992,20001028,  120,    0
  4825, 30992,20001029,  106,    0
  4825, 30992,20001030,  104,    0
  4825, 30992,20001031,   97,    0
  4825, 30992,20001101,   74,    0
  4825, 30992,20001102,   98,    0
  4825, 30992,20001103,   88,    0
  4825, 30992,20001104,   71,    0
  4825, 30992,20001105,   68,    0
  4825, 30992,20001106,   75,    0
  4825, 30992,20001107,   90,    0
  4825, 30992,20001108,   86,    0
  4825, 30992,20001109,   80,    0
  4825, 30992,20001110,   59,    0
  4825, 30992,20001111,   70,    0
  4825, 30992,20001112,  102,    0
  4825, 30992,20001113,   88,    0
  4825, 30992,20001114,   72,    0
  4825, 30992,20001115,   67,    0
  4825, 30992,20001116,   80,    0
  4825, 30992,20001117,   52,    0
  4825, 30992,20001118,   64,    0
  4825, 30992,20001119,   74,    0
  4825, 30992,20001120,   56,    0
  4825, 30992,20001121,   66,    0
  4825, 30992,20001122,   78,    0
  4825, 30992,20001123,  102,    0
  4825, 30992,20001124,   72,    0
  4825, 30992,20001125,   56,    0
  4825, 30992,20001126,   70,    0
  4825, 30992,20001127,   65,    0
  4825, 30992,20001128,  112,    0
  4825, 30992,20001129,  125,    0
  4825, 30992,20001130,  119,    0
  4825, 30992,20001201,  103,    0
  4825, 30992,20001202,  106,    0
  4825, 30992,20001203,   84,    0
