EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ARNSBERG-NEHEIM, GERMANY (STAID: 4907)
Blended and updated with sources:31976 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4907, 31976,20051001,  114,    0
  4907, 31976,20051002,   82,    0
  4907, 31976,20051003,   83,    0
  4907, 31976,20051004,  117,    0
  4907, 31976,20051005,  140,    0
  4907, 31976,20051006,  122,    0
  4907, 31976,20051007,  113,    0
  4907, 31976,20051008,  112,    0
  4907, 31976,20051009,  127,    0
  4907, 31976,20051010,  147,    0
  4907, 31976,20051011,  130,    0
  4907, 31976,20051012,  157,    0
  4907, 31976,20051013,  108,    0
  4907, 31976,20051014,   87,    0
  4907, 31976,20051015,   92,    0
  4907, 31976,20051016,   75,    0
  4907, 31976,20051017,   54,    0
  4907, 31976,20051018,   57,    0
  4907, 31976,20051019,   95,    0
  4907, 31976,20051020,  110,    0
  4907, 31976,20051021,  131,    0
  4907, 31976,20051022,  123,    0
  4907, 31976,20051023,  106,    0
  4907, 31976,20051024,  116,    0
  4907, 31976,20051025,  138,    0
  4907, 31976,20051026,  127,    0
  4907, 31976,20051027,  148,    0
  4907, 31976,20051028,  162,    0
  4907, 31976,20051029,  169,    0
  4907, 31976,20051030,  158,    0
  4907, 31976,20051031,  165,    0
  4907, 31976,20051101,  124,    0
  4907, 31976,20051102,  109,    0
  4907, 31976,20051103,  158,    0
  4907, 31976,20051104,  126,    0
  4907, 31976,20051105,   74,    0
  4907, 31976,20051106,   93,    0
  4907, 31976,20051107,   96,    0
  4907, 31976,20051108,  117,    0
  4907, 31976,20051109,  116,    0
  4907, 31976,20051110,   92,    0
  4907, 31976,20051111,  106,    0
  4907, 31976,20051112,   88,    0
  4907, 31976,20051113,   75,    0
  4907, 31976,20051114,   45,    0
  4907, 31976,20051115,   62,    0
  4907, 31976,20051116,   47,    0
  4907, 31976,20051117,   38,    0
  4907, 31976,20051118,   22,    0
  4907, 31976,20051119,   23,    0
  4907, 31976,20051120,   46,    0
  4907, 31976,20051121,   38,    0
  4907, 31976,20051122,  -16,    0
  4907, 31976,20051123,   -6,    0
  4907, 31976,20051124,   11,    0
  4907, 31976,20051125,    8,    0
  4907, 31976,20051126,    6,    0
  4907, 31976,20051127,   12,    0
  4907, 31976,20051128,    2,    0
  4907, 31976,20051129,   21,    0
  4907, 31976,20051130,   25,    0
  4907, 31976,20051201,   12,    0
  4907, 31976,20051202,   37,    0
  4907, 31976,20051203,   53,    0
  4907, 31976,20051204,   69,    0
  4907, 31976,20051205,   62,    0
  4907, 31976,20051206,   45,    0
  4907, 31976,20051207,   52,    0
  4907, 31976,20051208,   32,    0
  4907, 31976,20051209,   18,    0
  4907, 31976,20051210,  -16,    0
  4907, 31976,20051211,   15,    0
  4907, 31976,20051212,   32,    0
  4907, 31976,20051213,   31,    0
  4907, 31976,20051214,   50,    0
  4907, 31976,20051215,   56,    0
  4907, 31976,20051216,   46,    0
  4907, 31976,20051217,    1,    0
  4907, 31976,20051218,   11,    0
  4907, 31976,20051219,   24,    0
  4907, 31976,20051220,   42,    0
  4907, 31976,20051221,   42,    0
  4907, 31976,20051222,   53,    0
  4907, 31976,20051223,   64,    0
  4907, 31976,20051224,   61,    0
  4907, 31976,20051225,   33,    0
  4907, 31976,20051226,    4,    0
  4907, 31976,20051227,  -27,    0
  4907, 31976,20051228,  -30,    0
  4907, 31976,20051229,  -26,    0
  4907, 31976,20051230,  -22,    0
  4907, 31976,20051231,   35,    0
  4907, 31976,20060101,   24,    0
  4907, 31976,20060102,    4,    0
  4907, 31976,20060103,    4,    0
  4907, 31976,20060104,   -5,    0
  4907, 31976,20060105,    4,    0
  4907, 31976,20060106,   10,    0
  4907, 31976,20060107,   11,    0
  4907, 31976,20060108,    7,    0
  4907, 31976,20060109,  -27,    0
  4907, 31976,20060110,    8,    0
  4907, 31976,20060111,   33,    0
  4907, 31976,20060112,   16,    0
  4907, 31976,20060113,   17,    0
  4907, 31976,20060114,   15,    0
  4907, 31976,20060115,  -37,    0
  4907, 31976,20060116,   13,    0
  4907, 31976,20060117,   29,    0
  4907, 31976,20060118,   32,    0
  4907, 31976,20060119,   28,    0
  4907, 31976,20060120,   63,    0
  4907, 31976,20060121,   41,    0
  4907, 31976,20060122,  -22,    0
  4907, 31976,20060123,  -60,    0
  4907, 31976,20060124,  -39,    0
  4907, 31976,20060125,  -17,    0
  4907, 31976,20060126,  -61,    0
  4907, 31976,20060127,  -93,    0
  4907, 31976,20060128,  -97,    0
  4907, 31976,20060129,  -92,    0
  4907, 31976,20060130,  -59,    0
  4907, 31976,20060131,  -10,    0
  4907, 31976,20060201,  -73,    0
  4907, 31976,20060202,  -79,    0
  4907, 31976,20060203,  -30,    0
  4907, 31976,20060204,   -2,    0
  4907, 31976,20060205,   -9,    0
  4907, 31976,20060206,    9,    0
  4907, 31976,20060207,   40,    0
  4907, 31976,20060208,   32,    0
  4907, 31976,20060209,   11,    0
  4907, 31976,20060210,    8,    0
  4907, 31976,20060211,    2,    0
  4907, 31976,20060212,    3,    0
