EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PIDING, GERMANY (STAID: 4932)
Blended and updated with sources:38 27656 32276 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4932,    38,19010101,  -10,    0
  4932,    38,19010102,  -65,    0
  4932,    38,19010103, -102,    0
  4932,    38,19010104, -115,    0
  4932,    38,19010105, -123,    0
  4932,    38,19010106, -118,    0
  4932,    38,19010107, -103,    0
  4932,    38,19010108,  -88,    0
  4932,    38,19010109,  -78,    0
  4932,    38,19010110,  -90,    0
  4932,    38,19010111,  -72,    0
  4932,    38,19010112,  -16,    0
  4932,    38,19010113,  -11,    0
  4932,    38,19010114,  -52,    0
  4932,    38,19010115, -108,    0
  4932,    38,19010116,  -95,    0
  4932,    38,19010117, -100,    0
  4932,    38,19010118, -118,    0
  4932,    38,19010119,  -69,    0
  4932,    38,19010120,  -30,    0
  4932,    38,19010121,   41,    0
  4932,    38,19010122,   37,    0
  4932,    38,19010123,   35,    0
  4932,    38,19010124,    4,    0
  4932,    38,19010125,   30,    0
  4932,    38,19010126,   28,    0
  4932,    38,19010127,   31,    0
  4932,    38,19010128,   32,    0
  4932,    38,19010129,   22,    0
  4932,    38,19010130,  -13,    0
  4932,    38,19010131,  -38,    0
  4932,    38,19010201,  -30,    0
  4932,    38,19010202,  -29,    0
  4932,    38,19010203,  -15,    0
  4932,    38,19010204,   19,    0
  4932,    38,19010205,    2,    0
  4932,    38,19010206,    0,    0
  4932,    38,19010207,  -18,    0
  4932,    38,19010208,    4,    0
  4932,    38,19010209,  -10,    0
  4932,    38,19010210,   -4,    0
  4932,    38,19010211,   -2,    0
  4932,    38,19010212,  -62,    0
  4932,    38,19010213,  -71,    0
  4932,    38,19010214,  -68,    0
  4932,    38,19010215,  -88,    0
  4932,    38,19010216,  -83,    0
  4932,    38,19010217,  -41,    0
  4932,    38,19010218,  -50,    0
  4932,    38,19010219,  -77,    0
  4932,    38,19010220,  -84,    0
  4932,    38,19010221,  -98,    0
  4932,    38,19010222, -128,    0
  4932,    38,19010223, -115,    0
  4932,    38,19010224,  -25,    0
  4932,    38,19010225,   -9,    0
  4932,    38,19010226,    7,    0
  4932,    38,19010227,   13,    0
  4932,    38,19010228,   49,    0
  4932,    38,19010301,   55,    0
  4932,    38,19010302,   50,    0
  4932,    38,19010303,   38,    0
  4932,    38,19010304,   31,    0
  4932,    38,19010305,   35,    0
  4932,    38,19010306,   58,    0
  4932,    38,19010307,   35,    0
  4932,    38,19010308,   31,    0
  4932,    38,19010309,   38,    0
  4932,    38,19010310,   35,    0
  4932,    38,19010311,   93,    0
  4932,    38,19010312,   53,    0
  4932,    38,19010313,   55,    0
  4932,    38,19010314,   71,    0
  4932,    38,19010315,   94,    0
  4932,    38,19010316,   83,    0
  4932,    38,19010317,   78,    0
  4932,    38,19010318,   96,    0
  4932,    38,19010319,  145,    0
  4932,    38,19010320,  140,    0
  4932,    38,19010321,   65,    0
  4932,    38,19010322,    3,    0
  4932,    38,19010323,  -20,    0
  4932,    38,19010324,    6,    0
  4932,    38,19010325,   10,    0
  4932,    38,19010326,   34,    0
  4932,    38,19010327,  -13,    0
  4932,    38,19010328,    2,    0
