EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BUCHEL (FLUGPLATZ), GERMANY (STAID: 4940)
Blended and updated with sources:32372 910613 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4940,910613,20000701,  189,    0
  4940,910613,20000702,  200,    0
  4940,910613,20000703,  176,    0
  4940,910613,20000704,  142,    0
  4940,910613,20000705,  146,    0
  4940,910613,20000706,  163,    0
  4940,910613,20000707,  159,    0
  4940,910613,20000708,  109,    0
  4940,910613,20000709,  107,    0
  4940,910613,20000710,  132,    0
  4940,910613,20000711,  111,    0
  4940,910613,20000712,  101,    0
  4940,910613,20000713,   90,    0
  4940,910613,20000714,  123,    0
  4940,910613,20000715,  107,    0
  4940,910613,20000716,  106,    0
  4940,910613,20000717,  129,    0
  4940,910613,20000718,  131,    0
  4940,910613,20000719,  121,    0
  4940,910613,20000720,  150,    0
  4940,910613,20000721,  153,    0
  4940,910613,20000722,  136,    0
  4940,910613,20000723,  163,    0
  4940,910613,20000724,  172,    0
  4940,910613,20000725,  148,    0
  4940,910613,20000726,  135,    0
  4940,910613,20000727,  141,    0
  4940,910613,20000728,  153,    0
  4940,910613,20000729,  136,    0
  4940,910613,20000730,  150,    0
  4940,910613,20000731,  170,    0
  4940,910613,20000801,  194,    0
  4940,910613,20000802,  195,    0
  4940,910613,20000803,  158,    0
  4940,910613,20000804,  148,    0
  4940,910613,20000805,  167,    0
  4940,910613,20000806,  163,    0
  4940,910613,20000807,  177,    0
  4940,910613,20000808,  178,    0
  4940,910613,20000809,  176,    0
  4940,910613,20000810,  191,    0
  4940,910613,20000811,  173,    0
  4940,910613,20000812,  201,    0
  4940,910613,20000813,  218,    0
  4940,910613,20000814,  224,    0
  4940,910613,20000815,  204,    0
  4940,910613,20000816,  189,    0
  4940,910613,20000817,  196,    0
  4940,910613,20000818,  176,    0
  4940,910613,20000819,  186,    0
  4940,910613,20000820,  175,    0
  4940,910613,20000821,  156,    0
  4940,910613,20000822,  155,    0
  4940,910613,20000823,  158,    0
  4940,910613,20000824,  190,    0
  4940,910613,20000825,  163,    0
  4940,910613,20000826,  178,    0
  4940,910613,20000827,  183,    0
  4940, 32372,20000828,  133,    0
  4940,910613,20000829,  152,    0
  4940,910613,20000830,  152,    0
  4940,910613,20000831,  155,    0
  4940,910613,20000901,  144,    0
  4940,910613,20000902,  123,    0
  4940,910613,20000903,  121,    0
  4940,910613,20000904,  123,    0
  4940,910613,20000905,  115,    0
  4940,910613,20000906,  104,    0
  4940,910613,20000907,  127,    0
  4940,910613,20000908,  142,    0
  4940,910613,20000909,  166,    0
  4940,910613,20000910,  172,    0
  4940,910613,20000911,  181,    0
  4940,910613,20000912,  195,    0
  4940,910613,20000913,  166,    0
  4940,910613,20000914,  140,    0
  4940,910613,20000915,  164,    0
  4940,910613,20000916,  136,    0
  4940,910613,20000917,  124,    0
  4940,910613,20000918,  138,    0
  4940,910613,20000919,  142,    0
  4940,910613,20000920,  125,    0
  4940,910613,20000921,  120,    0
  4940,910613,20000922,  119,    0
  4940,910613,20000923,  117,    0
  4940,910613,20000924,  123,    0
  4940,910613,20000925,  157,    0
  4940,910613,20000926,  149,    0
  4940,910613,20000927,  146,    0
  4940,910613,20000928,  138,    0
  4940,910613,20000929,  166,    0
  4940,910613,20000930,  134,    0
  4940,910613,20001001,  126,    0
  4940,910613,20001002,  110,    0
  4940,910613,20001003,  115,    0
  4940,910613,20001004,  105,    0
  4940,910613,20001005,  111,    0
  4940,910613,20001006,   73,    0
  4940,910613,20001007,   66,    0
  4940,910613,20001008,   48,    0
  4940,910613,20001009,   86,    0
  4940,910613,20001010,   65,    0
  4940,910613,20001011,   78,    0
  4940,910613,20001012,   98,    0
  4940,910613,20001013,   91,    0
  4940,910613,20001014,   97,    0
  4940,910613,20001015,  109,    0
  4940,910613,20001016,  122,    0
  4940,910613,20001017,   99,    0
  4940,910613,20001018,   63,    0
  4940,910613,20001019,   91,    0
  4940,910613,20001020,   85,    0
  4940,910613,20001021,  114,    0
  4940,910613,20001022,  133,    0
  4940,910613,20001023,  102,    0
  4940,910613,20001024,  100,    0
  4940,910613,20001025,   92,    0
  4940,910613,20001026,   86,    0
  4940,910613,20001027,   68,    0
  4940,910613,20001028,   90,    0
  4940,910613,20001029,   83,    0
  4940,910613,20001030,   89,    0
  4940,910613,20001031,   56,    0
  4940,910613,20001101,   50,    0
  4940,910613,20001102,   70,    0
  4940,910613,20001103,   63,    0
  4940,910613,20001104,   45,    0
  4940,910613,20001105,   44,    0
  4940,910613,20001106,   59,    0
  4940,910613,20001107,   61,    0
  4940,910613,20001108,   52,    0
  4940,910613,20001109,   53,    0
  4940,910613,20001110,   34,    0
  4940,910613,20001111,   37,    0
  4940,910613,20001112,   57,    0
  4940,910613,20001113,   74,    0
  4940,910613,20001114,   50,    0
  4940,910613,20001115,   45,    0
  4940,910613,20001116,   50,    0
  4940,910613,20001117,   31,    0
  4940,910613,20001118,   26,    0
  4940,910613,20001119,   36,    0
  4940,910613,20001120,   38,    0
  4940,910613,20001121,   27,    0
  4940,910613,20001122,   53,    0
  4940,910613,20001123,   54,    0
  4940,910613,20001124,   62,    0
  4940,910613,20001125,   26,    0
  4940,910613,20001126,   37,    0
  4940,910613,20001127,   35,    0
  4940,910613,20001128,   68,    0
  4940,910613,20001129,   89,    0
  4940,910613,20001130,   92,    0
  4940,910613,20001201,   89,    0
  4940,910613,20001202,   92,    0
  4940,910613,20001203,   66,    0
  4940,910613,20001204,   43,    0
  4940,910613,20001205,   66,    0
  4940,910613,20001206,   70,    0
  4940,910613,20001207,   68,    0
  4940,910613,20001208,   88,    0
  4940,910613,20001209,   68,    0
  4940,910613,20001210,   61,    0
  4940,910613,20001211,   73,    0
  4940,910613,20001212,   95,    0
  4940,910613,20001213,   83,    0
  4940,910613,20001214,   56,    0
  4940,910613,20001215,   28,    0
  4940,910613,20001216,    6,    0
  4940,910613,20001217,    5,    0
  4940,910613,20001218,  -16,    0
  4940,910613,20001219,   18,    0
  4940,910613,20001220,   -2,    0
  4940,910613,20001221,  -30,    0
  4940,910613,20001222,  -56,    0
  4940,910613,20001223,  -15,    0
  4940,910613,20001224,    8,    0
  4940,910613,20001225,   11,    0
  4940,910613,20001226,  -14,    0
  4940,910613,20001227,   20,    0
  4940,910613,20001228,   15,    0
  4940,910613,20001229,  -11,    0
  4940,910613,20001230,  -27,    0
  4940,910613,20001231,  -18,    0
  4940,910613,20010101,  -14,    0
  4940,910613,20010102,   45,    0
  4940,910613,20010103,   44,    0
  4940,910613,20010104,   33,    0
  4940,910613,20010105,   51,    0
  4940,910613,20010106,   63,    0
  4940,910613,20010107,   33,    0
  4940,910613,20010108,    7,    0
  4940,910613,20010109,   15,    0
  4940,910613,20010110,    1,    0
  4940, 32372,20010111,    0,    0
  4940,910613,20010112,  -22,    0
  4940,910613,20010113,  -32,    0
  4940,910613,20010114,  -32,    0
  4940,910613,20010115,  -41,    0
  4940,910613,20010116,  -55,    0
  4940,910613,20010117,  -51,    0
  4940,910613,20010118,  -18,    0
  4940,910613,20010119,   -4,    0
  4940,910613,20010120,   -2,    0
  4940,910613,20010121,  -28,    0
  4940, 32372,20010122,   27,    0
  4940,910613,20010123,   36,    0
  4940,910613,20010124,   63,    0
  4940,910613,20010125,   34,    0
  4940,910613,20010126,   17,    0
  4940,910613,20010127,   13,    0
  4940,910613,20010128,   10,    0
  4940,910613,20010129,    1,    0
  4940,910613,20010130,   -1,    0
  4940,910613,20010131,  -11,    0
  4940,910613,20010201,  -19,    0
  4940,910613,20010202,  -26,    0
  4940,910613,20010203,   -2,    0
  4940,910613,20010204,   39,    0
  4940,910613,20010205,   54,    0
  4940,910613,20010206,   84,    0
  4940,910613,20010207,   80,    0
  4940,910613,20010208,   94,    0
  4940,910613,20010209,   35,    0
  4940,910613,20010210,   33,    0
  4940,910613,20010211,   26,    0
  4940,910613,20010212,   67,    0
  4940,910613,20010213,   53,    0
