EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DACHWIG, GERMANY (STAID: 4962)
Blended and updated with sources:32636 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4962, 32636,19910101,   41,    0
  4962, 32636,19910102,   79,    0
  4962, 32636,19910103,   74,    0
  4962, 32636,19910104,   60,    0
  4962, 32636,19910105,   44,    0
  4962, 32636,19910106,   54,    0
  4962, 32636,19910107,   58,    0
  4962, 32636,19910108,   69,    0
  4962, 32636,19910109,   88,    0
  4962, 32636,19910110,  104,    0
  4962, 32636,19910111,   72,    0
  4962, 32636,19910112,   42,    0
  4962, 32636,19910113,    9,    0
  4962, 32636,19910114,  -30,    0
  4962, 32636,19910115,  -52,    0
  4962, 32636,19910116,  -53,    0
  4962, 32636,19910117,  -68,    0
  4962, 32636,19910118,  -64,    0
  4962, 32636,19910119,  -48,    0
  4962, 32636,19910120,    2,    0
  4962, 32636,19910121,   27,    0
  4962, 32636,19910122,   15,    0
  4962, 32636,19910123,    8,    0
  4962, 32636,19910124,    4,    0
  4962, 32636,19910125,    2,    0
  4962, 32636,19910126,    4,    0
  4962, 32636,19910127,    9,    0
  4962, 32636,19910128,   -6,    0
  4962, 32636,19910129,    4,    0
  4962, 32636,19910130,  -27,    0
  4962, 32636,19910131,  -70,    0
  4962, 32636,19910201,  -86,    0
  4962, 32636,19910202, -102,    0
  4962, 32636,19910203, -104,    0
  4962, 32636,19910204,  -70,    0
  4962, 32636,19910205,  -66,    0
  4962, 32636,19910206, -122,    0
  4962, 32636,19910207,  -94,    0
  4962, 32636,19910208,  -65,    0
  4962, 32636,19910209,  -78,    0
  4962, 32636,19910210,  -31,    0
  4962, 32636,19910211,  -60,    0
  4962, 32636,19910212,  -33,    0
  4962, 32636,19910213,  -36,    0
  4962, 32636,19910214,  -61,    0
  4962, 32636,19910215,  -14,    0
  4962, 32636,19910216,   -8,    0
  4962, 32636,19910217,  -37,    0
  4962, 32636,19910218,   -9,    0
  4962, 32636,19910219,  -26,    0
  4962, 32636,19910220,    8,    0
  4962, 32636,19910221,  -45,    0
  4962, 32636,19910222,   17,    0
  4962, 32636,19910223,   67,    0
  4962, 32636,19910224,   86,    0
  4962, 32636,19910225,   63,    0
  4962, 32636,19910226,   22,    0
  4962, 32636,19910227,  -10,    0
  4962, 32636,19910228,   -6,    0
  4962, 32636,19910301,    4,    0
  4962, 32636,19910302,   26,    0
  4962, 32636,19910303,   42,    0
  4962, 32636,19910304,    8,    0
  4962, 32636,19910305,   52,    0
  4962, 32636,19910306,   68,    0
  4962, 32636,19910307,   66,    0
  4962, 32636,19910308,   66,    0
  4962, 32636,19910309,   78,    0
  4962, 32636,19910310,   97,    0
  4962, 32636,19910311,   98,    0
  4962, 32636,19910312,   87,    0
  4962, 32636,19910313,   70,    0
  4962, 32636,19910314,   90,    0
  4962, 32636,19910315,   99,    0
  4962, 32636,19910316,   85,    0
  4962, 32636,19910317,  104,    0
  4962, 32636,19910318,   94,    0
  4962, 32636,19910319,   90,    0
  4962, 32636,19910320,  112,    0
  4962, 32636,19910321,  126,    0
  4962, 32636,19910322,   76,    0
  4962, 32636,19910323,   79,    0
  4962, 32636,19910324,   69,    0
  4962, 32636,19910325,   53,    0
  4962, 32636,19910326,   21,    0
  4962, 32636,19910327,   12,    0
  4962, 32636,19910328,    9,    0
  4962, 32636,19910329,   -6,    0
  4962, 32636,19910330,   30,    0
  4962, 32636,19910331,   46,    0
  4962, 32636,19910401,   80,    0
  4962, 32636,19910402,  112,    0
  4962, 32636,19910403,  111,    0
  4962, 32636,19910404,   72,    0
  4962, 32636,19910405,   82,    0
  4962, 32636,19910406,   88,    0
  4962, 32636,19910407,   83,    0
  4962, 32636,19910408,   96,    0
  4962, 32636,19910409,   77,    0
  4962, 32636,19910410,   79,    0
  4962, 32636,19910411,  100,    0
  4962, 32636,19910412,  116,    0
  4962, 32636,19910413,  101,    0
  4962, 32636,19910414,  108,    0
  4962, 32636,19910415,  118,    0
  4962, 32636,19910416,   42,    0
  4962, 32636,19910417,   47,    0
  4962, 32636,19910418,   11,    0
  4962, 32636,19910419,   20,    0
  4962, 32636,19910420,   13,    0
  4962, 32636,19910421,    6,    0
  4962, 32636,19910422,   49,    0
  4962, 32636,19910423,   32,    0
  4962, 32636,19910424,   46,    0
  4962, 32636,19910425,   58,    0
  4962, 32636,19910426,   55,    0
  4962, 32636,19910427,   70,    0
  4962, 32636,19910428,  106,    0
  4962, 32636,19910429,   78,    0
  4962, 32636,19910430,   68,    0
  4962, 32636,19910501,   60,    0
  4962, 32636,19910502,   71,    0
  4962, 32636,19910503,   56,    0
  4962, 32636,19910504,   72,    0
  4962, 32636,19910505,   78,    0
  4962, 32636,19910506,   92,    0
  4962, 32636,19910507,   70,    0
  4962, 32636,19910508,   96,    0
  4962, 32636,19910509,   69,    0
  4962, 32636,19910510,  118,    0
  4962, 32636,19910511,  118,    0
  4962, 32636,19910512,  101,    0
  4962, 32636,19910513,  130,    0
  4962, 32636,19910514,   88,    0
  4962, 32636,19910515,   78,    0
  4962, 32636,19910516,   80,    0
  4962, 32636,19910517,   75,    0
  4962, 32636,19910518,   94,    0
  4962, 32636,19910519,  107,    0
  4962, 32636,19910520,  154,    0
  4962, 32636,19910521,  157,    0
  4962, 32636,19910522,  138,    0
  4962, 32636,19910523,   79,    0
  4962, 32636,19910524,   88,    0
  4962, 32636,19910525,   95,    0
  4962, 32636,19910526,  108,    0
  4962, 32636,19910527,  119,    0
  4962, 32636,19910528,  111,    0
  4962, 32636,19910529,  139,    0
  4962, 32636,19910530,  161,    0
  4962, 32636,19910531,  173,    0
  4962, 32636,19910601,  112,    0
  4962, 32636,19910602,  124,    0
  4962, 32636,19910603,  120,    0
  4962, 32636,19910604,   84,    0
  4962, 32636,19910605,   96,    0
  4962, 32636,19910606,  123,    0
  4962, 32636,19910607,  153,    0
  4962, 32636,19910608,  138,    0
  4962, 32636,19910609,  152,    0
  4962, 32636,19910610,  154,    0
  4962, 32636,19910611,  142,    0
  4962, 32636,19910612,  190,    0
  4962, 32636,19910613,  154,    0
  4962, 32636,19910614,  150,    0
  4962, 32636,19910615,  162,    0
  4962, 32636,19910616,  144,    0
  4962, 32636,19910617,  120,    0
  4962, 32636,19910618,  122,    0
  4962, 32636,19910619,  137,    0
  4962, 32636,19910620,  136,    0
  4962, 32636,19910621,  167,    0
  4962, 32636,19910622,  206,    0
  4962, 32636,19910623,  202,    0
  4962, 32636,19910624,  186,    0
  4962, 32636,19910625,  190,    0
  4962, 32636,19910626,  183,    0
  4962, 32636,19910627,  132,    0
  4962, 32636,19910628,  113,    0
  4962, 32636,19910629,  126,    0
  4962, 32636,19910630,  172,    0
  4962, 32636,19910701,  194,    0
  4962, 32636,19910702,  202,    0
  4962, 32636,19910703,  204,    0
  4962, 32636,19910704,  210,    0
  4962, 32636,19910705,  218,    0
  4962, 32636,19910706,  217,    0
  4962, 32636,19910707,  236,    0
  4962, 32636,19910708,  233,    0
  4962, 32636,19910709,  226,    0
  4962, 32636,19910710,  194,    0
  4962, 32636,19910711,  247,    0
  4962, 32636,19910712,  250,    0
  4962, 32636,19910713,  214,    0
  4962, 32636,19910714,  169,    0
  4962, 32636,19910715,  188,    0
  4962, 32636,19910716,  196,    0
  4962, 32636,19910717,  178,    0
  4962, 32636,19910718,  177,    0
  4962, 32636,19910719,  186,    0
  4962, 32636,19910720,  166,    0
  4962, 32636,19910721,  170,    0
  4962, 32636,19910722,  178,    0
  4962, 32636,19910723,  194,    0
  4962, 32636,19910724,  170,    0
  4962, 32636,19910725,  148,    0
  4962, 32636,19910726,  166,    0
  4962, 32636,19910727,  178,    0
  4962, 32636,19910728,  188,    0
  4962, 32636,19910729,  206,    0
  4962, 32636,19910730,  211,    0
  4962, 32636,19910731,  205,    0
  4962, 32636,19910801,  177,    0
  4962, 32636,19910802,  190,    0
  4962, 32636,19910803,  196,    0
  4962, 32636,19910804,  198,    0
  4962, 32636,19910805,  211,    0
  4962, 32636,19910806,  233,    0
  4962, 32636,19910807,  260,    0
  4962, 32636,19910808,  201,    0
  4962, 32636,19910809,  187,    0
  4962, 32636,19910810,  207,    0
  4962, 32636,19910811,  228,    0
  4962, 32636,19910812,  175,    0
  4962, 32636,19910813,  157,    0
  4962, 32636,19910814,  164,    0
  4962, 32636,19910815,  189,    0
  4962, 32636,19910816,  202,    0
  4962, 32636,19910817,  182,    0
  4962, 32636,19910818,  152,    0
  4962, 32636,19910819,  148,    0
  4962, 32636,19910820,  153,    0
  4962, 32636,19910821,  168,    0
  4962, 32636,19910822,  192,    0
  4962, 32636,19910823,  186,    0
  4962, 32636,19910824,  183,    0
  4962, 32636,19910825,  150,    0
  4962, 32636,19910826,  169,    0
  4962, 32636,19910827,  164,    0
  4962, 32636,19910828,  162,    0
  4962, 32636,19910829,  132,    0
  4962, 32636,19910830,  132,    0
  4962, 32636,19910831,  153,    0
  4962, 32636,19910901,  176,    0
  4962, 32636,19910902,  182,    0
  4962, 32636,19910903,  185,    0
  4962, 32636,19910904,  185,    0
  4962, 32636,19910905,  186,    0
  4962, 32636,19910906,  136,    0
  4962, 32636,19910907,  144,    0
  4962, 32636,19910908,  148,    0
  4962, 32636,19910909,  146,    0
  4962, 32636,19910910,  177,    0
  4962, 32636,19910911,  143,    0
  4962, 32636,19910912,  100,    0
  4962, 32636,19910913,  110,    0
  4962, 32636,19910914,  131,    0
  4962, 32636,19910915,  185,    0
  4962, 32636,19910916,  202,    0
  4962, 32636,19910917,  171,    0
  4962, 32636,19910918,  152,    0
  4962, 32636,19910919,  167,    0
  4962, 32636,19910920,  124,    0
  4962, 32636,19910921,  129,    0
  4962, 32636,19910922,  157,    0
  4962, 32636,19910923,  138,    0
  4962, 32636,19910924,  183,    0
  4962, 32636,19910925,  193,    0
  4962, 32636,19910926,  166,    0
  4962, 32636,19910927,  127,    0
  4962, 32636,19910928,  131,    0
  4962, 32636,19910929,  137,    0
  4962, 32636,19910930,  144,    0
  4962, 32636,19911001,  114,    0
  4962, 32636,19911002,  118,    0
  4962, 32636,19911003,  118,    0
  4962, 32636,19911004,  117,    0
  4962, 32636,19911005,  131,    0
  4962, 32636,19911006,  128,    0
  4962, 32636,19911007,  117,    0
  4962, 32636,19911008,  128,    0
  4962, 32636,19911009,  118,    0
  4962, 32636,19911010,  109,    0
  4962, 32636,19911011,  103,    0
  4962, 32636,19911012,  126,    0
  4962, 32636,19911013,  130,    0
  4962, 32636,19911014,  102,    0
  4962, 32636,19911015,  113,    0
  4962, 32636,19911016,  140,    0
  4962, 32636,19911017,  102,    0
  4962, 32636,19911018,   84,    0
  4962, 32636,19911019,   66,    0
  4962, 32636,19911020,   58,    0
  4962, 32636,19911021,    9,    0
  4962, 32636,19911022,   59,    0
  4962, 32636,19911023,   55,    0
  4962, 32636,19911024,   76,    0
  4962, 32636,19911025,   30,    0
  4962, 32636,19911026,   -8,    0
  4962, 32636,19911027,   -5,    0
  4962, 32636,19911028,  -20,    0
  4962, 32636,19911029,   -9,    0
  4962, 32636,19911030,  -15,    0
  4962, 32636,19911031,  -14,    0
  4962, 32636,19911101,   10,    0
