EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALTASTENBERG, GERMANY (STAID: 4978)
Blended and updated with sources:11460 32828 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4978, 32828,19470101,  -28,    0
  4978, 32828,19470102,  -36,    0
  4978, 32828,19470103,  -30,    0
  4978, 32828,19470104,  -91,    0
  4978, 32828,19470105, -131,    0
  4978, 32828,19470106, -143,    0
  4978, 32828,19470107, -118,    0
  4978, 32828,19470108,  -69,    0
  4978, 32828,19470109,  -14,    0
  4978, 32828,19470110,  -14,    0
  4978, 32828,19470111,  -21,    0
  4978, 32828,19470112,   -3,    0
  4978, 32828,19470113,   10,    0
  4978, 32828,19470114,    3,    0
  4978, 32828,19470115,   38,    0
  4978, 32828,19470116,   64,    0
  4978, 32828,19470117,   21,    0
  4978, 32828,19470118,   -8,    0
  4978, 32828,19470119,  -23,    0
  4978, 32828,19470120,  -56,    0
  4978, 32828,19470121,  -62,    0
  4978, 32828,19470122,  -91,    0
  4978, 32828,19470123,  -96,    0
  4978, 32828,19470124,  -96,    0
  4978, 32828,19470125, -116,    0
  4978, 32828,19470126, -131,    0
  4978, 32828,19470127, -146,    0
  4978, 32828,19470128, -151,    0
  4978, 32828,19470129, -120,    0
  4978, 32828,19470130,  -98,    0
  4978, 32828,19470131,  -95,    0
  4978, 32828,19470201,  -60,    0
  4978, 32828,19470202,  -74,    0
  4978, 32828,19470203,  -66,    0
  4978, 32828,19470204,  -90,    0
  4978, 32828,19470205,  -92,    0
  4978, 32828,19470206, -121,    0
  4978, 32828,19470207, -125,    0
  4978, 32828,19470208,  -93,    0
  4978, 32828,19470209,  -54,    0
  4978, 32828,19470210,  -81,    0
  4978, 32828,19470211, -100,    0
  4978, 32828,19470212,  -22,    0
  4978, 32828,19470213,  -16,    0
  4978, 32828,19470214,  -89,    0
  4978, 32828,19470215, -116,    0
  4978, 32828,19470216, -126,    0
  4978, 32828,19470217, -117,    0
  4978, 32828,19470218, -119,    0
  4978, 32828,19470219, -107,    0
  4978, 32828,19470220,  -98,    0
  4978, 32828,19470221,  -79,    0
  4978, 32828,19470222,  -22,    0
  4978, 32828,19470223, -117,    0
  4978, 32828,19470224, -106,    0
  4978, 32828,19470225,  -98,    0
  4978, 32828,19470226,  -67,    0
  4978, 32828,19470227,  -47,    0
  4978, 32828,19470228,  -46,    0
  4978, 32828,19470301,  -85,    0
  4978, 32828,19470302,  -66,    0
  4978, 32828,19470303,  -61,    0
  4978, 32828,19470304,  -47,    0
  4978, 32828,19470305,   14,    0
  4978, 32828,19470306,   29,    0
  4978, 32828,19470307,  -77,    0
  4978, 32828,19470308,  -64,    0
  4978, 32828,19470309,  -50,    0
  4978, 32828,19470310,  -35,    0
  4978, 32828,19470311,   -1,    0
  4978, 32828,19470312,  -75,    0
  4978, 32828,19470313,   10,    0
  4978, 32828,19470314,   -8,    0
  4978, 32828,19470315,  -56,    0
  4978, 32828,19470316,   -2,    0
  4978, 32828,19470317,   28,    0
  4978, 32828,19470318,   49,    0
  4978, 32828,19470319,   43,    0
  4978, 32828,19470320,   10,    0
  4978, 32828,19470321,   46,    0
  4978, 32828,19470322,   45,    0
  4978, 32828,19470323,   47,    0
  4978, 32828,19470324,   34,    0
  4978, 32828,19470325,   -4,    0
  4978, 32828,19470326,   16,    0
  4978, 32828,19470327,   34,    0
  4978, 32828,19470328,   91,    0
  4978, 32828,19470329,   84,    0
  4978, 32828,19470330,   53,    0
  4978, 32828,19470331,   50,    0
  4978, 32828,19470401,   26,    0
  4978, 32828,19470402,   45,    0
  4978, 32828,19470403,   27,    0
  4978, 32828,19470404,   27,    0
  4978, 32828,19470405,  -11,    0
  4978, 32828,19470406,   28,    0
  4978, 32828,19470407,   48,    0
  4978, 32828,19470408,   39,    0
  4978, 32828,19470409,  -22,    0
  4978, 32828,19470410,   -5,    0
  4978, 32828,19470411,   28,    0
  4978, 32828,19470412,   48,    0
  4978, 32828,19470413,   94,    0
  4978, 32828,19470414,  116,    0
  4978, 32828,19470415,  108,    0
  4978, 32828,19470416,  121,    0
  4978, 32828,19470417,  124,    0
  4978, 32828,19470418,   77,    0
  4978, 32828,19470419,   88,    0
  4978, 32828,19470420,  102,    0
  4978, 32828,19470421,   79,    0
  4978, 32828,19470422,  116,    0
  4978, 32828,19470423,   72,    0
  4978, 32828,19470424,   52,    0
  4978, 32828,19470425,   93,    0
  4978, 32828,19470426,   82,    0
  4978, 32828,19470427,  106,    0
  4978, 32828,19470428,   42,    0
  4978, 32828,19470429,   35,    0
  4978, 32828,19470430,   26,    0
  4978, 32828,19470501,   12,    0
  4978, 32828,19470502,   30,    0
  4978, 32828,19470503,   52,    0
  4978, 32828,19470504,   52,    0
  4978, 32828,19470505,   38,    0
  4978, 32828,19470506,   90,    0
  4978, 32828,19470507,  127,    0
  4978, 32828,19470508,  154,    0
  4978, 32828,19470509,  167,    0
  4978, 32828,19470510,  134,    0
  4978, 32828,19470511,  127,    0
  4978, 32828,19470512,  168,    0
  4978, 32828,19470513,  160,    0
  4978, 32828,19470514,  155,    0
  4978, 32828,19470515,   85,    0
  4978, 32828,19470516,   61,    0
  4978, 32828,19470517,   80,    0
  4978, 32828,19470518,   59,    0
  4978, 32828,19470519,   66,    0
  4978, 32828,19470520,   82,    0
  4978, 32828,19470521,   92,    0
  4978, 32828,19470522,  120,    0
  4978, 32828,19470523,  119,    0
  4978, 32828,19470524,  104,    0
  4978, 32828,19470525,  140,    0
  4978, 32828,19470526,  161,    0
  4978, 32828,19470527,  140,    0
  4978, 32828,19470528,  123,    0
  4978, 32828,19470529,  148,    0
  4978, 32828,19470530,  174,    0
  4978, 32828,19470531,  195,    0
  4978, 32828,19470601,  215,    0
  4978, 32828,19470602,  210,    0
  4978, 32828,19470603,  226,    0
  4978, 32828,19470604,  212,    0
  4978, 32828,19470605,  104,    0
  4978, 32828,19470606,   68,    0
  4978, 32828,19470607,   78,    0
  4978, 32828,19470608,   80,    0
  4978, 32828,19470609,   65,    0
  4978, 32828,19470610,   68,    0
  4978, 32828,19470611,   82,    0
  4978, 32828,19470612,   72,    0
  4978, 32828,19470613,  117,    0
  4978, 32828,19470614,  132,    0
  4978, 32828,19470615,   85,    0
  4978, 32828,19470616,   90,    0
  4978, 32828,19470617,  135,    0
  4978, 32828,19470618,  160,    0
  4978, 32828,19470619,  161,    0
  4978, 32828,19470620,  156,    0
  4978, 32828,19470621,  142,    0
  4978, 32828,19470622,  107,    0
  4978, 32828,19470623,   97,    0
  4978, 32828,19470624,  146,    0
  4978, 32828,19470625,  205,    0
  4978, 32828,19470626,  232,    0
  4978, 32828,19470627,  248,    0
  4978, 32828,19470628,  232,    0
  4978, 32828,19470629,  218,    0
  4978, 32828,19470630,  158,    0
  4978, 32828,19470701,  118,    0
  4978, 32828,19470702,  122,    0
  4978, 32828,19470703,  168,    0
  4978, 32828,19470704,  204,    0
  4978, 32828,19470705,  114,    0
  4978, 32828,19470706,   88,    0
  4978, 32828,19470707,  137,    0
  4978, 32828,19470708,  112,    0
  4978, 32828,19470709,   90,    0
  4978, 32828,19470710,   77,    0
  4978, 32828,19470711,   90,    0
  4978, 32828,19470712,  103,    0
  4978, 32828,19470713,  128,    0
  4978, 32828,19470714,  140,    0
  4978, 32828,19470715,  159,    0
  4978, 32828,19470716,  170,    0
  4978, 32828,19470717,  177,    0
  4978, 32828,19470718,  160,    0
  4978, 32828,19470719,  158,    0
  4978, 32828,19470720,  132,    0
  4978, 32828,19470721,  148,    0
  4978, 32828,19470722,  196,    0
  4978, 32828,19470723,  220,    0
  4978, 32828,19470724,  215,    0
  4978, 32828,19470725,  217,    0
  4978, 32828,19470726,  214,    0
  4978, 32828,19470727,  198,    0
  4978, 32828,19470728,  220,    0
  4978, 32828,19470729,  220,    0
  4978, 32828,19470730,  151,    0
  4978, 32828,19470731,  165,    0
  4978, 32828,19470801,  150,    0
  4978, 32828,19470802,  186,    0
  4978, 32828,19470803,  201,    0
  4978, 32828,19470804,  206,    0
  4978, 32828,19470805,  144,    0
  4978, 32828,19470806,  117,    0
  4978, 32828,19470807,  102,    0
  4978, 32828,19470808,  100,    0
  4978, 32828,19470809,  128,    0
  4978, 32828,19470810,  158,    0
  4978, 32828,19470811,  168,    0
  4978, 32828,19470812,  164,    0
  4978, 32828,19470813,  178,    0
  4978, 32828,19470814,  190,    0
  4978, 32828,19470815,  216,    0
  4978, 32828,19470816,  215,    0
  4978, 32828,19470817,  202,    0
  4978, 32828,19470818,  222,    0
  4978, 32828,19470819,  218,    0
  4978, 32828,19470820,  188,    0
  4978, 32828,19470821,  154,    0
  4978, 32828,19470822,  147,    0
  4978, 32828,19470823,  152,    0
  4978, 32828,19470824,  139,    0
  4978, 32828,19470825,  141,    0
  4978, 32828,19470826,  144,    0
  4978, 32828,19470827,  160,    0
  4978, 32828,19470828,  149,    0
  4978, 32828,19470829,  130,    0
  4978, 32828,19470830,  105,    0
  4978, 32828,19470831,  117,    0
  4978, 32828,19470901,  119,    0
  4978, 32828,19470902,  136,    0
  4978, 32828,19470903,  132,    0
  4978, 32828,19470904,  142,    0
  4978, 32828,19470905,  164,    0
  4978, 32828,19470906,  168,    0
  4978, 32828,19470907,  126,    0
  4978, 32828,19470908,  132,    0
  4978, 32828,19470909,  123,    0
  4978, 32828,19470910,  130,    0
  4978, 32828,19470911,  190,    0
  4978, 32828,19470912,  218,    0
  4978, 32828,19470913,  222,    0
  4978, 32828,19470914,  188,    0
  4978, 32828,19470915,  216,    0
  4978, 32828,19470916,  228,    0
  4978, 32828,19470917,  168,    0
  4978, 32828,19470918,  198,    0
  4978, 32828,19470919,  233,    0
  4978, 32828,19470920,  206,    0
  4978, 32828,19470921,  130,    0
  4978, 32828,19470922,   88,    0
  4978, 32828,19470923,   61,    0
  4978, 32828,19470924,   50,    0
  4978, 32828,19470925,   86,    0
  4978, 32828,19470926,  130,    0
  4978, 32828,19470927,  122,    0
  4978, 32828,19470928,  125,    0
  4978, 32828,19470929,   92,    0
  4978, 32828,19470930,   44,    0
  4978, 32828,19471001,   52,    0
  4978, 32828,19471002,   42,    0
  4978, 32828,19471003,   46,    0
  4978, 32828,19471004,  111,    0
  4978, 32828,19471005,  135,    0
  4978, 32828,19471006,  142,    0
  4978, 32828,19471007,  129,    0
  4978, 32828,19471008,  153,    0
  4978, 32828,19471009,  136,    0
  4978, 32828,19471010,  106,    0
  4978, 32828,19471011,  104,    0
  4978, 32828,19471012,  128,    0
