EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BYGLANDSFJORD - SOLBAKKEN, NORWAY (STAID: 4998)
Blended and updated with sources:33052 33064 33076 901442 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4998, 33052,19380101,-9999,    9
  4998, 33052,19380102,  -36,    0
  4998, 33052,19380103,  -60,    0
  4998, 33052,19380104,  -12,    0
  4998, 33052,19380105,   27,    1
  4998, 33052,19380106,  -62,    0
  4998, 33052,19380107,  -67,    0
  4998, 33052,19380108,  -32,    0
  4998, 33052,19380109,  -23,    0
  4998, 33052,19380110,   -6,    0
  4998, 33052,19380111,  -28,    0
  4998, 33052,19380112,  -45,    0
  4998, 33052,19380113,   -9,    0
  4998, 33052,19380114,   21,    1
  4998, 33052,19380115,    8,    1
  4998, 33052,19380116,   30,    1
  4998, 33052,19380117,   14,    1
  4998, 33052,19380118,    2,    1
  4998, 33052,19380119,  -12,    0
  4998, 33052,19380120,   -7,    0
  4998, 33052,19380121,   14,    1
  4998, 33052,19380122,    9,    1
  4998, 33052,19380123,   65,    1
  4998, 33052,19380124,   25,    1
  4998, 33052,19380125,   37,    1
  4998, 33052,19380126,    8,    1
  4998, 33052,19380127,  -59,    0
  4998, 33052,19380128,  -25,    0
  4998, 33052,19380129,    2,    1
  4998, 33052,19380130,   24,    1
  4998, 33052,19380131,    4,    1
  4998, 33052,19380201,   21,    1
  4998, 33052,19380202,   24,    1
  4998, 33052,19380203,   25,    1
  4998, 33052,19380204,   52,    1
  4998, 33052,19380205,   46,    1
  4998, 33052,19380206,   17,    1
  4998, 33052,19380207,    0,    0
  4998, 33052,19380208,  -27,    0
  4998, 33052,19380209,   15,    1
  4998, 33052,19380210,   -2,    0
  4998, 33052,19380211,    5,    1
  4998, 33052,19380212,  -35,    0
  4998, 33052,19380213,  -20,    0
  4998, 33052,19380214,  -45,    0
  4998, 33052,19380215,  -53,    0
  4998, 33052,19380216,  -35,    0
  4998, 33052,19380217,  -27,    0
  4998, 33052,19380218,   -2,    0
  4998, 33052,19380219,    9,    1
  4998, 33052,19380220,   -9,    0
  4998, 33052,19380221,   28,    1
  4998, 33052,19380222,   -9,    0
  4998, 33052,19380223,  -52,    0
  4998, 33052,19380224,  -53,    0
  4998, 33052,19380225,  -59,    0
  4998, 33052,19380226,   -6,    0
