EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAMMERFEST LUFTHAVN, NORWAY (STAID: 5002)
Blended and updated with sources:33124 901052 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5002, 33124,19970601,-9999,    9
  5002, 33124,19970602,-9999,    9
  5002, 33124,19970603,-9999,    9
  5002, 33124,19970604,-9999,    9
  5002, 33124,19970605,-9999,    9
  5002, 33124,19970606,-9999,    9
  5002, 33124,19970607,-9999,    9
  5002, 33124,19970608,-9999,    9
  5002, 33124,19970609,-9999,    9
  5002, 33124,19970610,-9999,    9
  5002, 33124,19970611,-9999,    9
  5002, 33124,19970612,-9999,    9
  5002, 33124,19970613,-9999,    9
  5002, 33124,19970614,-9999,    9
  5002, 33124,19970615,-9999,    9
  5002, 33124,19970616,-9999,    9
  5002, 33124,19970617,-9999,    9
  5002, 33124,19970618,-9999,    9
  5002, 33124,19970619,-9999,    9
  5002, 33124,19970620,-9999,    9
  5002, 33124,19970621,-9999,    9
  5002, 33124,19970622,-9999,    9
  5002, 33124,19970623,-9999,    9
  5002, 33124,19970624,-9999,    9
  5002, 33124,19970625,-9999,    9
  5002, 33124,19970626,-9999,    9
  5002, 33124,19970627,-9999,    9
  5002, 33124,19970628,-9999,    9
  5002, 33124,19970629,-9999,    9
