EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRISTIANSUND LUFTHAVN, NORWAY (STAID: 5049)
Blended and updated with sources:33688 901223 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5049, 33688,19970601,-9999,    9
  5049, 33688,19970602,-9999,    9
  5049, 33688,19970603,-9999,    9
  5049, 33688,19970604,-9999,    9
  5049, 33688,19970605,-9999,    9
  5049, 33688,19970606,-9999,    9
  5049, 33688,19970607,-9999,    9
  5049, 33688,19970608,-9999,    9
  5049, 33688,19970609,-9999,    9
  5049, 33688,19970610,-9999,    9
  5049, 33688,19970611,-9999,    9
  5049, 33688,19970612,-9999,    9
  5049, 33688,19970613,-9999,    9
  5049, 33688,19970614,-9999,    9
  5049, 33688,19970615,-9999,    9
  5049, 33688,19970616,-9999,    9
  5049, 33688,19970617,-9999,    9
  5049, 33688,19970618,-9999,    9
  5049, 33688,19970619,-9999,    9
  5049, 33688,19970620,-9999,    9
  5049, 33688,19970621,-9999,    9
  5049, 33688,19970622,-9999,    9
  5049, 33688,19970623,-9999,    9
  5049, 33688,19970624,-9999,    9
  5049, 33688,19970625,-9999,    9
  5049, 33688,19970626,-9999,    9
  5049, 33688,19970627,-9999,    9
  5049, 33688,19970628,-9999,    9
  5049, 33688,19970629,-9999,    9
  5049, 33688,19970630,-9999,    9
  5049, 33688,19970701,-9999,    9
  5049, 33688,19970702,-9999,    9
  5049, 33688,19970703,-9999,    9
  5049, 33688,19970704,-9999,    9
  5049, 33688,19970705,-9999,    9
  5049, 33688,19970706,-9999,    9
  5049, 33688,19970707,-9999,    9
  5049, 33688,19970708,-9999,    9
  5049, 33688,19970709,-9999,    9
  5049, 33688,19970710,-9999,    9
  5049, 33688,19970711,-9999,    9
  5049, 33688,19970712,-9999,    9
  5049, 33688,19970713,-9999,    9
  5049, 33688,19970714,-9999,    9
  5049, 33688,19970715,-9999,    9
  5049, 33688,19970716,-9999,    9
  5049, 33688,19970717,-9999,    9
  5049, 33688,19970718,-9999,    9
  5049, 33688,19970719,-9999,    9
  5049, 33688,19970720,-9999,    9
  5049, 33688,19970721,-9999,    9
  5049, 33688,19970722,-9999,    9
  5049, 33688,19970723,-9999,    9
  5049, 33688,19970724,-9999,    9
  5049, 33688,19970725,-9999,    9
  5049, 33688,19970726,-9999,    9
  5049, 33688,19970727,-9999,    9
  5049, 33688,19970728,-9999,    9
  5049, 33688,19970729,-9999,    9
  5049, 33688,19970730,-9999,    9
  5049, 33688,19970731,-9999,    9
