EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MO I RANA LUFTHAVN, NORWAY (STAID: 5074)
Blended and updated with sources:33988 901151 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5074, 33988,20110601,   85,    0
  5074, 33988,20110602,   82,    0
  5074, 33988,20110603,   87,    0
  5074, 33988,20110604,   65,    0
  5074, 33988,20110605,   80,    0
  5074, 33988,20110606,  135,    0
  5074, 33988,20110607,  122,    0
  5074, 33988,20110608,  164,    0
  5074, 33988,20110609,  219,    0
  5074, 33988,20110610,  213,    0
  5074, 33988,20110611,  214,    0
  5074, 33988,20110612,  196,    0
  5074, 33988,20110613,  116,    0
  5074, 33988,20110614,  147,    0
  5074, 33988,20110615,  144,    0
  5074, 33988,20110616,  136,    0
  5074, 33988,20110617,  152,    0
  5074, 33988,20110618,  168,    0
  5074, 33988,20110619,  143,    0
  5074, 33988,20110620,  132,    0
  5074, 33988,20110621,  109,    0
  5074, 33988,20110622,   93,    0
  5074, 33988,20110623,  114,    0
  5074, 33988,20110624,  105,    0
  5074, 33988,20110625,  114,    0
  5074, 33988,20110626,  119,    0
  5074, 33988,20110627,  154,    0
  5074, 33988,20110628,  153,    0
  5074, 33988,20110629,  176,    0
  5074, 33988,20110630,  130,    0
  5074, 33988,20110701,  126,    0
  5074, 33988,20110702,  130,    0
  5074, 33988,20110703,  157,    0
  5074, 33988,20110704,  176,    0
  5074, 33988,20110705,  152,    0
  5074, 33988,20110706,  173,    0
  5074, 33988,20110707,  186,    0
  5074, 33988,20110708,  200,    0
  5074, 33988,20110709,  201,    0
  5074, 33988,20110710,  168,    0
  5074, 33988,20110711,  136,    0
  5074, 33988,20110712,  113,    0
  5074, 33988,20110713,   97,    0
  5074, 33988,20110714,   98,    0
  5074, 33988,20110715,  144,    0
  5074, 33988,20110716,  158,    0
  5074, 33988,20110717,  163,    0
  5074, 33988,20110718,  167,    0
  5074, 33988,20110719,  171,    0
  5074, 33988,20110720,  146,    0
  5074, 33988,20110721,  132,    0
  5074, 33988,20110722,  132,    0
  5074, 33988,20110723,  134,    0
  5074, 33988,20110724,  202,    0
  5074, 33988,20110725,  180,    0
  5074, 33988,20110726,  157,    0
  5074, 33988,20110727,  161,    0
  5074, 33988,20110728,  177,    0
  5074, 33988,20110729,  145,    0
  5074, 33988,20110730,  145,    0
  5074, 33988,20110731,  163,    0
  5074, 33988,20110801,  179,    0
  5074, 33988,20110802,  159,    0
  5074, 33988,20110803,  144,    0
  5074, 33988,20110804,  169,    0
  5074, 33988,20110805,  170,    0
  5074, 33988,20110806,  152,    0
  5074, 33988,20110807,  162,    0
  5074, 33988,20110808,  145,    0
  5074, 33988,20110809,  127,    0
  5074, 33988,20110810,  104,    0
  5074, 33988,20110811,   91,    0
  5074, 33988,20110812,   88,    0
  5074, 33988,20110813,  136,    0
  5074, 33988,20110814,  178,    0
  5074, 33988,20110815,  183,    0
  5074, 33988,20110816,  172,    0
  5074, 33988,20110817,  159,    0
  5074, 33988,20110818,  118,    0
  5074, 33988,20110819,  120,    0
  5074, 33988,20110820,  150,    0
  5074, 33988,20110821,  140,    0
  5074, 33988,20110822,  136,    0
  5074, 33988,20110823,  125,    0
  5074, 33988,20110824,  143,    0
  5074, 33988,20110825,  138,    0
  5074, 33988,20110826,  130,    0
  5074, 33988,20110827,  133,    0
  5074, 33988,20110828,  190,    0
  5074, 33988,20110829,  141,    0
  5074, 33988,20110830,  105,    0
  5074, 33988,20110831,  105,    0
  5074, 33988,20110901,  104,    0
  5074, 33988,20110902,  115,    0
  5074, 33988,20110903,  156,    0
  5074, 33988,20110904,  150,    0
  5074, 33988,20110905,  154,    0
  5074, 33988,20110906,  141,    0
  5074, 33988,20110907,  141,    0
  5074, 33988,20110908,  114,    0
