EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSLO - VESTLI, NORWAY (STAID: 5097)
Blended and updated with sources:34264 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5097, 34264,20170123,-9999,    9
  5097, 34264,20170124,  -54,    0
  5097, 34264,20170125,  -10,    0
  5097, 34264,20170126,   13,    0
  5097, 34264,20170127,   -4,    0
  5097, 34264,20170128,   -7,    0
  5097, 34264,20170129,   -6,    0
  5097, 34264,20170130,   11,    0
  5097, 34264,20170131,  -10,    0
  5097, 34264,20170201,   -6,    0
  5097, 34264,20170202,   -8,    0
  5097, 34264,20170203,   -6,    0
  5097, 34264,20170204,  -12,    0
  5097, 34264,20170205,   -7,    0
  5097, 34264,20170206,  -18,    0
  5097, 34264,20170207,-9999,    9
  5097, 34264,20170208,  -77,    0
  5097, 34264,20170209,  -67,    0
  5097, 34264,20170210,  -52,    0
  5097, 34264,20170211,  -45,    0
  5097, 34264,20170212,  -55,    0
  5097, 34264,20170213,  -50,    0
  5097, 34264,20170214,  -67,    0
  5097, 34264,20170215,  -51,    0
  5097, 34264,20170216,  -26,    0
  5097, 34264,20170217,  -28,    0
  5097, 34264,20170218,  -40,    0
  5097, 34264,20170219,   11,    0
  5097, 34264,20170220,   19,    0
  5097, 34264,20170221,    9,    0
  5097, 34264,20170222,    1,    0
  5097, 34264,20170223,  -38,    0
  5097, 34264,20170224,  -55,    0
  5097, 34264,20170225,  -56,    0
  5097, 34264,20170226,   -7,    0
  5097, 34264,20170227,   15,    0
  5097, 34264,20170228,   20,    0
  5097, 34264,20170301,   10,    0
  5097, 34264,20170302,   -4,    0
  5097, 34264,20170303,  -10,    0
  5097, 34264,20170304,  -12,    0
  5097, 34264,20170305,  -23,    0
  5097, 34264,20170306,  -34,    0
  5097, 34264,20170307,  -40,    0
  5097, 34264,20170308,  -34,    0
  5097, 34264,20170309,    0,    0
  5097, 34264,20170310,    7,    0
  5097, 34264,20170311,-9999,    9
  5097, 34264,20170312,-9999,    9
  5097, 34264,20170313,   16,    0
  5097, 34264,20170314,-9999,    9
  5097, 34264,20170315,-9999,    9
  5097, 34264,20170316,-9999,    9
  5097, 34264,20170317,   39,    0
  5097, 34264,20170318,   -8,    0
  5097, 34264,20170319,   -5,    0
  5097, 34264,20170320,   13,    0
  5097, 34264,20170321,   26,    0
  5097, 34264,20170322,   14,    0
  5097, 34264,20170323,    0,    0
  5097, 34264,20170324,   12,    0
  5097, 34264,20170325,   42,    0
  5097, 34264,20170326,   82,    0
  5097, 34264,20170327,   68,    0
  5097, 34264,20170328,   55,    0
  5097, 34264,20170329,   22,    0
  5097, 34264,20170330,   12,    0
  5097, 34264,20170331,   21,    0
  5097, 34264,20170401,   47,    0
  5097, 34264,20170402,   58,    0
  5097, 34264,20170403,   58,    0
  5097, 34264,20170404,   46,    0
  5097, 34264,20170405,   56,    0
  5097, 34264,20170406,   40,    0
  5097, 34264,20170407,   79,    0
  5097, 34264,20170408,   70,    0
  5097, 34264,20170409,   68,    0
  5097, 34264,20170410,   81,    0
  5097, 34264,20170411,   51,    0
  5097, 34264,20170412,   45,    0
  5097, 34264,20170413,   21,    0
  5097, 34264,20170414,   -7,    0
  5097, 34264,20170415,  -20,    0
  5097, 34264,20170416,    4,    0
  5097, 34264,20170417,   10,    0
  5097, 34264,20170418,    1,    0
  5097, 34264,20170419,   23,    0
  5097, 34264,20170420,   64,    0
  5097, 34264,20170421,   69,    0
  5097, 34264,20170422,   45,    0
  5097, 34264,20170423,   28,    0
  5097, 34264,20170424,    5,    0
  5097, 34264,20170425,   23,    0
  5097, 34264,20170426,   38,    0
  5097, 34264,20170427,   19,    0
  5097, 34264,20170428,   30,    0
  5097, 34264,20170429,   43,    0
  5097, 34264,20170430,   50,    0
  5097, 34264,20170501,   58,    0
  5097, 34264,20170502,   93,    0
  5097, 34264,20170503,  106,    0
  5097, 34264,20170504,   96,    0
  5097, 34264,20170505,  133,    0
  5097, 34264,20170506,  150,    0
  5097, 34264,20170507,   84,    0
  5097, 34264,20170508,   49,    0
  5097, 34264,20170509,   42,    0
  5097, 34264,20170510,   14,    0
  5097, 34264,20170511,   26,    0
  5097, 34264,20170512,   47,    0
  5097, 34264,20170513,   71,    0
  5097, 34264,20170514,   82,    0
  5097, 34264,20170515,   84,    0
  5097, 34264,20170516,   74,    0
  5097, 34264,20170517,  110,    0
  5097, 34264,20170518,  134,    0
  5097, 34264,20170519,  143,    0
  5097, 34264,20170520,  146,    0
  5097, 34264,20170521,  135,    0
  5097, 34264,20170522,  102,    0
  5097, 34264,20170523,  115,    0
  5097, 34264,20170524,  135,    0
  5097, 34264,20170525,  149,    0
  5097, 34264,20170526,  166,    0
  5097, 34264,20170527,  168,    0
  5097, 34264,20170528,  149,    0
  5097, 34264,20170529,  158,    0
  5097, 34264,20170530,  125,    0
  5097, 34264,20170531,  108,    0
  5097, 34264,20170601,  106,    0
  5097, 34264,20170602,   95,    0
  5097, 34264,20170603,  104,    0
  5097, 34264,20170604,  120,    0
  5097, 34264,20170605,  137,    0
  5097, 34264,20170606,  138,    0
  5097, 34264,20170607,  120,    0
  5097, 34264,20170608,  121,    0
  5097, 34264,20170609,-9999,    9
  5097, 34264,20170610,-9999,    9
  5097, 34264,20170611,  127,    0
  5097, 34264,20170612,  146,    0
  5097, 34264,20170613,  138,    0
  5097, 34264,20170614,  148,    0
  5097, 34264,20170615,  157,    0
  5097, 34264,20170616,  147,    0
  5097, 34264,20170617,  165,    0
  5097, 34264,20170618,  180,    0
  5097, 34264,20170619,  147,    0
  5097, 34264,20170620,  140,    0
  5097, 34264,20170621,  132,    0
  5097, 34264,20170622,  136,    0
  5097, 34264,20170623,-9999,    9
  5097, 34264,20170624,-9999,    9
  5097, 34264,20170625,-9999,    9
  5097, 34264,20170626,  127,    0
  5097, 34264,20170627,  118,    0
  5097, 34264,20170628,  136,    0
  5097, 34264,20170629,  152,    0
  5097, 34264,20170630,  167,    0
  5097, 34264,20170701,  173,    0
  5097, 34264,20170702,  169,    0
  5097, 34264,20170703,  146,    0
  5097, 34264,20170704,  143,    0
  5097, 34264,20170705,  132,    0
  5097, 34264,20170706,  141,    0
  5097, 34264,20170707,  156,    0
  5097, 34264,20170708,  144,    0
  5097, 34264,20170709,  158,    0
  5097, 34264,20170710,  139,    0
  5097, 34264,20170711,  146,    0
  5097, 34264,20170712,  127,    0
  5097, 34264,20170713,  119,    0
  5097, 34264,20170714,  142,    0
  5097, 34264,20170715,  153,    0
  5097, 34264,20170716,  149,    0
  5097, 34264,20170717,  131,    0
  5097, 34264,20170718,  141,    0
  5097, 34264,20170719,  144,    0
  5097, 34264,20170720,  158,    0
  5097, 34264,20170721,  150,    0
  5097, 34264,20170722,  164,    0
  5097, 34264,20170723,  167,    0
  5097, 34264,20170724,  160,    0
  5097, 34264,20170725,  169,    0
  5097, 34264,20170726,  165,    0
  5097, 34264,20170727,  160,    0
  5097, 34264,20170728,  150,    0
  5097, 34264,20170729,  142,    0
  5097, 34264,20170730,  151,    0
  5097, 34264,20170731,  152,    0
  5097, 34264,20170801,  154,    0
  5097, 34264,20170802,  139,    0
  5097, 34264,20170803,  128,    0
  5097, 34264,20170804,  145,    0
  5097, 34264,20170805,  146,    0
  5097, 34264,20170806,  141,    0
  5097, 34264,20170807,  127,    0
  5097, 34264,20170808,  152,    0
  5097, 34264,20170809,  136,    0
  5097, 34264,20170810,  156,    0
  5097, 34264,20170811,  149,    0
  5097, 34264,20170812,  153,    0
  5097, 34264,20170813,  131,    0
  5097, 34264,20170814,  123,    0
  5097, 34264,20170815,  139,    0
  5097, 34264,20170816,  160,    0
  5097, 34264,20170817,  140,    0
  5097, 34264,20170818,  153,    0
  5097, 34264,20170819,  146,    0
  5097, 34264,20170820,  136,    0
  5097, 34264,20170821,  134,    0
  5097, 34264,20170822,  113,    0
