EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ASKIM II, NORWAY (STAID: 5099)
Blended and updated with sources:34288 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5099, 34288,20160406,   55,    0
  5099, 34288,20160407,   48,    0
  5099, 34288,20160408,   38,    0
  5099, 34288,20160409,   37,    0
  5099, 34288,20160410,   43,    0
  5099, 34288,20160411,   51,    0
  5099, 34288,20160412,   55,    0
  5099, 34288,20160413,   67,    0
  5099, 34288,20160414,   59,    0
  5099, 34288,20160415,   57,    0
  5099, 34288,20160416,   60,    0
  5099, 34288,20160417,   46,    0
  5099, 34288,20160418,   63,    0
  5099, 34288,20160419,   63,    0
  5099, 34288,20160420,   59,    0
  5099, 34288,20160421,   81,    0
  5099, 34288,20160422,   45,    0
  5099, 34288,20160423,   17,    0
  5099, 34288,20160424,   19,    0
  5099, 34288,20160425,   24,    0
  5099, 34288,20160426,   30,    0
  5099, 34288,20160427,   40,    0
  5099, 34288,20160428,   38,    0
  5099, 34288,20160429,   42,    0
  5099, 34288,20160430,   35,    0
  5099, 34288,20160501,   60,    0
  5099, 34288,20160502,   74,    0
  5099, 34288,20160503,   79,    0
  5099, 34288,20160504,   85,    0
  5099, 34288,20160505,   88,    0
  5099, 34288,20160506,   99,    0
  5099, 34288,20160507,  121,    0
  5099, 34288,20160508,  144,    0
  5099, 34288,20160509,  150,    0
  5099, 34288,20160510,  159,    0
  5099, 34288,20160511,  134,    0
  5099, 34288,20160512,  116,    0
  5099, 34288,20160513,   77,    0
  5099, 34288,20160514,   79,    0
  5099, 34288,20160515,   94,    0
  5099, 34288,20160516,   99,    0
  5099, 34288,20160517,   97,    0
  5099, 34288,20160518,  105,    0
  5099, 34288,20160519,  108,    0
  5099, 34288,20160520,  104,    0
  5099, 34288,20160521,  106,    0
  5099, 34288,20160522,  133,    0
  5099, 34288,20160523,  134,    0
  5099, 34288,20160524,   91,    0
  5099, 34288,20160525,  120,    0
  5099, 34288,20160526,  125,    0
  5099, 34288,20160527,  139,    0
  5099, 34288,20160528,  125,    0
  5099, 34288,20160529,  126,    0
  5099, 34288,20160530,  160,    0
  5099, 34288,20160531,  188,    0
  5099, 34288,20160601,  199,    0
  5099, 34288,20160602,  205,    0
  5099, 34288,20160603,  209,    0
  5099, 34288,20160604,  164,    0
  5099, 34288,20160605,  158,    0
  5099, 34288,20160606,  152,    0
  5099, 34288,20160607,  159,    0
  5099, 34288,20160608,  136,    0
  5099, 34288,20160609,  117,    0
  5099, 34288,20160610,  108,    0
  5099, 34288,20160611,  117,    0
  5099, 34288,20160612,  132,    0
  5099, 34288,20160613,  144,    0
  5099, 34288,20160614,  161,    0
  5099, 34288,20160615,  134,    0
  5099, 34288,20160616,  179,    0
  5099, 34288,20160617,  156,    0
  5099, 34288,20160618,  160,    0
  5099, 34288,20160619,  126,    0
  5099, 34288,20160620,  126,    0
  5099, 34288,20160621,  162,    0
  5099, 34288,20160622,  157,    0
  5099, 34288,20160623,  159,    0
  5099, 34288,20160624,  170,    0
  5099, 34288,20160625,  185,    0
  5099, 34288,20160626,  164,    0
  5099, 34288,20160627,  144,    0
  5099, 34288,20160628,  152,    0
  5099, 34288,20160629,  144,    0
  5099, 34288,20160630,-9999,    9
  5099, 34288,20160701,-9999,    9
  5099, 34288,20160702,-9999,    9
  5099, 34288,20160703,-9999,    9
  5099, 34288,20160704,-9999,    9
  5099, 34288,20160705,-9999,    9
  5099, 34288,20160706,-9999,    9
  5099, 34288,20160707,  143,    0
  5099, 34288,20160708,  158,    0
  5099, 34288,20160709,  148,    0
  5099, 34288,20160710,  155,    0
  5099, 34288,20160711,  161,    0
  5099, 34288,20160712,  164,    0
  5099, 34288,20160713,  163,    0
  5099, 34288,20160714,  160,    0
  5099, 34288,20160715,  176,    0
  5099, 34288,20160716,  164,    0
  5099, 34288,20160717,  141,    0
  5099, 34288,20160718,  150,    0
  5099, 34288,20160719,  155,    0
  5099, 34288,20160720,  188,    0
  5099, 34288,20160721,  191,    0
  5099, 34288,20160722,  197,    0
  5099, 34288,20160723,  191,    0
  5099, 34288,20160724,  195,    0
  5099, 34288,20160725,  193,    0
  5099, 34288,20160726,  173,    0
  5099, 34288,20160727,  164,    0
  5099, 34288,20160728,  168,    0
  5099, 34288,20160729,  158,    0
  5099, 34288,20160730,  165,    0
  5099, 34288,20160731,  145,    0
  5099, 34288,20160801,  143,    0
  5099, 34288,20160802,  148,    0
  5099, 34288,20160803,  142,    0
  5099, 34288,20160804,  154,    0
  5099, 34288,20160805,  159,    0
  5099, 34288,20160806,  149,    0
  5099, 34288,20160807,  139,    0
  5099, 34288,20160808,  144,    0
  5099, 34288,20160809,  131,    0
