EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KONGSVOLL FJELLSTUE, NORWAY (STAID: 5127)
Blended and updated with sources:34624 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5127, 34624,19801001,-9999,    9
  5127, 34624,19801002,-9999,    9
  5127, 34624,19801003,-9999,    9
  5127, 34624,19801004,-9999,    9
  5127, 34624,19801005,-9999,    9
  5127, 34624,19801006,-9999,    9
  5127, 34624,19801007,-9999,    9
  5127, 34624,19801008,-9999,    9
  5127, 34624,19801009,-9999,    9
  5127, 34624,19801010,-9999,    9
  5127, 34624,19801011,-9999,    9
  5127, 34624,19801012,-9999,    9
  5127, 34624,19801013,-9999,    9
  5127, 34624,19801014,-9999,    9
  5127, 34624,19801015,-9999,    9
  5127, 34624,19801016,-9999,    9
  5127, 34624,19801017,-9999,    9
  5127, 34624,19801018,  -32,    0
  5127, 34624,19801019,   -2,    0
  5127, 34624,19801020,  -39,    0
  5127, 34624,19801021,  -66,    0
  5127, 34624,19801022,  -83,    0
  5127, 34624,19801023, -135,    0
  5127, 34624,19801024,  -91,    0
  5127, 34624,19801025,  -72,    0
  5127, 34624,19801026, -125,    0
  5127, 34624,19801027,  -59,    0
  5127, 34624,19801028,    7,    0
  5127, 34624,19801029,  -33,    0
  5127, 34624,19801030, -130,    0
  5127, 34624,19801031, -150,    0
  5127, 34624,19801101, -117,    0
  5127, 34624,19801102,  -84,    0
  5127, 34624,19801103,  -91,    0
  5127, 34624,19801104,  -49,    0
  5127, 34624,19801105,  -78,    0
  5127, 34624,19801106,  -72,    0
  5127, 34624,19801107,  -86,    0
  5127, 34624,19801108,  -30,    0
  5127, 34624,19801109,  -52,    0
  5127, 34624,19801110,  -62,    0
  5127, 34624,19801111,  -87,    0
  5127, 34624,19801112, -144,    0
  5127, 34624,19801113, -100,    0
  5127, 34624,19801114, -124,    0
  5127, 34624,19801115, -102,    0
  5127, 34624,19801116,  -49,    0
  5127, 34624,19801117,  -86,    0
  5127, 34624,19801118, -101,    0
  5127, 34624,19801119, -120,    0
  5127, 34624,19801120,  -73,    0
  5127, 34624,19801121,    6,    0
  5127, 34624,19801122,   11,    0
  5127, 34624,19801123,   -6,    0
  5127, 34624,19801124,  -80,    0
  5127, 34624,19801125, -135,    0
  5127, 34624,19801126, -189,    0
  5127, 34624,19801127, -222,    0
  5127, 34624,19801128, -142,    0
  5127, 34624,19801129,  -87,    0
  5127, 34624,19801130,  -48,    0
  5127, 34624,19801201,  -12,    0
  5127, 34624,19801202,  -63,    0
  5127, 34624,19801203,  -92,    0
  5127, 34624,19801204, -131,    0
  5127, 34624,19801205, -155,    0
  5127, 34624,19801206, -162,    0
  5127, 34624,19801207, -100,    0
  5127, 34624,19801208,  -25,    0
  5127, 34624,19801209,  -14,    0
  5127, 34624,19801210,  -68,    0
  5127, 34624,19801211,  -47,    0
  5127, 34624,19801212,    6,    0
  5127, 34624,19801213,   11,    0
  5127, 34624,19801214,  -42,    0
  5127, 34624,19801215,  -80,    0
  5127, 34624,19801216, -101,    0
  5127, 34624,19801217,  -51,    0
  5127, 34624,19801218,  -67,    0
  5127, 34624,19801219, -140,    0
  5127, 34624,19801220, -110,    0
  5127, 34624,19801221, -109,    0
  5127, 34624,19801222, -147,    0
  5127, 34624,19801223,  -67,    0
  5127, 34624,19801224,  -57,    0
  5127, 34624,19801225,  -60,    0
  5127, 34624,19801226, -113,    0
  5127, 34624,19801227, -109,    0
  5127, 34624,19801228,  -37,    0
  5127, 34624,19801229,  -20,    0
  5127, 34624,19801230,  -51,    0
  5127, 34624,19801231,  -56,    0
  5127, 34624,19810101,  -67,    0
  5127, 34624,19810102,  -89,    0
  5127, 34624,19810103, -177,    0
  5127, 34624,19810104, -228,    0
  5127, 34624,19810105, -176,    0
  5127, 34624,19810106, -162,    0
  5127, 34624,19810107, -166,    0
  5127, 34624,19810108,   -4,    0
  5127, 34624,19810109,  -64,    0
  5127, 34624,19810110,  -62,    0
  5127, 34624,19810111,  -25,    0
  5127, 34624,19810112,  -67,    0
  5127, 34624,19810113,  -94,    0
  5127, 34624,19810114, -118,    0
  5127, 34624,19810115,  -73,    0
  5127, 34624,19810116,  -73,    0
  5127, 34624,19810117, -149,    0
  5127, 34624,19810118, -243,    0
  5127, 34624,19810119, -205,    0
  5127, 34624,19810120, -152,    0
  5127, 34624,19810121,  -35,    0
  5127, 34624,19810122,   -5,    0
  5127, 34624,19810123,   25,    0
  5127, 34624,19810124,   -4,    0
