EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERGELIGREND, NORWAY (STAID: 5141)
Blended and updated with sources:34792 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5141, 34792,20160301,-9999,    9
  5141, 34792,20160302,-9999,    9
  5141, 34792,20160303,-9999,    9
  5141, 34792,20160304,-9999,    9
  5141, 34792,20160305,-9999,    9
  5141, 34792,20160306,-9999,    9
  5141, 34792,20160307,-9999,    9
  5141, 34792,20160308,-9999,    9
  5141, 34792,20160309,-9999,    9
  5141, 34792,20160310,-9999,    9
  5141, 34792,20160311,-9999,    9
  5141, 34792,20160312,-9999,    9
  5141, 34792,20160313,-9999,    9
  5141, 34792,20160314,-9999,    9
  5141, 34792,20160315,-9999,    9
  5141, 34792,20160316,-9999,    9
  5141, 34792,20160317,-9999,    9
  5141, 34792,20160318,-9999,    9
  5141, 34792,20160319,-9999,    9
  5141, 34792,20160320,-9999,    9
  5141, 34792,20160321,-9999,    9
  5141, 34792,20160322,-9999,    9
  5141, 34792,20160323,-9999,    9
  5141, 34792,20160324,-9999,    9
  5141, 34792,20160325,-9999,    9
  5141, 34792,20160326,-9999,    9
  5141, 34792,20160327,-9999,    9
  5141, 34792,20160328,-9999,    9
  5141, 34792,20160329,-9999,    9
  5141, 34792,20160330,-9999,    9
  5141, 34792,20160331,  -10,    0
  5141, 34792,20160401,    9,    0
  5141, 34792,20160402,-9999,    9
