EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSKARSGRUNDET_NO, SWEDEN (STAID: 5176)
Blended and updated with sources:35168 35171 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5176, 35171,19510101,  -19,    0
  5176, 35171,19510102,    7,    0
  5176, 35171,19510103,   16,    0
  5176, 35171,19510104,   20,    0
  5176, 35171,19510105,   18,    0
  5176, 35171,19510106,   14,    0
  5176, 35171,19510107,   27,    0
  5176, 35171,19510108,    6,    0
  5176, 35171,19510109,   21,    0
  5176, 35171,19510110,    3,    0
  5176, 35171,19510111,   33,    0
  5176, 35171,19510112,   48,    0
  5176, 35171,19510113,   27,    0
  5176, 35171,19510114,   32,    0
  5176, 35171,19510115,   25,    0
  5176, 35171,19510116,   16,    0
  5176, 35171,19510117,   15,    0
  5176, 35171,19510118,   38,    0
  5176, 35171,19510119,   41,    0
  5176, 35171,19510120,   15,    0
  5176, 35171,19510121,  -20,    0
  5176, 35171,19510122,   -9,    0
  5176, 35171,19510123,   -5,    0
  5176, 35171,19510124,  -34,    0
  5176, 35171,19510125,  -38,    0
  5176, 35171,19510126,  -30,    0
  5176, 35171,19510127,   -3,    0
  5176, 35171,19510128,  -23,    0
  5176, 35171,19510129,   -1,    0
  5176, 35171,19510130,   -1,    0
  5176, 35171,19510131,  -15,    0
  5176, 35171,19510201,  -13,    0
