EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALMSTAD 1, SWEDEN (STAID: 5231)
Blended and updated with sources:35342 35345 35354 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5231, 35354,19490101,   27,    1
  5231, 35354,19490102,   37,    1
  5231, 35354,19490103,   28,    1
  5231, 35354,19490104,   13,    1
  5231, 35354,19490105,  -10,    1
  5231, 35354,19490106,   29,    1
  5231, 35354,19490107,   45,    1
  5231, 35354,19490108,   39,    1
  5231, 35354,19490109,  -47,    1
  5231, 35354,19490110,   -7,    1
  5231, 35354,19490111,   16,    1
  5231, 35354,19490112,   21,    1
  5231, 35354,19490113,  -12,    1
  5231, 35354,19490114,   43,    1
  5231, 35354,19490115,   26,    1
  5231, 35354,19490116,  -22,    1
  5231, 35354,19490117,   -2,    1
  5231, 35354,19490118,   31,    1
  5231, 35354,19490119,   53,    1
  5231, 35354,19490120,   28,    1
  5231, 35354,19490121,   12,    1
  5231, 35354,19490122,  -67,    1
  5231, 35354,19490123,   -3,    1
  5231, 35354,19490124,   25,    1
  5231, 35354,19490125,   25,    1
  5231, 35354,19490126,   -6,    1
  5231, 35354,19490127,   -9,    1
  5231, 35354,19490128,   23,    1
  5231, 35354,19490129,   11,    1
  5231, 35354,19490130,   38,    1
  5231, 35354,19490131,    1,    1
  5231, 35342,19490201,  -23,    1
  5231, 35342,19490202,  -12,    1
  5231, 35342,19490203,   26,    1
  5231, 35342,19490204,   46,    1
  5231, 35342,19490205,   10,    1
  5231, 35342,19490206,   -1,    1
  5231, 35342,19490207,    7,    1
  5231, 35342,19490208,    0,    0
  5231, 35342,19490209,   18,    1
  5231, 35342,19490210,   14,    1
  5231, 35342,19490211,  -20,    1
