EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAXJO-KRONOBERG, SWEDEN (STAID: 5249)
Blended and updated with sources:8906 35381 35384 35405 902648 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5249,  8906,19180101,  -34,    0
  5249,  8906,19180102,  -63,    0
  5249,  8906,19180103, -107,    0
  5249,  8906,19180104, -108,    0
  5249,  8906,19180105,  -46,    0
  5249,  8906,19180106,    6,    0
  5249,  8906,19180107,   -4,    0
  5249,  8906,19180108,  -92,    0
  5249,  8906,19180109, -147,    0
  5249,  8906,19180110,  -70,    0
  5249,  8906,19180111,  -73,    0
  5249,  8906,19180112, -140,    0
  5249,  8906,19180113, -130,    0
  5249,  8906,19180114, -153,    0
  5249,  8906,19180115,  -39,    0
  5249,  8906,19180116,  -51,    0
  5249,  8906,19180117,  -58,    0
  5249,  8906,19180118,  -56,    0
  5249,  8906,19180119,  -50,    0
  5249,  8906,19180120,  -20,    0
  5249,  8906,19180121,   20,    0
  5249,  8906,19180122,   24,    0
  5249,  8906,19180123,   22,    0
  5249,  8906,19180124,   11,    0
  5249,  8906,19180125,   27,    0
  5249,  8906,19180126,   30,    0
  5249,  8906,19180127,   17,    0
  5249,  8906,19180128,   15,    0
  5249,  8906,19180129,   11,    0
  5249,  8906,19180130,    8,    0
  5249,  8906,19180131,   24,    0
  5249,  8906,19180201,   -2,    0
  5249,  8906,19180202,  -12,    0
  5249,  8906,19180203,  -27,    0
  5249,  8906,19180204,  -38,    0
  5249,  8906,19180205,   -2,    0
  5249,  8906,19180206,   -1,    0
  5249,  8906,19180207,    8,    0
  5249,  8906,19180208,   16,    0
  5249,  8906,19180209,   29,    0
  5249,  8906,19180210,   33,    0
  5249,  8906,19180211,   26,    0
  5249,  8906,19180212,   16,    0
  5249,  8906,19180213,   -9,    0
  5249,  8906,19180214,  -40,    0
  5249,  8906,19180215,  -63,    0
  5249,  8906,19180216,  -52,    0
  5249,  8906,19180217,  -45,    0
  5249,  8906,19180218,  -43,    0
  5249,  8906,19180219,  -31,    0
  5249,  8906,19180220,  -47,    0
  5249,  8906,19180221,  -64,    0
  5249,  8906,19180222,  -81,    0
  5249,  8906,19180223,   16,    0
  5249,  8906,19180224,   30,    0
  5249,  8906,19180225,    9,    0
  5249,  8906,19180226,   16,    0
  5249,  8906,19180227,   26,    0
  5249,  8906,19180228,  -10,    0
  5249,  8906,19180301,  -38,    0
  5249,  8906,19180302,  -47,    0
  5249,  8906,19180303,  -17,    0
  5249,  8906,19180304,   15,    0
  5249,  8906,19180305,   17,    0
  5249,  8906,19180306,   -1,    0
  5249,  8906,19180307,   -6,    0
  5249,  8906,19180308,   -1,    0
  5249,  8906,19180309,   -6,    0
  5249,  8906,19180310,    2,    0
  5249,  8906,19180311,   32,    0
  5249,  8906,19180312,   27,    0
  5249,  8906,19180313,   11,    0
  5249,  8906,19180314,   -7,    0
  5249,  8906,19180315,  -18,    0
  5249,  8906,19180316,  -15,    0
  5249,  8906,19180317,    0,    0
  5249,  8906,19180318,    7,    0
  5249,  8906,19180319,    1,    0
  5249,  8906,19180320,   23,    0
  5249,  8906,19180321,   26,    0
  5249,  8906,19180322,   50,    0
  5249,  8906,19180323,   83,    0
  5249,  8906,19180324,   56,    0
  5249,  8906,19180325,  -37,    0
  5249,  8906,19180326,  -72,    0
  5249,  8906,19180327,  -28,    0
  5249,  8906,19180328,    6,    0
  5249,  8906,19180329,   24,    0
  5249,  8906,19180330,   37,    0
  5249,  8906,19180331,   17,    0
  5249,  8906,19180401,   11,    0
  5249,  8906,19180402,   44,    0
  5249,  8906,19180403,   50,    0
  5249,  8906,19180404,   43,    0
  5249,  8906,19180405,   43,    0
  5249,  8906,19180406,   23,    0
  5249,  8906,19180407,   29,    0
  5249,  8906,19180408,   24,    0
  5249,  8906,19180409,   56,    0
  5249,  8906,19180410,   99,    0
  5249,  8906,19180411,   56,    0
  5249,  8906,19180412,   92,    0
  5249,  8906,19180413,  104,    0
  5249,  8906,19180414,   43,    0
  5249,  8906,19180415,   16,    0
  5249,  8906,19180416,   40,    0
  5249,  8906,19180417,   61,    0
  5249,  8906,19180418,   56,    0
  5249,  8906,19180419,   49,    0
  5249,  8906,19180420,   69,    0
  5249,  8906,19180421,  107,    0
  5249,  8906,19180422,   95,    0
  5249,  8906,19180423,  110,    0
  5249,  8906,19180424,  118,    0
  5249,  8906,19180425,  114,    0
  5249,  8906,19180426,  117,    0
  5249,  8906,19180427,  118,    0
  5249,  8906,19180428,  111,    0
  5249,  8906,19180429,   54,    0
  5249,  8906,19180430,    8,    0
  5249,  8906,19180501,   36,    0
  5249,  8906,19180502,  103,    0
  5249,  8906,19180503,  110,    0
  5249,  8906,19180504,   68,    0
  5249,  8906,19180505,   73,    0
  5249,  8906,19180506,   89,    0
  5249,  8906,19180507,  104,    0
  5249,  8906,19180508,   71,    0
  5249,  8906,19180509,   68,    0
  5249,  8906,19180510,   82,    0
  5249,  8906,19180511,   76,    0
  5249,  8906,19180512,   94,    0
  5249,  8906,19180513,  111,    0
  5249,  8906,19180514,  110,    0
  5249,  8906,19180515,  145,    0
  5249,  8906,19180516,  154,    0
  5249,  8906,19180517,  177,    0
  5249,  8906,19180518,  190,    0
  5249,  8906,19180519,  198,    0
  5249,  8906,19180520,  188,    0
  5249,  8906,19180521,  175,    0
  5249,  8906,19180522,  196,    0
  5249,  8906,19180523,  158,    0
  5249,  8906,19180524,  150,    0
  5249,  8906,19180525,   76,    0
  5249,  8906,19180526,  103,    0
  5249,  8906,19180527,  131,    0
  5249,  8906,19180528,  139,    0
  5249,  8906,19180529,  165,    0
  5249,  8906,19180530,  161,    0
  5249,  8906,19180531,  126,    0
  5249,  8906,19180601,  103,    0
  5249,  8906,19180602,   97,    0
  5249,  8906,19180603,   84,    0
  5249,  8906,19180604,  103,    0
  5249,  8906,19180605,  145,    0
  5249,  8906,19180606,  156,    0
  5249,  8906,19180607,  191,    0
  5249,  8906,19180608,  145,    0
  5249,  8906,19180609,  147,    0
  5249,  8906,19180610,  162,    0
  5249,  8906,19180611,  156,    0
  5249,  8906,19180612,  163,    0
  5249,  8906,19180613,  132,    0
  5249,  8906,19180614,  115,    0
  5249,  8906,19180615,  117,    0
  5249,  8906,19180616,  119,    0
  5249,  8906,19180617,  131,    0
  5249,  8906,19180618,  102,    0
  5249,  8906,19180619,  130,    0
  5249,  8906,19180620,  156,    0
  5249,  8906,19180621,  145,    0
  5249,  8906,19180622,  123,    0
  5249,  8906,19180623,  101,    0
  5249,  8906,19180624,  106,    0
  5249,  8906,19180625,  105,    0
  5249,  8906,19180626,  100,    0
  5249,  8906,19180627,  107,    0
  5249,  8906,19180628,  116,    0
  5249,  8906,19180629,  137,    0
  5249,  8906,19180630,  155,    0
  5249,  8906,19180701,  174,    0
  5249,  8906,19180702,  189,    0
  5249,  8906,19180703,  226,    0
  5249,  8906,19180704,  200,    0
  5249,  8906,19180705,  145,    0
  5249,  8906,19180706,  131,    0
  5249,  8906,19180707,  119,    0
  5249,  8906,19180708,  139,    0
  5249,  8906,19180709,  154,    0
  5249,  8906,19180710,  174,    0
  5249,  8906,19180711,  154,    0
  5249,  8906,19180712,  157,    0
  5249,  8906,19180713,  157,    0
  5249,  8906,19180714,  141,    0
  5249,  8906,19180715,  171,    0
  5249,  8906,19180716,  180,    0
  5249,  8906,19180717,  191,    0
  5249,  8906,19180718,  178,    0
  5249,  8906,19180719,  165,    0
  5249,  8906,19180720,  169,    0
  5249,  8906,19180721,  160,    0
  5249,  8906,19180722,  175,    0
  5249,  8906,19180723,  184,    0
  5249,  8906,19180724,  186,    0
  5249,  8906,19180725,  160,    0
  5249,  8906,19180726,  166,    0
  5249,  8906,19180727,  166,    0
  5249,  8906,19180728,  154,    0
  5249,  8906,19180729,  174,    0
  5249,  8906,19180730,  170,    0
  5249,  8906,19180731,  165,    0
  5249,  8906,19180801,  170,    0
  5249,  8906,19180802,  161,    0
  5249,  8906,19180803,  150,    0
  5249,  8906,19180804,  129,    0
  5249,  8906,19180805,  154,    0
  5249,  8906,19180806,  172,    0
  5249,  8906,19180807,  170,    0
  5249,  8906,19180808,  181,    0
  5249,  8906,19180809,  168,    0
  5249,  8906,19180810,  193,    0
  5249,  8906,19180811,  200,    0
  5249,  8906,19180812,  181,    0
  5249,  8906,19180813,  174,    0
  5249,  8906,19180814,  183,    0
  5249,  8906,19180815,  172,    0
  5249,  8906,19180816,  148,    0
  5249,  8906,19180817,  143,    0
  5249,  8906,19180818,  133,    0
  5249,  8906,19180819,  128,    0
  5249,  8906,19180820,  142,    0
  5249,  8906,19180821,  158,    0
  5249,  8906,19180822,  162,    0
  5249,  8906,19180823,  158,    0
  5249,  8906,19180824,  140,    0
  5249,  8906,19180825,  139,    0
  5249,  8906,19180826,  126,    0
  5249,  8906,19180827,  125,    0
  5249,  8906,19180828,  130,    0
  5249,  8906,19180829,  126,    0
  5249,  8906,19180830,  145,    0
  5249,  8906,19180831,  117,    0
  5249,  8906,19180901,   96,    0
  5249,  8906,19180902,  116,    0
  5249,  8906,19180903,  111,    0
  5249,  8906,19180904,  108,    0
  5249,  8906,19180905,  116,    0
  5249,  8906,19180906,  111,    0
  5249,  8906,19180907,  127,    0
  5249,  8906,19180908,  121,    0
  5249,  8906,19180909,  119,    0
  5249,  8906,19180910,  102,    0
  5249,  8906,19180911,  110,    0
  5249,  8906,19180912,  101,    0
  5249,  8906,19180913,   98,    0
  5249,  8906,19180914,   99,    0
  5249,  8906,19180915,   88,    0
  5249,  8906,19180916,   86,    0
  5249,  8906,19180917,  129,    0
  5249,  8906,19180918,  140,    0
  5249,  8906,19180919,  122,    0
  5249,  8906,19180920,  110,    0
  5249,  8906,19180921,   95,    0
  5249,  8906,19180922,  107,    0
  5249,  8906,19180923,  119,    0
  5249,  8906,19180924,  123,    0
  5249,  8906,19180925,  105,    0
  5249,  8906,19180926,   89,    0
  5249,  8906,19180927,   97,    0
  5249,  8906,19180928,   83,    0
  5249,  8906,19180929,   73,    0
  5249,  8906,19180930,   52,    0
  5249,  8906,19181001,   46,    0
  5249,  8906,19181002,   45,    0
  5249,  8906,19181003,   62,    0
  5249,  8906,19181004,   77,    0
  5249,  8906,19181005,   63,    0
  5249,  8906,19181006,   91,    0
  5249,  8906,19181007,   93,    0
  5249,  8906,19181008,   83,    0
  5249,  8906,19181009,   71,    0
  5249,  8906,19181010,   88,    0
  5249,  8906,19181011,  105,    0
  5249,  8906,19181012,  101,    0
  5249,  8906,19181013,  116,    0
  5249,  8906,19181014,  116,    0
  5249,  8906,19181015,  107,    0
  5249,  8906,19181016,  111,    0
  5249,  8906,19181017,  116,    0
  5249,  8906,19181018,  124,    0
  5249,  8906,19181019,  103,    0
  5249,  8906,19181020,   72,    0
  5249,  8906,19181021,   61,    0
  5249,  8906,19181022,   83,    0
  5249,  8906,19181023,   84,    0
  5249,  8906,19181024,   68,    0
  5249,  8906,19181025,   57,    0
  5249,  8906,19181026,   48,    0
  5249,  8906,19181027,   20,    0
  5249,  8906,19181028,   32,    0
  5249,  8906,19181029,   43,    0
  5249,  8906,19181030,   68,    0
  5249,  8906,19181031,   53,    0
  5249,  8906,19181101,   79,    0
  5249,  8906,19181102,   81,    0
