EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VARBERG, SWEDEN (STAID: 5254)
Blended and updated with sources:35426 35429 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5254, 35426,19490101,   33,    1
  5254, 35426,19490102,   45,    1
  5254, 35426,19490103,   36,    1
  5254, 35426,19490104,   24,    1
  5254, 35426,19490105,   13,    1
  5254, 35426,19490106,   40,    1
  5254, 35426,19490107,   43,    1
  5254, 35426,19490108,   39,    1
  5254, 35426,19490109,  -14,    1
  5254, 35426,19490110,   19,    1
  5254, 35426,19490111,   36,    1
  5254, 35426,19490112,   27,    1
  5254, 35426,19490113,    2,    1
  5254, 35426,19490114,   46,    1
  5254, 35426,19490115,   33,    1
  5254, 35426,19490116,  -18,    1
  5254, 35426,19490117,    0,    0
  5254, 35426,19490118,   40,    1
  5254, 35426,19490119,   53,    1
  5254, 35426,19490120,   31,    1
  5254, 35426,19490121,   21,    1
  5254, 35426,19490122,  -53,    1
  5254, 35426,19490123,   19,    1
  5254, 35426,19490124,   36,    1
  5254, 35426,19490125,   36,    1
  5254, 35426,19490126,   12,    1
  5254, 35426,19490127,   15,    1
  5254, 35426,19490128,   32,    1
  5254, 35426,19490129,   24,    1
  5254, 35426,19490130,   42,    1
  5254, 35426,19490131,   13,    1
  5254, 35426,19490201,  -14,    1
  5254, 35426,19490202,  -13,    1
  5254, 35426,19490203,   33,    1
  5254, 35426,19490204,   48,    1
  5254, 35426,19490205,    9,    1
  5254, 35426,19490206,    6,    1
  5254, 35426,19490207,   20,    1
  5254, 35426,19490208,    4,    1
  5254, 35426,19490209,   23,    1
  5254, 35426,19490210,    9,    1
  5254, 35426,19490211,  -26,    1
  5254, 35426,19490212,   -5,    1
  5254, 35426,19490213,   13,    1
  5254, 35426,19490214,   37,    1
  5254, 35426,19490215,   33,    1
  5254, 35426,19490216,   44,    1
  5254, 35426,19490217,   39,    1
  5254, 35426,19490218,   27,    1
  5254, 35426,19490219,   29,    1
  5254, 35426,19490220,   35,    1
  5254, 35426,19490221,-9999,    9
  5254, 35426,19490222,   43,    1
  5254, 35426,19490223,   47,    1
  5254, 35426,19490224,   38,    1
  5254, 35426,19490225,   35,    1
  5254, 35426,19490226,   35,    1
  5254, 35426,19490227,   25,    1
  5254, 35426,19490228,    3,    1
  5254, 35426,19490301,   -8,    1
  5254, 35426,19490302,  -41,    1
  5254, 35426,19490303,  -33,    1
  5254, 35426,19490304,  -46,    1
  5254, 35426,19490305,  -59,    1
  5254, 35426,19490306,  -12,    1
  5254, 35426,19490307,  -18,    1
  5254, 35426,19490308,  -20,    1
  5254, 35426,19490309,   -3,    1
  5254, 35426,19490310,   12,    1
  5254, 35426,19490311,    8,    1
  5254, 35426,19490312,   -2,    1
  5254, 35426,19490313,   17,    1
  5254, 35426,19490314,   28,    1
  5254, 35426,19490315,   26,    1
  5254, 35426,19490316,   14,    1
  5254, 35426,19490317,  -12,    1
  5254, 35426,19490318,   -7,    1
  5254, 35426,19490319,    2,    1
  5254, 35426,19490320,    4,    1
  5254, 35426,19490321,    6,    1
  5254, 35426,19490322,   28,    1
  5254, 35426,19490323,   37,    1
  5254, 35426,19490324,   41,    1
  5254, 35426,19490325,   57,    1
  5254, 35426,19490326,   44,    1
  5254, 35426,19490327,   44,    1
  5254, 35426,19490328,   44,    1
  5254, 35426,19490329,   43,    1
  5254, 35426,19490330,   49,    1
  5254, 35426,19490331,   35,    1
  5254, 35426,19490401,-9999,    9
  5254, 35426,19490402,-9999,    9
  5254, 35426,19490403,-9999,    9
  5254, 35426,19490404,-9999,    9
  5254, 35426,19490405,-9999,    9
  5254, 35426,19490406,-9999,    9
  5254, 35426,19490407,-9999,    9
  5254, 35426,19490408,-9999,    9
  5254, 35426,19490409,-9999,    9
  5254, 35426,19490410,-9999,    9
  5254, 35426,19490411,-9999,    9
  5254, 35426,19490412,-9999,    9
  5254, 35426,19490413,-9999,    9
  5254, 35426,19490414,-9999,    9
  5254, 35426,19490415,-9999,    9
  5254, 35426,19490416,-9999,    9
  5254, 35426,19490417,-9999,    9
  5254, 35426,19490418,-9999,    9
  5254, 35426,19490419,-9999,    9
  5254, 35426,19490420,-9999,    9
  5254, 35426,19490421,-9999,    9
  5254, 35426,19490422,-9999,    9
  5254, 35426,19490423,-9999,    9
  5254, 35426,19490424,-9999,    9
  5254, 35426,19490425,-9999,    9
  5254, 35426,19490426,-9999,    9
  5254, 35426,19490427,-9999,    9
  5254, 35426,19490428,-9999,    9
  5254, 35426,19490429,-9999,    9
  5254, 35426,19490430,-9999,    9
  5254, 35426,19490501,-9999,    9
  5254, 35426,19490502,-9999,    9
  5254, 35426,19490503,-9999,    9
  5254, 35426,19490504,-9999,    9
  5254, 35426,19490505,-9999,    9
  5254, 35426,19490506,-9999,    9
  5254, 35426,19490507,-9999,    9
  5254, 35426,19490508,-9999,    9
  5254, 35426,19490509,-9999,    9
  5254, 35426,19490510,-9999,    9
