EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OLANDS NORRA UDDE A, SWEDEN (STAID: 5274)
Blended and updated with sources:35489 35492 902575 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5274, 35492,19491001,  131,    1
  5274, 35492,19491002,  130,    1
  5274, 35492,19491003,  159,    1
  5274, 35492,19491004,  113,    1
  5274, 35492,19491005,  127,    1
  5274, 35492,19491006,   86,    1
  5274, 35492,19491007,   87,    1
  5274, 35492,19491008,  115,    1
  5274, 35492,19491009,   95,    1
  5274, 35492,19491010,   89,    1
  5274, 35492,19491011,   97,    1
  5274, 35492,19491012,  107,    1
  5274, 35492,19491013,  136,    1
  5274, 35492,19491014,  140,    1
  5274, 35492,19491015,-9999,    9
  5274, 35492,19491016,  137,    1
  5274, 35492,19491017,-9999,    9
  5274, 35492,19491018,  125,    1
  5274, 35492,19491019,  133,    1
  5274, 35492,19491020,  127,    1
  5274, 35492,19491021,-9999,    9
  5274, 35492,19491022,  110,    1
  5274, 35492,19491023,  104,    1
  5274, 35492,19491024,  108,    1
  5274, 35492,19491025,   87,    1
  5274, 35492,19491026,  111,    1
  5274, 35492,19491027,   96,    1
  5274, 35492,19491028,   46,    1
  5274, 35492,19491029,   46,    1
  5274, 35492,19491030,   37,    1
  5274, 35492,19491031,   48,    1
  5274, 35492,19491101,   75,    1
  5274, 35492,19491102,   85,    1
  5274, 35492,19491103,   90,    1
  5274, 35492,19491104,   83,    1
  5274, 35492,19491105,   58,    1
  5274, 35492,19491106,   69,    1
  5274, 35492,19491107,   76,    1
  5274, 35492,19491108,   65,    1
  5274, 35492,19491109,   72,    1
  5274, 35492,19491110,   49,    1
  5274, 35492,19491111,   53,    1
  5274, 35492,19491112,   52,    1
  5274, 35492,19491113,   76,    1
  5274, 35492,19491114,   71,    1
  5274, 35492,19491115,   55,    1
  5274, 35492,19491116,   66,    1
  5274, 35492,19491117,   73,    1
  5274, 35492,19491118,   61,    1
  5274, 35492,19491119,   46,    1
  5274, 35492,19491120,   70,    1
  5274, 35492,19491121,   81,    1
  5274, 35492,19491122,   75,    1
  5274, 35492,19491123,   72,    1
  5274, 35492,19491124,   58,    1
  5274, 35492,19491125,   56,    1
  5274, 35492,19491126,   58,    1
  5274, 35492,19491127,   55,    1
  5274, 35492,19491128,   32,    1
  5274, 35492,19491129,   -5,    1
  5274, 35492,19491130,   49,    1
  5274, 35492,19491201,   64,    1
  5274, 35492,19491202,   54,    1
  5274, 35492,19491203,   30,    1
  5274, 35492,19491204,   52,    1
  5274, 35492,19491205,   44,    1
  5274, 35492,19491206,   24,    1
  5274, 35492,19491207,   24,    1
  5274, 35492,19491208,   74,    1
  5274, 35492,19491209,   52,    1
  5274, 35492,19491210,   51,    1
  5274, 35492,19491211,   43,    1
  5274, 35492,19491212,    9,    1
  5274, 35492,19491213,   17,    1
  5274, 35492,19491214,   51,    1
  5274, 35492,19491215,   34,    1
  5274, 35492,19491216,   32,    1
  5274, 35492,19491217,   37,    1
  5274, 35492,19491218,   29,    1
  5274, 35492,19491219,   43,    1
  5274, 35492,19491220,   45,    1
  5274, 35492,19491221,   50,    1
  5274, 35492,19491222,   39,    1
  5274, 35492,19491223,   26,    1
  5274, 35492,19491224,   31,    1
  5274, 35492,19491225,   47,    1
  5274, 35492,19491226,   34,    1
  5274, 35492,19491227,   53,    1
  5274, 35492,19491228,   40,    1
  5274, 35492,19491229,-9999,    9
  5274, 35492,19491230,    8,    1
  5274, 35492,19491231,    7,    1
  5274, 35492,19500101,    9,    1
  5274, 35492,19500102,   21,    1
  5274, 35492,19500103,    7,    1
  5274, 35492,19500104,  -42,    1
  5274, 35492,19500105,  -50,    1
  5274, 35492,19500106,  -43,    1
  5274, 35492,19500107,  -53,    1
  5274, 35492,19500108,  -13,    1
  5274, 35492,19500109,   -9,    1
  5274, 35492,19500110,  -56,    1
  5274, 35492,19500111,  -46,    1
  5274, 35492,19500112,  -27,    1
  5274, 35492,19500113,    8,    1
  5274, 35492,19500114,   40,    1
  5274, 35492,19500115,   16,    1
  5274, 35492,19500116,   23,    1
  5274, 35492,19500117,  -45,    1
  5274, 35492,19500118,  -52,    1
  5274, 35492,19500119,  -37,    1
  5274, 35492,19500120,   -8,    1
  5274, 35492,19500121,   27,    1
  5274, 35492,19500122,    0,    0
  5274, 35492,19500123,   -3,    1
  5274, 35492,19500124,  -17,    1
  5274, 35492,19500125,  -26,    1
  5274, 35492,19500126,   11,    1
  5274, 35492,19500127,   10,    1
  5274, 35492,19500128,   16,    1
  5274, 35492,19500129,  -21,    1
  5274, 35492,19500130,  -15,    1
  5274, 35492,19500131,  -34,    1
  5274, 35492,19500201,  -16,    1
  5274, 35492,19500202,  -19,    1
  5274, 35492,19500203,   -5,    1
  5274, 35492,19500204,    3,    1
  5274, 35492,19500205,    8,    1
  5274, 35492,19500206,    9,    1
  5274, 35492,19500207,   22,    1
  5274, 35492,19500208,   13,    1
  5274, 35492,19500209,   11,    1
  5274, 35492,19500210,    9,    1
  5274, 35492,19500211,    9,    1
  5274, 35492,19500212,   15,    1
  5274, 35492,19500213,   17,    1
  5274, 35492,19500214,    2,    1
  5274, 35492,19500215,  -19,    1
  5274, 35492,19500216,    8,    1
  5274, 35492,19500217,   56,    1
  5274, 35492,19500218,   53,    1
  5274, 35492,19500219,   49,    1
  5274, 35492,19500220,   19,    1
  5274, 35492,19500221,   19,    1
  5274, 35492,19500222,   16,    1
  5274, 35492,19500223,    4,    1
  5274, 35492,19500224,-9999,    9
  5274, 35492,19500225,  -15,    1
  5274, 35492,19500226,  -21,    1
  5274, 35492,19500227,   -4,    1
  5274, 35492,19500228,   -5,    1
  5274, 35492,19500301,   -7,    1
  5274, 35492,19500302,  -15,    1
  5274, 35492,19500303,    2,    1
  5274, 35492,19500304,   35,    1
  5274, 35492,19500305,   52,    1
  5274, 35492,19500306,   65,    1
  5274, 35492,19500307,   48,    1
  5274, 35492,19500308,   11,    1
  5274, 35492,19500309,   -1,    1
  5274, 35492,19500310,    8,    1
  5274, 35492,19500311,   12,    1
  5274, 35492,19500312,   -9,    1
  5274, 35492,19500313,  -36,    1
  5274, 35492,19500314,  -18,    1
  5274, 35492,19500315,   -3,    1
  5274, 35492,19500316,   -1,    1
  5274, 35492,19500317,   27,    1
  5274, 35492,19500318,   66,    1
  5274, 35492,19500319,   46,    1
  5274, 35492,19500320,   69,    1
  5274, 35492,19500321,   42,    1
  5274, 35492,19500322,   29,    1
  5274, 35492,19500323,   30,    1
  5274, 35492,19500324,   32,    1
  5274, 35492,19500325,   38,    1
  5274, 35492,19500326,   29,    1
  5274, 35492,19500327,   47,    1
  5274, 35492,19500328,   23,    1
  5274, 35492,19500329,   34,    1
  5274, 35492,19500330,   33,    1
  5274, 35492,19500331,   55,    1
  5274, 35492,19500401,-9999,    9
  5274, 35492,19500402,-9999,    9
  5274, 35492,19500403,-9999,    9
  5274, 35492,19500404,-9999,    9
  5274, 35492,19500405,-9999,    9
  5274, 35492,19500406,-9999,    9
  5274, 35492,19500407,-9999,    9
  5274, 35492,19500408,-9999,    9
  5274, 35492,19500409,-9999,    9
  5274, 35492,19500410,-9999,    9
  5274, 35492,19500411,-9999,    9
  5274, 35492,19500412,-9999,    9
  5274, 35492,19500413,-9999,    9
  5274, 35492,19500414,-9999,    9
  5274, 35492,19500415,-9999,    9
  5274, 35492,19500416,-9999,    9
  5274, 35492,19500417,-9999,    9
  5274, 35492,19500418,-9999,    9
  5274, 35492,19500419,-9999,    9
  5274, 35492,19500420,-9999,    9
  5274, 35492,19500421,-9999,    9
  5274, 35492,19500422,-9999,    9
  5274, 35492,19500423,-9999,    9
  5274, 35492,19500424,-9999,    9
  5274, 35492,19500425,-9999,    9
  5274, 35492,19500426,-9999,    9
  5274, 35492,19500427,-9999,    9
  5274, 35492,19500428,-9999,    9
  5274, 35492,19500429,-9999,    9
  5274, 35492,19500430,-9999,    9
  5274, 35492,19500501,-9999,    9
  5274, 35492,19500502,-9999,    9
  5274, 35492,19500503,-9999,    9
  5274, 35492,19500504,-9999,    9
  5274, 35492,19500505,-9999,    9
  5274, 35492,19500506,-9999,    9
  5274, 35492,19500507,-9999,    9
  5274, 35492,19500508,-9999,    9
  5274, 35492,19500509,-9999,    9
  5274, 35492,19500510,-9999,    9
  5274, 35492,19500511,-9999,    9
  5274, 35492,19500512,-9999,    9
  5274, 35492,19500513,-9999,    9
  5274, 35492,19500514,-9999,    9
  5274, 35492,19500515,-9999,    9
  5274, 35492,19500516,-9999,    9
  5274, 35492,19500517,-9999,    9
  5274, 35492,19500518,-9999,    9
  5274, 35492,19500519,-9999,    9
  5274, 35492,19500520,-9999,    9
  5274, 35492,19500521,-9999,    9
  5274, 35492,19500522,-9999,    9
  5274, 35492,19500523,-9999,    9
  5274, 35492,19500524,-9999,    9
  5274, 35492,19500525,-9999,    9
  5274, 35492,19500526,-9999,    9
  5274, 35492,19500527,-9999,    9
  5274, 35492,19500528,-9999,    9
  5274, 35492,19500529,-9999,    9
  5274, 35492,19500530,-9999,    9
  5274, 35492,19500531,-9999,    9
  5274, 35492,19500601,-9999,    9
  5274, 35492,19500602,-9999,    9
  5274, 35492,19500603,-9999,    9
  5274, 35492,19500604,-9999,    9
