EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VINGA, SWEDEN (STAID: 5295)
Blended and updated with sources:35555 35561 902516 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5295, 35561,19490101,   38,    1
  5295, 35561,19490102,   51,    1
  5295, 35561,19490103,   38,    1
  5295, 35561,19490104,   27,    1
  5295, 35561,19490105,   37,    1
  5295, 35561,19490106,   46,    1
  5295, 35561,19490107,   46,    1
  5295, 35561,19490108,   27,    1
  5295, 35561,19490109,   10,    1
  5295, 35561,19490110,   25,    1
  5295, 35561,19490111,   43,    1
  5295, 35561,19490112,   28,    1
  5295, 35561,19490113,    7,    1
  5295, 35561,19490114,   52,    1
  5295, 35561,19490115,   39,    1
  5295, 35561,19490116,    6,    1
  5295, 35561,19490117,   16,    1
  5295, 35561,19490118,   48,    1
  5295, 35561,19490119,   61,    1
  5295, 35561,19490120,   40,    1
  5295, 35561,19490121,   24,    1
  5295, 35561,19490122,  -57,    1
  5295, 35561,19490123,-9999,    9
  5295, 35561,19490124,   48,    1
  5295, 35561,19490125,   45,    1
  5295, 35561,19490126,   14,    1
  5295, 35561,19490127,   20,    1
  5295, 35561,19490128,   39,    1
  5295, 35561,19490129,   35,    1
  5295, 35561,19490130,   51,    1
  5295, 35561,19490131,   25,    1
  5295, 35561,19490201,    5,    1
  5295, 35561,19490202,   20,    1
  5295, 35561,19490203,   49,    1
  5295, 35561,19490204,   61,    1
  5295, 35561,19490205,   27,    1
  5295, 35561,19490206,   28,    1
  5295, 35561,19490207,   25,    1
  5295, 35561,19490208,   15,    1
  5295, 35561,19490209,   37,    1
  5295, 35561,19490210,   18,    1
  5295, 35561,19490211,  -14,    1
  5295, 35561,19490212,   20,    1
  5295, 35561,19490213,   20,    1
  5295, 35561,19490214,   47,    1
  5295, 35561,19490215,   45,    1
  5295, 35561,19490216,   51,    1
  5295, 35561,19490217,   47,    1
  5295, 35561,19490218,   30,    1
  5295, 35561,19490219,   36,    1
  5295, 35561,19490220,   40,    1
  5295, 35561,19490221,   42,    1
  5295, 35561,19490222,   46,    1
  5295, 35561,19490223,   53,    1
  5295, 35561,19490224,   45,    1
  5295, 35561,19490225,   43,    1
  5295, 35561,19490226,   41,    1
  5295, 35561,19490227,   38,    1
  5295, 35561,19490228,   15,    1
  5295, 35561,19490301,   -9,    1
  5295, 35561,19490302,  -37,    1
  5295, 35561,19490303,  -18,    1
  5295, 35561,19490304,  -13,    1
  5295, 35561,19490305,  -53,    1
  5295, 35561,19490306,  -15,    1
  5295, 35561,19490307,   -6,    1
  5295, 35561,19490308,  -10,    1
  5295, 35561,19490309,   -4,    1
  5295, 35561,19490310,    5,    1
  5295, 35561,19490311,   10,    1
  5295, 35561,19490312,    3,    1
  5295, 35561,19490313,   19,    1
  5295, 35561,19490314,   35,    1
  5295, 35561,19490315,   34,    1
  5295, 35561,19490316,   19,    1
