EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VISBY_FLYGPLATS, SWEDEN (STAID: 5300)
Blended and updated with sources:35579 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5300, 35579,19490101,   35,    1
  5300, 35579,19490102,   40,    1
  5300, 35579,19490103,   37,    1
  5300, 35579,19490104,   16,    1
  5300, 35579,19490105,   18,    1
  5300, 35579,19490106,   29,    1
  5300, 35579,19490107,   37,    1
  5300, 35579,19490108,   40,    1
  5300, 35579,19490109,    1,    1
  5300, 35579,19490110,    5,    1
  5300, 35579,19490111,   20,    1
  5300, 35579,19490112,   24,    1
  5300, 35579,19490113,  -18,    1
  5300, 35579,19490114,   36,    1
  5300, 35579,19490115,   18,    1
  5300, 35579,19490116,  -28,    1
  5300, 35579,19490117,  -32,    1
  5300, 35579,19490118,   19,    1
  5300, 35579,19490119,   30,    1
  5300, 35579,19490120,   35,    1
  5300, 35579,19490121,  -15,    1
  5300, 35579,19490122,  -33,    1
  5300, 35579,19490123,  -17,    1
  5300, 35579,19490124,   34,    1
  5300, 35579,19490125,   30,    1
  5300, 35579,19490126,   21,    1
  5300, 35579,19490127,    2,    1
  5300, 35579,19490128,   33,    1
  5300, 35579,19490129,   35,    1
  5300, 35579,19490130,   32,    1
  5300, 35579,19490131,   -2,    1
  5300, 35579,19490201,  -25,    1
  5300, 35579,19490202,  -18,    1
  5300, 35579,19490203,   25,    1
  5300, 35579,19490204,   36,    1
  5300, 35579,19490205,   19,    1
  5300, 35579,19490206,   11,    1
  5300, 35579,19490207,    6,    1
  5300, 35579,19490208,   -3,    1
