EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JONKOPINGS_FLYGPLATS, SWEDEN (STAID: 5310)
Blended and updated with sources:35588 35612 902550 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5310, 35612,19510101,  -41,    0
  5310, 35612,19510102,   14,    0
  5310, 35612,19510103,    9,    0
  5310, 35612,19510104,   -7,    0
  5310, 35612,19510105,    1,    0
  5310, 35612,19510106,   15,    0
  5310, 35612,19510107,    8,    0
  5310, 35612,19510108,  -17,    0
  5310, 35612,19510109,   -7,    0
  5310, 35612,19510110,  -16,    0
  5310, 35612,19510111,   11,    0
  5310, 35612,19510112,   19,    0
  5310, 35612,19510113,   15,    0
  5310, 35612,19510114,   15,    0
  5310, 35612,19510115,    7,    0
  5310, 35612,19510116,  -10,    0
  5310, 35612,19510117,   -2,    0
  5310, 35612,19510118,   19,    0
  5310, 35612,19510119,   22,    0
  5310, 35612,19510120,   17,    0
  5310, 35612,19510121,  -44,    0
  5310, 35612,19510122,  -78,    0
  5310, 35612,19510123,  -31,    0
  5310, 35612,19510124,  -15,    0
  5310, 35612,19510125,  -47,    0
  5310, 35612,19510126,  -32,    0
  5310, 35612,19510127,  -16,    0
  5310, 35612,19510128,    0,    0
  5310, 35612,19510129,   -2,    0
  5310, 35612,19510130,   10,    0
  5310, 35612,19510131,  -72,    0
  5310, 35612,19510201,  -20,    0
  5310, 35612,19510202,   -5,    0
  5310, 35612,19510203,  -17,    0
  5310, 35612,19510204,   -3,    0
  5310, 35612,19510205,   19,    0
  5310, 35612,19510206,    8,    0
  5310, 35612,19510207,   20,    0
  5310, 35612,19510208,   21,    0
  5310, 35612,19510209,   28,    0
  5310, 35612,19510210,   17,    0
  5310, 35612,19510211,   13,    0
  5310, 35612,19510212,   18,    0
  5310, 35612,19510213,   -1,    0
  5310, 35612,19510214,    9,    0
  5310, 35612,19510215,  -42,    0
  5310, 35612,19510216,  -20,    0
  5310, 35612,19510217,   -9,    0
  5310, 35612,19510218,   15,    0
  5310, 35612,19510219,   18,    0
  5310, 35612,19510220,   19,    0
  5310, 35612,19510221,   16,    0
  5310, 35612,19510222,   15,    0
  5310, 35612,19510223,   10,    0
  5310, 35612,19510224,    6,    0
  5310, 35612,19510225,   24,    0
  5310, 35612,19510226,   10,    0
  5310, 35612,19510227,    2,    0
  5310, 35612,19510228,    1,    0
  5310, 35612,19510301,  -12,    0
  5310, 35612,19510302,   16,    0
  5310, 35612,19510303,  -14,    0
  5310, 35612,19510304,    3,    0
  5310, 35612,19510305,   -9,    0
  5310, 35612,19510306,  -29,    0
  5310, 35612,19510307,  -15,    0
  5310, 35612,19510308,    1,    0
  5310, 35612,19510309,    6,    0
  5310, 35612,19510310,  -20,    0
  5310, 35612,19510311,  -22,    0
  5310, 35612,19510312,   -8,    0
  5310, 35612,19510313,   11,    0
  5310, 35612,19510314,   10,    0
  5310, 35612,19510315,   -6,    0
  5310, 35612,19510316,  -29,    0
  5310, 35612,19510317,  -38,    0
  5310, 35612,19510318,   -4,    0
  5310, 35612,19510319,    4,    0
  5310, 35612,19510320,  -37,    0
  5310, 35612,19510321,  -43,    0
  5310, 35612,19510322,    6,    0
  5310, 35612,19510323,   19,    0
  5310, 35612,19510324,    6,    0
  5310, 35612,19510325,  -40,    0
  5310, 35612,19510326,    5,    0
  5310, 35612,19510327,   -4,    0
  5310, 35612,19510328,   13,    0
  5310, 35612,19510329,   13,    0
  5310, 35612,19510330,  -25,    0
  5310, 35612,19510331,    1,    0
  5310, 35612,19510401,   15,    0
  5310, 35612,19510402,   20,    0
  5310, 35612,19510403,   28,    0
  5310, 35612,19510404,   32,    0
  5310, 35612,19510405,   34,    0
  5310, 35612,19510406,   49,    0
  5310, 35612,19510407,   50,    0
  5310, 35612,19510408,   55,    0
  5310, 35612,19510409,   36,    0
  5310, 35612,19510410,   29,    0
  5310, 35612,19510411,   29,    0
  5310, 35612,19510412,   45,    0
  5310, 35612,19510413,   51,    0
  5310, 35612,19510414,   32,    0
  5310, 35612,19510415,   34,    0
  5310, 35612,19510416,   33,    0
  5310, 35612,19510417,   33,    0
  5310, 35612,19510418,   48,    0
  5310, 35612,19510419,   41,    0
  5310, 35612,19510420,   24,    0
  5310, 35612,19510421,   41,    0
  5310, 35612,19510422,   37,    0
  5310, 35612,19510423,   56,    0
  5310, 35612,19510424,   92,    0
  5310, 35612,19510425,  109,    0
  5310, 35612,19510426,   73,    0
  5310, 35612,19510427,  102,    0
  5310, 35612,19510428,   49,    0
  5310, 35612,19510429,   57,    0
  5310, 35612,19510430,   61,    0
  5310, 35612,19510501,   58,    0
  5310, 35612,19510502,   62,    0
  5310, 35612,19510503,   43,    0
  5310, 35612,19510504,   62,    0
  5310, 35612,19510505,   48,    0
  5310, 35612,19510506,   52,    0
  5310, 35612,19510507,   73,    0
  5310, 35612,19510508,   62,    0
  5310, 35612,19510509,   43,    0
  5310, 35612,19510510,   58,    0
  5310, 35612,19510511,   56,    0
  5310, 35612,19510512,  102,    0
  5310, 35612,19510513,   83,    0
  5310, 35612,19510514,   76,    0
  5310, 35612,19510515,   56,    0
  5310, 35612,19510516,   55,    0
  5310, 35612,19510517,   74,    0
  5310, 35612,19510518,  105,    0
  5310, 35612,19510519,   98,    0
  5310, 35612,19510520,  134,    0
  5310, 35612,19510521,   96,    0
  5310, 35612,19510522,  113,    0
  5310, 35612,19510523,   97,    0
  5310, 35612,19510524,   72,    0
  5310, 35612,19510525,   62,    0
  5310, 35612,19510526,   79,    0
  5310, 35612,19510527,   78,    0
  5310, 35612,19510528,   64,    0
  5310, 35612,19510529,   62,    0
  5310, 35612,19510530,   92,    0
  5310, 35612,19510531,  127,    0
  5310, 35612,19510601,  138,    0
  5310, 35612,19510602,  116,    0
  5310, 35612,19510603,  113,    0
  5310, 35612,19510604,  130,    0
  5310, 35612,19510605,  155,    0
  5310, 35612,19510606,  103,    0
  5310, 35612,19510607,   93,    0
  5310, 35612,19510608,   87,    0
  5310, 35612,19510609,  120,    0
  5310, 35612,19510610,  128,    0
  5310, 35612,19510611,  119,    0
  5310, 35612,19510612,  124,    0
  5310, 35612,19510613,  122,    0
  5310, 35612,19510614,  149,    0
  5310, 35612,19510615,  169,    0
  5310, 35612,19510616,  157,    0
  5310, 35612,19510617,  151,    0
  5310, 35612,19510618,  165,    0
  5310, 35612,19510619,  138,    0
  5310, 35612,19510620,  127,    0
  5310, 35612,19510621,  142,    0
  5310, 35612,19510622,  146,    0
  5310, 35612,19510623,  179,    0
  5310, 35612,19510624,  201,    0
  5310, 35612,19510625,  156,    0
  5310, 35612,19510626,  144,    0
  5310, 35612,19510627,  159,    0
  5310, 35612,19510628,  137,    0
  5310, 35612,19510629,  126,    0
  5310, 35612,19510630,  159,    0
  5310, 35612,19510701,  158,    0
  5310, 35612,19510702,  166,    0
  5310, 35612,19510703,  146,    0
  5310, 35612,19510704,  128,    0
  5310, 35612,19510705,  112,    0
  5310, 35612,19510706,  118,    0
  5310, 35612,19510707,  118,    0
  5310, 35612,19510708,  158,    0
  5310, 35612,19510709,  147,    0
  5310, 35612,19510710,  151,    0
  5310, 35612,19510711,  182,    0
  5310, 35612,19510712,  201,    0
  5310, 35612,19510713,  168,    0
  5310, 35612,19510714,  163,    0
  5310, 35612,19510715,  145,    0
  5310, 35612,19510716,  174,    0
  5310, 35612,19510717,  165,    0
  5310, 35612,19510718,  145,    0
  5310, 35612,19510719,  132,    0
  5310, 35612,19510720,  131,    0
  5310, 35612,19510721,  135,    0
  5310, 35612,19510722,  142,    0
  5310, 35612,19510723,  161,    0
  5310, 35612,19510724,  142,    0
  5310, 35612,19510725,  150,    0
  5310, 35612,19510726,  162,    0
  5310, 35612,19510727,  185,    0
  5310, 35612,19510728,  165,    0
  5310, 35612,19510729,  154,    0
  5310, 35612,19510730,  151,    0
  5310, 35612,19510731,  144,    0
  5310, 35612,19510801,  175,    0
  5310, 35612,19510802,  190,    0
  5310, 35612,19510803,  174,    0
  5310, 35612,19510804,  157,    0
  5310, 35612,19510805,  150,    0
  5310, 35612,19510806,  195,    0
  5310, 35612,19510807,  161,    0
  5310, 35612,19510808,  192,    0
  5310, 35612,19510809,  193,    0
  5310, 35612,19510810,  162,    0
  5310, 35612,19510811,  134,    0
  5310, 35612,19510812,  135,    0
  5310, 35612,19510813,  144,    0
  5310, 35612,19510814,  137,    0
  5310, 35612,19510815,  133,    0
  5310, 35612,19510816,  131,    0
  5310, 35612,19510817,  145,    0
  5310, 35612,19510818,  138,    0
  5310, 35612,19510819,  142,    0
  5310, 35612,19510820,  155,    0
  5310, 35612,19510821,  147,    0
  5310, 35612,19510822,  138,    0
  5310, 35612,19510823,  151,    0
  5310, 35612,19510824,  139,    0
  5310, 35612,19510825,  135,    0
  5310, 35612,19510826,  167,    0
  5310, 35612,19510827,  166,    0
  5310, 35612,19510828,  163,    0
  5310, 35612,19510829,  185,    0
  5310, 35612,19510830,  178,    0
  5310, 35612,19510831,  175,    0
  5310, 35612,19510901,  142,    0
  5310, 35612,19510902,  140,    0
  5310, 35612,19510903,  151,    0
  5310, 35612,19510904,  131,    0
  5310, 35612,19510905,  171,    0
  5310, 35612,19510906,  172,    0
  5310, 35612,19510907,  165,    0
  5310, 35612,19510908,  106,    0
  5310, 35612,19510909,   91,    0
  5310, 35612,19510910,  107,    0
  5310, 35612,19510911,  111,    0
  5310, 35612,19510912,  133,    0
  5310, 35612,19510913,  176,    0
  5310, 35612,19510914,  162,    0
  5310, 35612,19510915,  141,    0
  5310, 35612,19510916,  127,    0
  5310, 35612,19510917,  113,    0
  5310, 35612,19510918,  102,    0
  5310, 35612,19510919,   80,    0
  5310, 35612,19510920,   51,    0
  5310, 35612,19510921,   57,    0
  5310, 35612,19510922,   73,    0
  5310, 35612,19510923,  103,    0
  5310, 35612,19510924,   85,    0
  5310, 35612,19510925,   95,    0
  5310, 35612,19510926,  117,    0
  5310, 35612,19510927,  112,    0
  5310, 35612,19510928,  121,    0
  5310, 35612,19510929,   86,    0
  5310, 35612,19510930,   97,    0
  5310, 35612,19511001,   84,    0
  5310, 35612,19511002,   79,    0
  5310, 35612,19511003,   89,    0
  5310, 35612,19511004,   90,    0
  5310, 35612,19511005,   88,    0
  5310, 35612,19511006,   51,    0
  5310, 35612,19511007,   50,    0
  5310, 35612,19511008,   48,    0
  5310, 35612,19511009,   58,    0
  5310, 35612,19511010,   60,    0
  5310, 35612,19511011,   50,    0
  5310, 35612,19511012,   61,    0
  5310, 35612,19511013,   99,    0
  5310, 35612,19511014,   73,    0
  5310, 35612,19511015,   58,    0
  5310, 35612,19511016,   52,    0
  5310, 35612,19511017,   88,    0
  5310, 35612,19511018,   50,    0
  5310, 35612,19511019,   24,    0
  5310, 35612,19511020,   72,    0
  5310, 35612,19511021,   75,    0
  5310, 35612,19511022,   98,    0
  5310, 35612,19511023,   45,    0
  5310, 35612,19511024,   57,    0
  5310, 35612,19511025,   81,    0
  5310, 35612,19511026,   94,    0
  5310, 35612,19511027,   75,    0
  5310, 35612,19511028,   43,    0
  5310, 35612,19511029,   43,    0
  5310, 35612,19511030,   54,    0
  5310, 35612,19511031,   82,    0
  5310, 35612,19511101,   75,    0
  5310, 35612,19511102,   39,    0
  5310, 35612,19511103,   25,    0
  5310, 35612,19511104,   30,    0
  5310, 35612,19511105,   25,    0
  5310, 35612,19511106,   28,    0
  5310, 35612,19511107,   59,    0
  5310, 35612,19511108,   71,    0
  5310, 35612,19511109,   70,    0
  5310, 35612,19511110,   38,    0
  5310, 35612,19511111,   32,    0
  5310, 35612,19511112,   44,    0
  5310, 35612,19511113,   46,    0
  5310, 35612,19511114,   14,    0
  5310, 35612,19511115,    8,    0
  5310, 35612,19511116,   39,    0
  5310, 35612,19511117,   81,    0
  5310, 35612,19511118,   84,    0
  5310, 35612,19511119,   74,    0
  5310, 35612,19511120,   79,    0
  5310, 35612,19511121,   72,    0
  5310, 35612,19511122,   65,    0
  5310, 35612,19511123,   57,    0
  5310, 35612,19511124,   41,    0
  5310, 35612,19511125,   32,    0
  5310, 35612,19511126,   18,    0
  5310, 35612,19511127,   61,    0
  5310, 35612,19511128,   33,    0
  5310, 35612,19511129,   22,    0
  5310, 35612,19511130,   54,    0
  5310, 35612,19511201,   42,    0
  5310, 35612,19511202,   -1,    0
  5310, 35612,19511203,  -21,    0
  5310, 35612,19511204,   39,    0
  5310, 35612,19511205,   81,    0
  5310, 35612,19511206,   36,    0
  5310, 35612,19511207,   16,    0
  5310, 35612,19511208,   35,    0
  5310, 35612,19511209,   41,    0
  5310, 35612,19511210,   17,    0
  5310, 35612,19511211,    5,    0
  5310, 35612,19511212,   18,    0
  5310, 35612,19511213,   30,    0
  5310, 35612,19511214,   42,    0
  5310, 35612,19511215,   65,    0
  5310, 35612,19511216,   31,    0
  5310, 35612,19511217,  -12,    0
  5310, 35612,19511218,   34,    0
  5310, 35612,19511219,   66,    0
  5310, 35612,19511220,   55,    0
  5310, 35612,19511221,   37,    0
  5310, 35612,19511222,   35,    0
  5310, 35612,19511223,   36,    0
  5310, 35612,19511224,   46,    0
  5310, 35612,19511225,   64,    0
  5310, 35612,19511226,   37,    0
  5310, 35612,19511227,   29,    0
  5310, 35612,19511228,   31,    0
  5310, 35612,19511229,   20,    0
  5310, 35612,19511230,   22,    0
  5310, 35612,19511231,   32,    0
  5310, 35612,19520101,   25,    0
  5310, 35612,19520102,    2,    0
  5310, 35612,19520103,   18,    0
  5310, 35612,19520104,   -7,    0
  5310, 35612,19520105,  -16,    0
  5310, 35612,19520106,   10,    0
  5310, 35612,19520107,   70,    0
  5310, 35612,19520108,   26,    0
  5310, 35612,19520109,   37,    0
  5310, 35612,19520110,   10,    0
  5310, 35612,19520111,   10,    0
  5310, 35612,19520112,   14,    0
  5310, 35612,19520113,  -14,    0
  5310, 35612,19520114,   16,    0
  5310, 35612,19520115,   35,    0
  5310, 35612,19520116,   31,    0
  5310, 35612,19520117,   -1,    0
  5310, 35612,19520118,   12,    0
  5310, 35612,19520119,    1,    0
  5310, 35612,19520120,   -4,    0
  5310, 35612,19520121,  -16,    0
  5310, 35612,19520122,  -32,    0
  5310, 35612,19520123,  -68,    0
  5310, 35612,19520124,  -25,    0
  5310, 35612,19520125,  -21,    0
