EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TROLLHATTANS FLYGPLATS, SWEDEN (STAID: 5358)
Blended and updated with sources:35771 35789 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5358, 35789,19491201,   54,    1
  5358, 35789,19491202,   34,    1
  5358, 35789,19491203,   23,    1
  5358, 35789,19491204,   36,    1
  5358, 35789,19491205,   -6,    1
  5358, 35789,19491206,  -34,    1
  5358, 35789,19491207,  -18,    1
  5358, 35789,19491208,   58,    1
  5358, 35789,19491209,   19,    1
  5358, 35789,19491210,  -16,    1
  5358, 35789,19491211,  -13,    1
  5358, 35789,19491212,  -48,    1
  5358, 35789,19491213,   50,    1
  5358, 35789,19491214,   53,    1
  5358, 35789,19491215,   26,    1
  5358, 35789,19491216,   36,    1
  5358, 35789,19491217,   19,    1
  5358, 35789,19491218,   10,    1
  5358, 35789,19491219,   11,    1
  5358, 35789,19491220,   51,    1
  5358, 35789,19491221,   47,    1
  5358, 35789,19491222,   27,    1
  5358, 35789,19491223,    7,    1
  5358, 35789,19491224,   39,    1
  5358, 35789,19491225,   51,    1
  5358, 35789,19491226,   51,    1
  5358, 35789,19491227,   49,    1
  5358, 35789,19491228,   42,    1
  5358, 35789,19491229,   40,    1
  5358, 35789,19491230,   -3,    1
  5358, 35789,19491231,  -22,    1
  5358, 35789,19500101,   14,    1
  5358, 35789,19500102,   41,    1
  5358, 35789,19500103,   -2,    1
  5358, 35789,19500104,  -71,    1
  5358, 35789,19500105,  -99,    1
  5358, 35789,19500106, -101,    1
  5358, 35789,19500107,  -65,    1
  5358, 35789,19500108,  -17,    1
  5358, 35789,19500109,  -26,    1
  5358, 35789,19500110,  -71,    1
  5358, 35789,19500111,  -55,    1
  5358, 35789,19500112,  -15,    1
  5358, 35789,19500113,   25,    1
  5358, 35789,19500114,   44,    1
  5358, 35789,19500115,   34,    1
  5358, 35789,19500116,   15,    1
  5358, 35789,19500117,  -79,    1
  5358, 35789,19500118,  -83,    1
  5358, 35789,19500119,  -96,    1
  5358, 35789,19500120,   -5,    1
  5358, 35789,19500121,    2,    1
  5358, 35789,19500122,    6,    1
  5358, 35789,19500123,   10,    1
  5358, 35789,19500124,   -4,    1
  5358, 35789,19500125,  -48,    1
  5358, 35789,19500126,  -21,    1
  5358, 35789,19500127,   -8,    1
  5358, 35789,19500128,  -33,    1
  5358, 35789,19500129,  -46,    1
  5358, 35789,19500130,  -42,    1
  5358, 35789,19500131,  -50,    1
  5358, 35789,19500201,  -50,    1
  5358, 35789,19500202,  -41,    1
  5358, 35789,19500203,  -13,    1
  5358, 35789,19500204,   19,    1
  5358, 35789,19500205,-9999,    9
  5358, 35789,19500206,   12,    1
  5358, 35789,19500207,    8,    1
  5358, 35789,19500208,    8,    1
  5358, 35789,19500209,    2,    1
  5358, 35789,19500210,   -2,    1
  5358, 35789,19500211,   -6,    1
  5358, 35789,19500212,-9999,    9
  5358, 35789,19500213,   -7,    1
  5358, 35789,19500214,  -31,    1
  5358, 35789,19500215,  -46,    1
  5358, 35789,19500216,   -2,    1
  5358, 35789,19500217,   51,    1
  5358, 35789,19500218,   46,    1
  5358, 35789,19500219,   44,    1
  5358, 35789,19500220,   17,    1
  5358, 35789,19500221,    7,    1
  5358, 35789,19500222,   21,    1
  5358, 35789,19500223,    2,    1
  5358, 35789,19500224,  -21,    1
  5358, 35789,19500225,  -24,    1
  5358, 35789,19500226,  -38,    1
  5358, 35789,19500227,  -51,    1
  5358, 35789,19500228,  -60,    1
  5358, 35789,19500301,  -48,    1
  5358, 35789,19500302,  -18,    1
  5358, 35789,19500303,    7,    1
  5358, 35789,19500304,   47,    1
  5358, 35789,19500305,   68,    1
  5358, 35789,19500306,   70,    1
  5358, 35789,19500307,   71,    1
  5358, 35789,19500308,   29,    1
  5358, 35789,19500309,  -11,    1
  5358, 35789,19500310,  -10,    1
  5358, 35789,19500311,   24,    1
  5358, 35789,19500312,    2,    1
  5358, 35789,19500313,  -33,    1
  5358, 35789,19500314,  -35,    1
  5358, 35789,19500315,  -10,    1
  5358, 35789,19500316,   19,    1
  5358, 35789,19500317,   63,    1
  5358, 35789,19500318,   69,    1
