EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANDSORT_A, SWEDEN (STAID: 5409)
Blended and updated with sources:35939 35942 902567 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5409, 35939,19490101,   37,    1
  5409, 35939,19490102,   41,    1
  5409, 35939,19490103,   33,    1
  5409, 35939,19490104,   17,    1
  5409, 35939,19490105,   30,    1
  5409, 35939,19490106,   35,    1
  5409, 35939,19490107,   33,    1
  5409, 35939,19490108,   31,    1
  5409, 35939,19490109,  -16,    1
  5409, 35939,19490110,    9,    1
  5409, 35939,19490111,   27,    1
  5409, 35939,19490112,   23,    1
  5409, 35939,19490113,  -24,    1
  5409, 35939,19490114,   38,    1
  5409, 35939,19490115,   15,    1
  5409, 35939,19490116,  -50,    1
  5409, 35939,19490117,  -31,    1
  5409, 35939,19490118,   15,    1
  5409, 35939,19490119,   22,    1
  5409, 35939,19490120,   29,    1
  5409, 35939,19490121,  -36,    1
  5409, 35939,19490122,  -59,    1
  5409, 35939,19490123,  -12,    1
  5409, 35939,19490124,   35,    1
  5409, 35939,19490125,   30,    1
  5409, 35939,19490126,   20,    1
  5409, 35939,19490127,   17,    1
  5409, 35939,19490128,   31,    1
  5409, 35939,19490129,   27,    1
  5409, 35939,19490130,   30,    1
  5409, 35939,19490131,   -3,    1
  5409, 35939,19490201,  -35,    1
  5409, 35939,19490202,  -21,    1
  5409, 35939,19490203,   29,    1
  5409, 35939,19490204,   36,    1
  5409, 35939,19490205,   14,    1
  5409, 35939,19490206,    1,    1
  5409, 35939,19490207,    4,    1
  5409, 35939,19490208,    8,    1
  5409, 35939,19490209,   19,    1
  5409, 35939,19490210,   14,    1
  5409, 35939,19490211,  -12,    1
  5409, 35939,19490212,   -2,    1
  5409, 35939,19490213,    6,    1
  5409, 35939,19490214,   26,    1
  5409, 35939,19490215,   21,    1
  5409, 35939,19490216,   40,    1
  5409, 35939,19490217,-9999,    9
  5409, 35939,19490218,   19,    1
  5409, 35939,19490219,   19,    1
  5409, 35939,19490220,   30,    1
  5409, 35939,19490221,   28,    1
  5409, 35939,19490222,   35,    1
  5409, 35939,19490223,   48,    1
  5409, 35939,19490224,   28,    1
  5409, 35939,19490225,   17,    1
  5409, 35939,19490226,   -2,    1
  5409, 35939,19490227,    2,    1
  5409, 35939,19490228,  -31,    1
  5409, 35939,19490301,  -34,    1
  5409, 35939,19490302,  -65,    1
  5409, 35939,19490303,  -54,    1
  5409, 35939,19490304,  -64,    1
  5409, 35939,19490305,  -52,    1
  5409, 35939,19490306,    4,    1
  5409, 35939,19490307,    2,    1
  5409, 35939,19490308,   -3,    1
  5409, 35939,19490309,    3,    1
  5409, 35939,19490310,    9,    1
  5409, 35939,19490311,    8,    1
  5409, 35939,19490312,   -1,    1
  5409, 35939,19490313,   18,    1
  5409, 35939,19490314,   14,    1
  5409, 35939,19490315,   10,    1
  5409, 35939,19490316,   11,    1
  5409, 35939,19490317,  -18,    1
  5409, 35939,19490318,  -12,    1
  5409, 35939,19490319,  -10,    1
  5409, 35939,19490320,   -1,    1
  5409, 35939,19490321,    4,    1
  5409, 35939,19490322,   26,    1
  5409, 35939,19490323,   31,    1
  5409, 35939,19490324,   41,    1
  5409, 35939,19490325,   38,    1
  5409, 35939,19490326,   20,    1
  5409, 35939,19490327,   13,    1
  5409, 35939,19490328,   27,    1
  5409, 35939,19490329,   24,    1
  5409, 35939,19490330,   28,    1
  5409, 35939,19490331,   27,    1
  5409, 35939,19490401,-9999,    9
  5409, 35939,19490402,-9999,    9
  5409, 35939,19490403,-9999,    9
  5409, 35939,19490404,-9999,    9
  5409, 35939,19490405,-9999,    9
  5409, 35939,19490406,-9999,    9
  5409, 35939,19490407,-9999,    9
  5409, 35939,19490408,-9999,    9
  5409, 35939,19490409,-9999,    9
  5409, 35939,19490410,-9999,    9
  5409, 35939,19490411,-9999,    9
  5409, 35939,19490412,-9999,    9
  5409, 35939,19490413,-9999,    9
  5409, 35939,19490414,-9999,    9
  5409, 35939,19490415,-9999,    9
  5409, 35939,19490416,-9999,    9
  5409, 35939,19490417,-9999,    9
  5409, 35939,19490418,-9999,    9
  5409, 35939,19490419,-9999,    9
  5409, 35939,19490420,-9999,    9
  5409, 35939,19490421,-9999,    9
  5409, 35939,19490422,-9999,    9
  5409, 35939,19490423,-9999,    9
  5409, 35939,19490424,-9999,    9
  5409, 35939,19490425,-9999,    9
  5409, 35939,19490426,-9999,    9
  5409, 35939,19490427,-9999,    9
  5409, 35939,19490428,-9999,    9
  5409, 35939,19490429,-9999,    9
  5409, 35939,19490430,-9999,    9
  5409, 35939,19490501,-9999,    9
  5409, 35939,19490502,-9999,    9
  5409, 35939,19490503,-9999,    9
  5409, 35939,19490504,-9999,    9
  5409, 35939,19490505,-9999,    9
  5409, 35939,19490506,-9999,    9
  5409, 35939,19490507,-9999,    9
  5409, 35939,19490508,-9999,    9
  5409, 35939,19490509,-9999,    9
  5409, 35939,19490510,-9999,    9
  5409, 35939,19490511,-9999,    9
  5409, 35939,19490512,-9999,    9
  5409, 35939,19490513,-9999,    9
  5409, 35939,19490514,-9999,    9
  5409, 35939,19490515,-9999,    9
  5409, 35939,19490516,-9999,    9
  5409, 35939,19490517,-9999,    9
  5409, 35939,19490518,-9999,    9
  5409, 35939,19490519,-9999,    9
  5409, 35939,19490520,-9999,    9
  5409, 35939,19490521,-9999,    9
  5409, 35939,19490522,-9999,    9
  5409, 35939,19490523,-9999,    9
  5409, 35939,19490524,-9999,    9
  5409, 35939,19490525,-9999,    9
  5409, 35939,19490526,-9999,    9
  5409, 35939,19490527,-9999,    9
  5409, 35939,19490528,-9999,    9
  5409, 35939,19490529,-9999,    9
  5409, 35939,19490530,-9999,    9
  5409, 35939,19490531,-9999,    9
  5409, 35939,19490601,-9999,    9
  5409, 35939,19490602,-9999,    9
  5409, 35939,19490603,-9999,    9
  5409, 35939,19490604,-9999,    9
  5409, 35939,19490605,-9999,    9
  5409, 35939,19490606,-9999,    9
  5409, 35939,19490607,-9999,    9
  5409, 35939,19490608,-9999,    9
  5409, 35939,19490609,-9999,    9
  5409, 35939,19490610,-9999,    9
  5409, 35939,19490611,-9999,    9
  5409, 35939,19490612,-9999,    9
  5409, 35939,19490613,-9999,    9
  5409, 35939,19490614,-9999,    9
  5409, 35939,19490615,-9999,    9
  5409, 35939,19490616,-9999,    9
  5409, 35939,19490617,-9999,    9
  5409, 35939,19490618,-9999,    9
  5409, 35939,19490619,-9999,    9
  5409, 35939,19490620,-9999,    9
  5409, 35939,19490621,-9999,    9
  5409, 35939,19490622,-9999,    9
  5409, 35939,19490623,-9999,    9
  5409, 35939,19490624,-9999,    9
  5409, 35939,19490625,-9999,    9
  5409, 35939,19490626,-9999,    9
  5409, 35939,19490627,-9999,    9
  5409, 35939,19490628,-9999,    9
  5409, 35939,19490629,-9999,    9
  5409, 35939,19490630,-9999,    9
  5409, 35939,19490701,-9999,    9
  5409, 35939,19490702,-9999,    9
  5409, 35939,19490703,-9999,    9
  5409, 35939,19490704,-9999,    9
  5409, 35939,19490705,-9999,    9
  5409, 35939,19490706,-9999,    9
  5409, 35939,19490707,-9999,    9
  5409, 35939,19490708,-9999,    9
  5409, 35939,19490709,-9999,    9
  5409, 35939,19490710,-9999,    9
  5409, 35939,19490711,-9999,    9
  5409, 35939,19490712,-9999,    9
  5409, 35939,19490713,-9999,    9
  5409, 35939,19490714,-9999,    9
  5409, 35939,19490715,-9999,    9
  5409, 35939,19490716,-9999,    9
  5409, 35939,19490717,-9999,    9
  5409, 35939,19490718,-9999,    9
  5409, 35939,19490719,-9999,    9
  5409, 35939,19490720,-9999,    9
  5409, 35939,19490721,-9999,    9
  5409, 35939,19490722,-9999,    9
  5409, 35939,19490723,-9999,    9
  5409, 35939,19490724,-9999,    9
  5409, 35939,19490725,-9999,    9
  5409, 35939,19490726,-9999,    9
  5409, 35939,19490727,-9999,    9
  5409, 35939,19490728,-9999,    9
  5409, 35939,19490729,-9999,    9
  5409, 35939,19490730,-9999,    9
  5409, 35939,19490731,-9999,    9
  5409, 35939,19490801,-9999,    9
  5409, 35939,19490802,-9999,    9
  5409, 35939,19490803,-9999,    9
  5409, 35939,19490804,-9999,    9
  5409, 35939,19490805,-9999,    9
  5409, 35939,19490806,-9999,    9
  5409, 35939,19490807,-9999,    9
  5409, 35939,19490808,-9999,    9
  5409, 35939,19490809,-9999,    9
  5409, 35939,19490810,-9999,    9
  5409, 35939,19490811,-9999,    9
