EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FLODA_A, SWEDEN (STAID: 5436)
Blended and updated with sources:36026 902476 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5436, 36026,19951101,-9999,    9
  5436, 36026,19951102,-9999,    9
  5436, 36026,19951103,-9999,    9
  5436, 36026,19951104,-9999,    9
  5436, 36026,19951105,-9999,    9
  5436, 36026,19951106,-9999,    9
  5436, 36026,19951107,-9999,    9
  5436, 36026,19951108,-9999,    9
  5436, 36026,19951109,-9999,    9
  5436, 36026,19951110,-9999,    9
  5436, 36026,19951111,-9999,    9
  5436, 36026,19951112,-9999,    9
  5436, 36026,19951113,-9999,    9
  5436, 36026,19951114,-9999,    9
  5436, 36026,19951115,-9999,    9
  5436, 36026,19951116,-9999,    9
  5436, 36026,19951117,-9999,    9
  5436, 36026,19951118,-9999,    9
  5436, 36026,19951119,-9999,    9
  5436, 36026,19951120,-9999,    9
  5436, 36026,19951121,-9999,    9
  5436, 36026,19951122,  -18,    0
  5436, 36026,19951123,   28,    0
  5436, 36026,19951124,   68,    0
  5436, 36026,19951125,   65,    0
  5436, 36026,19951126,   39,    0
  5436, 36026,19951127,    4,    0
  5436, 36026,19951128,  -41,    0
  5436, 36026,19951129,  -13,    0
  5436, 36026,19951130,   -9,    0
  5436, 36026,19951201,  -11,    0
  5436, 36026,19951202,  -16,    0
  5436, 36026,19951203,   -5,    0
  5436, 36026,19951204,  -46,    0
  5436, 36026,19951205,  -80,    0
  5436, 36026,19951206,  -60,    0
  5436, 36026,19951207,  -36,    0
  5436, 36026,19951208,    3,    0
  5436, 36026,19951209,  -29,    0
  5436, 36026,19951210,   -3,    0
  5436, 36026,19951211,  -10,    0
  5436, 36026,19951212,  -19,    0
  5436, 36026,19951213,  -20,    0
  5436, 36026,19951214,  -43,    0
  5436, 36026,19951215,  -39,    0
  5436, 36026,19951216,  -48,    0
  5436, 36026,19951217,  -24,    0
  5436, 36026,19951218,  -67,    0
  5436, 36026,19951219, -105,    0
  5436, 36026,19951220, -112,    0
  5436, 36026,19951221, -114,    0
  5436, 36026,19951222, -170,    0
  5436, 36026,19951223,  -84,    0
  5436, 36026,19951224, -131,    0
  5436, 36026,19951225, -208,    0
  5436, 36026,19951226, -197,    0
