EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VINGAKER, SWEDEN (STAID: 5438)
Blended and updated with sources:36017 36035 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5438, 36017,19610101,   -6,    0
  5438, 36017,19610102,   -6,    0
  5438, 36017,19610103,    4,    0
  5438, 36017,19610104,   -3,    0
  5438, 36017,19610105,   -3,    0
  5438, 36017,19610106,  -13,    0
  5438, 36017,19610107,  -11,    0
  5438, 36017,19610108,  -39,    0
  5438, 36017,19610109,  -64,    0
  5438, 36017,19610110,  -10,    0
  5438, 36017,19610111,  -54,    0
  5438, 36017,19610112,  -80,    0
  5438, 36017,19610113,    5,    0
  5438, 36017,19610114,   -4,    0
  5438, 36017,19610115,   21,    0
  5438, 36017,19610116,  -11,    0
  5438, 36017,19610117,  -19,    0
  5438, 36017,19610118,  -29,    0
  5438, 36017,19610119,  -98,    0
  5438, 36017,19610120, -118,    0
  5438, 36017,19610121, -109,    0
  5438, 36017,19610122,  -68,    0
  5438, 36017,19610123,  -75,    0
  5438, 36017,19610124,  -77,    0
  5438, 36017,19610125, -141,    0
  5438, 36017,19610126,  -90,    0
  5438, 36017,19610127,  -46,    0
  5438, 36017,19610128,    9,    0
  5438, 36017,19610129,   14,    0
  5438, 36017,19610130,   25,    0
  5438, 36017,19610131,   29,    0
  5438, 36017,19610201,   20,    0
  5438, 36017,19610202,    1,    0
  5438, 36017,19610203,  -25,    0
  5438, 36017,19610204,  -62,    0
  5438, 36017,19610205,  -97,    0
  5438, 36017,19610206,  -26,    0
  5438, 36017,19610207,   27,    0
