EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OREBRO_A, SWEDEN (STAID: 5448)
Blended and updated with sources:36068 36089 902432 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5448, 36089,19640501,   82,    0
  5448, 36089,19640502,   88,    0
  5448, 36089,19640503,   92,    0
  5448, 36089,19640504,   79,    0
  5448, 36089,19640505,   76,    0
  5448, 36089,19640506,   91,    0
  5448, 36089,19640507,  113,    0
  5448, 36089,19640508,  104,    0
  5448, 36089,19640509,  116,    0
  5448, 36089,19640510,  112,    0
  5448, 36089,19640511,   98,    0
  5448, 36089,19640512,  110,    0
  5448, 36089,19640513,  140,    0
  5448, 36089,19640514,  114,    0
  5448, 36089,19640515,  100,    0
  5448, 36089,19640516,  111,    0
  5448, 36089,19640517,   94,    0
  5448, 36089,19640518,   96,    0
  5448, 36089,19640519,  127,    0
  5448, 36089,19640520,  130,    0
  5448, 36089,19640521,  146,    0
  5448, 36089,19640522,  147,    0
  5448, 36089,19640523,  177,    0
  5448, 36089,19640524,  170,    0
  5448, 36089,19640525,  164,    0
  5448, 36089,19640526,  152,    0
  5448, 36089,19640527,  155,    0
  5448, 36089,19640528,  151,    0
  5448, 36089,19640529,  161,    0
  5448, 36089,19640530,  159,    0
  5448, 36089,19640531,  114,    0
  5448, 36089,19640601,  113,    0
  5448, 36089,19640602,  102,    0
  5448, 36089,19640603,   95,    0
  5448, 36089,19640604,   84,    0
  5448, 36089,19640605,  120,    0
  5448, 36089,19640606,  157,    0
  5448, 36089,19640607,  153,    0
  5448, 36089,19640608,  119,    0
  5448, 36089,19640609,  141,    0
  5448, 36089,19640610,  146,    0
  5448, 36089,19640611,  161,    0
  5448, 36089,19640612,  152,    0
  5448, 36089,19640613,  173,    0
  5448, 36089,19640614,  208,    0
  5448, 36089,19640615,  162,    0
  5448, 36089,19640616,  131,    0
  5448, 36089,19640617,  118,    0
  5448, 36089,19640618,  149,    0
  5448, 36089,19640619,  154,    0
  5448, 36089,19640620,  148,    0
  5448, 36089,19640621,  152,    0
  5448, 36089,19640622,  128,    0
  5448, 36089,19640623,  110,    0
  5448, 36089,19640624,  124,    0
  5448, 36089,19640625,  161,    0
  5448, 36089,19640626,  178,    0
  5448, 36089,19640627,  163,    0
  5448, 36089,19640628,  155,    0
  5448, 36089,19640629,  141,    0
  5448, 36089,19640630,  138,    0
  5448, 36089,19640701,  141,    0
  5448, 36089,19640702,  128,    0
  5448, 36089,19640703,  143,    0
  5448, 36089,19640704,  128,    0
  5448, 36089,19640705,  117,    0
  5448, 36089,19640706,  116,    0
  5448, 36089,19640707,  123,    0
  5448, 36089,19640708,  128,    0
  5448, 36089,19640709,  142,    0
  5448, 36089,19640710,  129,    0
  5448, 36089,19640711,  128,    0
  5448, 36089,19640712,  135,    0
  5448, 36089,19640713,  165,    0
  5448, 36089,19640714,  173,    0
  5448, 36089,19640715,  193,    0
  5448, 36089,19640716,  193,    0
  5448, 36089,19640717,  194,    0
  5448, 36089,19640718,  197,    0
  5448, 36089,19640719,  202,    0
  5448, 36089,19640720,  181,    0
  5448, 36089,19640721,  163,    0
  5448, 36089,19640722,  162,    0
  5448, 36089,19640723,  160,    0
  5448, 36089,19640724,  170,    0
  5448, 36089,19640725,  155,    0
  5448, 36089,19640726,  164,    0
  5448, 36089,19640727,  156,    0
  5448, 36089,19640728,  159,    0
  5448, 36089,19640729,  153,    0
  5448, 36089,19640730,  134,    0
  5448, 36089,19640731,  150,    0
  5448, 36089,19640801,  134,    0
  5448, 36089,19640802,  119,    0
  5448, 36089,19640803,  146,    0
  5448, 36089,19640804,  140,    0
  5448, 36089,19640805,  154,    0
  5448, 36089,19640806,  151,    0
  5448, 36089,19640807,  171,    0
  5448, 36089,19640808,  186,    0
  5448, 36089,19640809,  172,    0
  5448, 36089,19640810,  184,    0
  5448, 36089,19640811,  170,    0
  5448, 36089,19640812,  138,    0
  5448, 36089,19640813,  124,    0
  5448, 36089,19640814,  129,    0
  5448, 36089,19640815,  125,    0
  5448, 36089,19640816,  133,    0
  5448, 36089,19640817,  124,    0
  5448, 36089,19640818,  142,    0
  5448, 36089,19640819,  160,    0
  5448, 36089,19640820,  167,    0
  5448, 36089,19640821,  112,    0
  5448, 36089,19640822,  112,    0
  5448, 36089,19640823,  126,    0
  5448, 36089,19640824,  139,    0
  5448, 36089,19640825,  155,    0
  5448, 36089,19640826,  144,    0
  5448, 36089,19640827,  194,    0
  5448, 36089,19640828,  146,    0
  5448, 36089,19640829,  133,    0
  5448, 36089,19640830,  112,    0
  5448, 36089,19640831,  132,    0
  5448, 36089,19640901,  112,    0
  5448, 36089,19640902,  116,    0
  5448, 36089,19640903,  122,    0
  5448, 36089,19640904,  141,    0
  5448, 36089,19640905,  131,    0
  5448, 36089,19640906,  151,    0
  5448, 36089,19640907,  165,    0
  5448, 36089,19640908,  136,    0
  5448, 36089,19640909,   91,    0
  5448, 36089,19640910,   83,    0
  5448, 36089,19640911,   74,    0
  5448, 36089,19640912,   72,    0
  5448, 36089,19640913,   79,    0
  5448, 36089,19640914,  106,    0
  5448, 36089,19640915,  141,    0
  5448, 36089,19640916,  137,    0
  5448, 36089,19640917,  102,    0
  5448, 36089,19640918,   95,    0
  5448, 36089,19640919,   94,    0
  5448, 36089,19640920,   93,    0
  5448, 36089,19640921,   69,    0
  5448, 36089,19640922,   81,    0
  5448, 36089,19640923,  112,    0
  5448, 36089,19640924,  131,    0
  5448, 36089,19640925,  126,    0
  5448, 36089,19640926,  101,    0
  5448, 36089,19640927,  112,    0
  5448, 36089,19640928,  122,    0
  5448, 36089,19640929,  126,    0
  5448, 36089,19640930,   78,    0
  5448, 36089,19641001,   59,    0
  5448, 36089,19641002,   91,    0
  5448, 36089,19641003,   56,    0
  5448, 36089,19641004,   88,    0
  5448, 36089,19641005,   90,    0
  5448, 36089,19641006,   84,    0
  5448, 36089,19641007,  102,    0
  5448, 36089,19641008,  107,    0
  5448, 36089,19641009,   89,    0
  5448, 36089,19641010,   91,    0
  5448, 36089,19641011,   89,    0
  5448, 36089,19641012,   51,    0
  5448, 36089,19641013,   75,    0
  5448, 36089,19641014,   87,    0
  5448, 36089,19641015,   76,    0
  5448, 36089,19641016,   48,    0
  5448, 36089,19641017,   70,    0
  5448, 36089,19641018,   69,    0
  5448, 36089,19641019,   69,    0
  5448, 36089,19641020,  103,    0
  5448, 36089,19641021,   74,    0
  5448, 36089,19641022,   53,    0
  5448, 36089,19641023,   74,    0
  5448, 36089,19641024,   70,    0
  5448, 36089,19641025,   44,    0
  5448, 36089,19641026,    9,    0
  5448, 36089,19641027,   35,    0
  5448, 36089,19641028,   25,    0
  5448, 36089,19641029,    2,    0
  5448, 36089,19641030,   -5,    0
  5448, 36089,19641031,    1,    0
  5448, 36089,19641101,   35,    0
  5448, 36089,19641102,   51,    0
  5448, 36089,19641103,   29,    0
  5448, 36089,19641104,   33,    0
  5448, 36089,19641105,    4,    0
  5448, 36089,19641106,   33,    0
  5448, 36089,19641107,    0,    0
  5448, 36089,19641108,   -8,    0
  5448, 36089,19641109,   37,    0
