EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GAVLE, SWEDEN (STAID: 5563)
Blended and updated with sources:36446 36458 902453 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5563, 36446,19580101,  -68,    0
  5563, 36446,19580102,  -88,    0
  5563, 36446,19580103,  -86,    0
  5563, 36446,19580104,  -75,    0
  5563, 36446,19580105,  -65,    0
  5563, 36446,19580106,  -25,    0
  5563, 36446,19580107,  -66,    0
  5563, 36446,19580108, -112,    0
  5563, 36446,19580109, -125,    0
  5563, 36446,19580110,  -69,    0
  5563, 36446,19580111,  -18,    0
  5563, 36446,19580112,   16,    0
  5563, 36446,19580113,   19,    0
  5563, 36446,19580114,   16,    0
  5563, 36446,19580115,  -11,    0
  5563, 36446,19580116,    6,    0
  5563, 36446,19580117,   12,    0
  5563, 36446,19580118,  -24,    0
  5563, 36446,19580119,  -22,    0
  5563, 36446,19580120,  -67,    0
  5563, 36446,19580121, -126,    0
  5563, 36446,19580122, -129,    0
  5563, 36446,19580123,   15,    0
  5563, 36446,19580124,  -26,    0
  5563, 36446,19580125, -104,    0
  5563, 36446,19580126,  -25,    0
  5563, 36446,19580127,   11,    0
  5563, 36446,19580128,   22,    0
  5563, 36446,19580129,    5,    0
  5563, 36446,19580130,   13,    0
  5563, 36446,19580131,   13,    0
  5563, 36446,19580201,   19,    0
  5563, 36446,19580202,   24,    0
  5563, 36446,19580203,   20,    0
  5563, 36446,19580204,  -14,    0
  5563, 36446,19580205,  -54,    0
  5563, 36446,19580206,  -83,    0
  5563, 36446,19580207,  -86,    0
  5563, 36446,19580208, -128,    0
  5563, 36446,19580209, -101,    0
  5563, 36446,19580210, -180,    0
  5563, 36446,19580211,  -78,    0
  5563, 36446,19580212,    0,    0
  5563, 36446,19580213,   16,    0
  5563, 36446,19580214,   15,    0
  5563, 36446,19580215,   -6,    0
  5563, 36446,19580216,  -67,    0
  5563, 36446,19580217,   -8,    0
  5563, 36446,19580218,  -46,    0
  5563, 36446,19580219,  -91,    0
  5563, 36446,19580220, -117,    0
  5563, 36446,19580221, -148,    0
  5563, 36446,19580222,  -97,    0
  5563, 36446,19580223, -141,    0
  5563, 36446,19580224, -157,    0
  5563, 36446,19580225, -146,    0
  5563, 36446,19580226, -125,    0
  5563, 36446,19580227, -151,    0
  5563, 36446,19580228,  -54,    0
  5563, 36446,19580301,    4,    0
  5563, 36446,19580302,  -46,    0
  5563, 36446,19580303,  -95,    0
  5563, 36446,19580304,   -5,    0
  5563, 36446,19580305,   27,    0
  5563, 36446,19580306,  -31,    0
  5563, 36446,19580307,  -96,    0
  5563, 36446,19580308,  -81,    0
  5563, 36446,19580309, -130,    0
  5563, 36446,19580310,  -97,    0
  5563, 36446,19580311,  -64,    0
  5563, 36446,19580312,  -42,    0
  5563, 36446,19580313,  -31,    0
  5563, 36446,19580314,  -12,    0
  5563, 36446,19580315,   18,    0
  5563, 36446,19580316,    1,    0
  5563, 36446,19580317,  -11,    0
  5563, 36446,19580318,  -17,    0
  5563, 36446,19580319,  -53,    0
  5563, 36446,19580320,  -26,    0
  5563, 36446,19580321,  -73,    0
  5563, 36446,19580322,  -52,    0
  5563, 36446,19580323,  -23,    0
  5563, 36446,19580324,  -54,    0
  5563, 36446,19580325,  -34,    0
  5563, 36446,19580326,  -32,    0
  5563, 36446,19580327,  -61,    0
  5563, 36446,19580328,  -49,    0
  5563, 36446,19580329,  -35,    0
  5563, 36446,19580330,  -23,    0
  5563, 36446,19580331,   -3,    0
  5563, 36446,19580401,  -32,    0
  5563, 36446,19580402,   -4,    0
  5563, 36446,19580403,  -30,    0
  5563, 36446,19580404,  -22,    0
  5563, 36446,19580405,    9,    0
  5563, 36446,19580406,   16,    0
  5563, 36446,19580407,   21,    0
  5563, 36446,19580408,    5,    0
  5563, 36446,19580409,   12,    0
  5563, 36446,19580410,  -11,    0
  5563, 36446,19580411,  -22,    0
  5563, 36446,19580412,   49,    0
  5563, 36446,19580413,   40,    0
  5563, 36446,19580414,   59,    0
  5563, 36446,19580415,   44,    0
  5563, 36446,19580416,   56,    0
  5563, 36446,19580417,   33,    0
  5563, 36446,19580418,   62,    0
  5563, 36446,19580419,   27,    0
  5563, 36446,19580420,   27,    0
  5563, 36446,19580421,   11,    0
  5563, 36446,19580422,   19,    0
  5563, 36446,19580423,   18,    0
  5563, 36446,19580424,   17,    0
  5563, 36446,19580425,   42,    0
  5563, 36446,19580426,   20,    0
  5563, 36446,19580427,   21,    0
  5563, 36446,19580428,   19,    0
  5563, 36446,19580429,   54,    0
  5563, 36446,19580430,  111,    0
  5563, 36446,19580501,   83,    0
