EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MORA_A, SWEDEN (STAID: 5575)
Blended and updated with sources:36485 36497 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5575, 36497,19490101,    6,    1
  5575, 36497,19490102,   18,    1
  5575, 36497,19490103,   18,    1
  5575, 36497,19490104,  -50,    1
  5575, 36497,19490105, -115,    1
  5575, 36497,19490106,   17,    1
  5575, 36497,19490107,   -6,    1
  5575, 36497,19490108,  -43,    1
  5575, 36497,19490109,  -53,    1
  5575, 36497,19490110,  -11,    1
  5575, 36497,19490111,   36,    1
  5575, 36497,19490112,  -16,    1
  5575, 36497,19490113,  -75,    1
  5575, 36497,19490114,   31,    1
  5575, 36497,19490115,  -11,    1
  5575, 36497,19490116, -115,    1
  5575, 36497,19490117,  -67,    1
  5575, 36497,19490118,  -66,    1
  5575, 36497,19490119,  -74,    1
  5575, 36497,19490120,  -19,    1
  5575, 36497,19490121, -116,    1
  5575, 36497,19490122, -151,    1
  5575, 36497,19490123,  -65,    1
  5575, 36497,19490124,   29,    1
  5575, 36497,19490125,   36,    1
  5575, 36497,19490126,   17,    1
  5575, 36497,19490127,   37,    1
  5575, 36497,19490128,   40,    1
  5575, 36497,19490129,   -3,    1
  5575, 36497,19490130,   19,    1
  5575, 36497,19490131,  -23,    1
  5575, 36497,19490201,  -48,    1
  5575, 36497,19490202,  -65,    1
  5575, 36497,19490203,   40,    1
  5575, 36497,19490204,   16,    1
  5575, 36497,19490205,   -9,    1
  5575, 36497,19490206,  -20,    1
  5575, 36497,19490207,  -60,    1
  5575, 36497,19490208,  -13,    1
  5575, 36497,19490209,  -19,    1
  5575, 36497,19490210,  -59,    1
  5575, 36497,19490211, -134,    1
  5575, 36497,19490212,  -72,    1
  5575, 36497,19490213,   17,    1
  5575, 36497,19490214,   27,    1
  5575, 36497,19490215,    7,    1
  5575, 36497,19490216,   23,    1
  5575, 36497,19490217,   54,    1
  5575, 36497,19490218,  -12,    1
  5575, 36497,19490219,   15,    1
  5575, 36497,19490220,   10,    1
  5575, 36497,19490221,   29,    1
  5575, 36497,19490222,   25,    1
  5575, 36497,19490223,   21,    1
  5575, 36497,19490224,   -1,    1
  5575, 36497,19490225,    1,    1
  5575, 36497,19490226,  -39,    1
  5575, 36497,19490227,  -60,    1
  5575, 36497,19490228,  -65,    1
  5575, 36497,19490301, -124,    1
  5575, 36497,19490302, -106,    1
  5575, 36497,19490303,  -90,    1
  5575, 36497,19490304, -119,    1
  5575, 36497,19490305,  -99,    1
  5575, 36497,19490306,  -46,    1
  5575, 36497,19490307,  -23,    1
  5575, 36497,19490308,  -25,    1
  5575, 36497,19490309,  -21,    1
  5575, 36497,19490310,  -47,    1
  5575, 36497,19490311,  -55,    1
  5575, 36497,19490312,  -37,    1
  5575, 36497,19490313,    8,    1
  5575, 36497,19490314,   -7,    1
  5575, 36497,19490315,    2,    1
  5575, 36497,19490316,  -10,    1
  5575, 36497,19490317,  -40,    1
  5575, 36497,19490318,  -57,    1
  5575, 36497,19490319,  -60,    1
  5575, 36497,19490320,  -51,    1
  5575, 36497,19490321,   -3,    1
  5575, 36497,19490322,   40,    1
  5575, 36497,19490323,   54,    1
  5575, 36497,19490324,   55,    1
