EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SODERHAMN, SWEDEN (STAID: 5589)
Blended and updated with sources:36530 71402 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5589, 71402,19490101,   16,    1
  5589, 71402,19490102,   25,    1
  5589, 71402,19490103,   15,    1
  5589, 71402,19490104,  -16,    1
  5589, 71402,19490105,  -48,    1
  5589, 71402,19490106,   32,    1
  5589, 71402,19490107,   17,    1
  5589, 71402,19490108,  -24,    1
  5589, 71402,19490109,  -50,    1
  5589, 71402,19490110,   -9,    1
  5589, 71402,19490111,   43,    1
  5589, 71402,19490112,  -10,    1
  5589, 71402,19490113,  -66,    1
  5589, 71402,19490114,   50,    1
  5589, 71402,19490115,   11,    1
  5589, 71402,19490116, -102,    1
  5589, 71402,19490117,  -75,    1
  5589, 71402,19490118,  -19,    1
  5589, 71402,19490119,  -50,    1
  5589, 71402,19490120,   -9,    1
  5589, 71402,19490121,  -86,    1
  5589, 71402,19490122, -129,    1
  5589, 71402,19490123,  -69,    1
  5589, 71402,19490124,   23,    1
  5589, 71402,19490125,   12,    1
  5589, 71402,19490126,   30,    1
  5589, 71402,19490127,   27,    1
  5589, 71402,19490128,   55,    1
  5589, 71402,19490129,   19,    1
  5589, 71402,19490130,   26,    1
  5589, 71402,19490131,  -20,    1
  5589, 71402,19490201,  -60,    1
  5589, 71402,19490202,  -28,    1
  5589, 71402,19490203,   57,    1
  5589, 71402,19490204,   24,    1
  5589, 71402,19490205,   10,    1
  5589, 71402,19490206,  -20,    1
  5589, 71402,19490207,  -21,    1
  5589, 71402,19490208,  -11,    1
  5589, 71402,19490209,   -8,    1
  5589, 71402,19490210,  -22,    1
  5589, 71402,19490211,  -63,    1
  5589, 71402,19490212,  -55,    1
  5589, 71402,19490213,   10,    1
  5589, 71402,19490214,   35,    1
  5589, 71402,19490215,   27,    1
  5589, 71402,19490216,   30,    1
  5589, 71402,19490217,   45,    1
  5589, 71402,19490218,   23,    1
  5589, 71402,19490219,   19,    1
  5589, 71402,19490220,   28,    1
  5589, 71402,19490221,   57,    1
  5589, 71402,19490222,   46,    1
  5589, 71402,19490223,    1,    1
  5589, 71402,19490224,   -5,    1
  5589, 71402,19490225,   -7,    1
  5589, 71402,19490226,  -28,    1
  5589, 71402,19490227,  -38,    1
  5589, 71402,19490228,  -81,    1
  5589, 71402,19490301, -125,    1
  5589, 71402,19490302, -125,    1
  5589, 71402,19490303,  -93,    1
  5589, 71402,19490304, -104,    1
  5589, 71402,19490305,  -83,    1
  5589, 71402,19490306,  -17,    1
  5589, 71402,19490307,  -15,    1
  5589, 71402,19490308,  -18,    1
  5589, 71402,19490309,  -26,    1
  5589, 71402,19490310,  -66,    1
  5589, 71402,19490311,  -32,    1
  5589, 71402,19490312,  -17,    1
  5589, 71402,19490313,   13,    1
  5589, 71402,19490314,    5,    1
  5589, 71402,19490315,  -12,    1
  5589, 71402,19490316,  -46,    1
  5589, 71402,19490317,  -20,    1
  5589, 71402,19490318,  -23,    1
  5589, 71402,19490319,  -36,    1
  5589, 71402,19490320,  -19,    1
  5589, 71402,19490321,  -14,    1
  5589, 71402,19490322,   32,    1
  5589, 71402,19490323,   68,    1
  5589, 71402,19490324,   63,    1
  5589, 71402,19490325,   59,    1
  5589, 71402,19490326,   17,    1
  5589, 71402,19490327,   12,    1
  5589, 71402,19490328,   44,    1
  5589, 71402,19490329,   53,    1
  5589, 71402,19490330,   65,    1
  5589, 71402,19490331,   38,    1
  5589, 71402,19490401,-9999,    9
  5589, 71402,19490402,-9999,    9
  5589, 71402,19490403,-9999,    9
  5589, 71402,19490404,-9999,    9
  5589, 71402,19490405,-9999,    9
  5589, 71402,19490406,-9999,    9
  5589, 71402,19490407,-9999,    9
  5589, 71402,19490408,-9999,    9
  5589, 71402,19490409,-9999,    9
  5589, 71402,19490410,-9999,    9
  5589, 71402,19490411,-9999,    9
  5589, 71402,19490412,-9999,    9
  5589, 71402,19490413,-9999,    9
  5589, 71402,19490414,-9999,    9
  5589, 71402,19490415,-9999,    9
  5589, 71402,19490416,-9999,    9
  5589, 71402,19490417,-9999,    9
  5589, 71402,19490418,-9999,    9
  5589, 71402,19490419,-9999,    9
  5589, 71402,19490420,-9999,    9
  5589, 71402,19490421,-9999,    9
  5589, 71402,19490422,-9999,    9
  5589, 71402,19490423,-9999,    9
  5589, 71402,19490424,-9999,    9
  5589, 71402,19490425,-9999,    9
  5589, 71402,19490426,-9999,    9
  5589, 71402,19490427,-9999,    9
  5589, 71402,19490428,-9999,    9
  5589, 71402,19490429,-9999,    9
  5589, 71402,19490430,-9999,    9
  5589, 71402,19490501,-9999,    9
  5589, 71402,19490502,-9999,    9
  5589, 71402,19490503,-9999,    9
  5589, 71402,19490504,-9999,    9
  5589, 71402,19490505,-9999,    9
  5589, 71402,19490506,-9999,    9
  5589, 71402,19490507,-9999,    9
  5589, 71402,19490508,-9999,    9
  5589, 71402,19490509,-9999,    9
  5589, 71402,19490510,-9999,    9
  5589, 71402,19490511,-9999,    9
  5589, 71402,19490512,-9999,    9
  5589, 71402,19490513,-9999,    9
  5589, 71402,19490514,-9999,    9
  5589, 71402,19490515,-9999,    9
  5589, 71402,19490516,-9999,    9
  5589, 71402,19490517,-9999,    9
  5589, 71402,19490518,-9999,    9
  5589, 71402,19490519,-9999,    9
  5589, 71402,19490520,-9999,    9
  5589, 71402,19490521,-9999,    9
  5589, 71402,19490522,-9999,    9
  5589, 71402,19490523,-9999,    9
  5589, 71402,19490524,-9999,    9
  5589, 71402,19490525,-9999,    9
  5589, 71402,19490526,-9999,    9
  5589, 71402,19490527,-9999,    9
  5589, 71402,19490528,-9999,    9
  5589, 71402,19490529,-9999,    9
  5589, 71402,19490530,-9999,    9
  5589, 71402,19490531,-9999,    9
  5589, 71402,19490601,-9999,    9
  5589, 71402,19490602,-9999,    9
  5589, 71402,19490603,-9999,    9
  5589, 71402,19490604,-9999,    9
  5589, 71402,19490605,-9999,    9
  5589, 71402,19490606,-9999,    9
  5589, 71402,19490607,-9999,    9
  5589, 71402,19490608,-9999,    9
  5589, 71402,19490609,-9999,    9
  5589, 71402,19490610,-9999,    9
  5589, 71402,19490611,-9999,    9
  5589, 71402,19490612,-9999,    9
  5589, 71402,19490613,-9999,    9
  5589, 71402,19490614,-9999,    9
  5589, 71402,19490615,-9999,    9
  5589, 71402,19490616,-9999,    9
  5589, 71402,19490617,-9999,    9
  5589, 71402,19490618,-9999,    9
  5589, 71402,19490619,-9999,    9
  5589, 71402,19490620,-9999,    9
  5589, 71402,19490621,-9999,    9
  5589, 71402,19490622,-9999,    9
  5589, 71402,19490623,-9999,    9
  5589, 71402,19490624,-9999,    9
  5589, 71402,19490625,-9999,    9
  5589, 71402,19490626,-9999,    9
  5589, 71402,19490627,-9999,    9
  5589, 71402,19490628,-9999,    9
  5589, 71402,19490629,-9999,    9
  5589, 71402,19490630,-9999,    9
  5589, 71402,19490701,-9999,    9
  5589, 71402,19490702,-9999,    9
  5589, 71402,19490703,-9999,    9
  5589, 71402,19490704,-9999,    9
  5589, 71402,19490705,-9999,    9
  5589, 71402,19490706,-9999,    9
  5589, 71402,19490707,-9999,    9
  5589, 71402,19490708,-9999,    9
  5589, 71402,19490709,-9999,    9
  5589, 71402,19490710,-9999,    9
  5589, 71402,19490711,-9999,    9
  5589, 71402,19490712,-9999,    9
  5589, 71402,19490713,-9999,    9
  5589, 71402,19490714,-9999,    9
  5589, 71402,19490715,-9999,    9
  5589, 71402,19490716,-9999,    9
  5589, 71402,19490717,-9999,    9
  5589, 71402,19490718,-9999,    9
  5589, 71402,19490719,-9999,    9
  5589, 71402,19490720,-9999,    9
  5589, 71402,19490721,-9999,    9
  5589, 71402,19490722,-9999,    9
  5589, 71402,19490723,-9999,    9
  5589, 71402,19490724,-9999,    9
  5589, 71402,19490725,-9999,    9
  5589, 71402,19490726,-9999,    9
  5589, 71402,19490727,-9999,    9
  5589, 71402,19490728,-9999,    9
  5589, 71402,19490729,-9999,    9
  5589, 71402,19490730,-9999,    9
  5589, 71402,19490731,-9999,    9
  5589, 71402,19490801,-9999,    9
  5589, 71402,19490802,-9999,    9
  5589, 71402,19490803,-9999,    9
  5589, 71402,19490804,-9999,    9
  5589, 71402,19490805,-9999,    9
  5589, 71402,19490806,-9999,    9
  5589, 71402,19490807,-9999,    9
  5589, 71402,19490808,-9999,    9
  5589, 71402,19490809,-9999,    9
  5589, 71402,19490810,-9999,    9
  5589, 71402,19490811,-9999,    9
  5589, 71402,19490812,-9999,    9
  5589, 71402,19490813,-9999,    9
  5589, 71402,19490814,-9999,    9
  5589, 71402,19490815,-9999,    9
  5589, 71402,19490816,-9999,    9
  5589, 71402,19490817,-9999,    9
  5589, 71402,19490818,-9999,    9
  5589, 71402,19490819,-9999,    9
  5589, 71402,19490820,-9999,    9
  5589, 71402,19490821,-9999,    9
  5589, 71402,19490822,-9999,    9
  5589, 71402,19490823,-9999,    9
  5589, 71402,19490824,-9999,    9
  5589, 71402,19490825,-9999,    9
  5589, 71402,19490826,-9999,    9
  5589, 71402,19490827,-9999,    9
  5589, 71402,19490828,-9999,    9
  5589, 71402,19490829,-9999,    9
  5589, 71402,19490830,-9999,    9
  5589, 71402,19490831,-9999,    9
  5589, 71402,19490901,-9999,    9
  5589, 71402,19490902,-9999,    9
  5589, 71402,19490903,-9999,    9
  5589, 71402,19490904,-9999,    9
  5589, 71402,19490905,-9999,    9
  5589, 71402,19490906,-9999,    9
  5589, 71402,19490907,-9999,    9
  5589, 71402,19490908,-9999,    9
  5589, 71402,19490909,-9999,    9
  5589, 71402,19490910,-9999,    9
  5589, 71402,19490911,-9999,    9
  5589, 71402,19490912,-9999,    9
  5589, 71402,19490913,-9999,    9
  5589, 71402,19490914,-9999,    9
  5589, 71402,19490915,-9999,    9
  5589, 71402,19490916,-9999,    9
  5589, 71402,19490917,-9999,    9
  5589, 71402,19490918,-9999,    9
  5589, 71402,19490919,-9999,    9
  5589, 71402,19490920,-9999,    9
  5589, 71402,19490921,-9999,    9
  5589, 71402,19490922,-9999,    9
  5589, 71402,19490923,-9999,    9
  5589, 71402,19490924,-9999,    9
  5589, 71402,19490925,-9999,    9
  5589, 71402,19490926,-9999,    9
  5589, 71402,19490927,-9999,    9
  5589, 71402,19490928,-9999,    9
  5589, 71402,19490929,-9999,    9
  5589, 71402,19490930,-9999,    9
  5589, 71402,19491001,   95,    1
  5589, 71402,19491002,   77,    1
  5589, 71402,19491003,   94,    1
  5589, 71402,19491004,   37,    1
  5589, 71402,19491005,   87,    1
  5589, 71402,19491006,   19,    1
  5589, 71402,19491007,    7,    1
  5589, 71402,19491008,   30,    1
  5589, 71402,19491009,  -25,    1
  5589, 71402,19491010,   42,    1
  5589, 71402,19491011,   55,    1
  5589, 71402,19491012,   23,    1
  5589, 71402,19491013,  101,    1
  5589, 71402,19491014,   91,    1
  5589, 71402,19491015,   74,    1
  5589, 71402,19491016,  130,    1
  5589, 71402,19491017,  111,    1
  5589, 71402,19491018,  107,    1
  5589, 71402,19491019,  115,    1
  5589, 71402,19491020,  100,    1
  5589, 71402,19491021,   94,    1
  5589, 71402,19491022,   88,    1
  5589, 71402,19491023,   55,    1
  5589, 71402,19491024,   33,    1
  5589, 71402,19491025,   44,    1
  5589, 71402,19491026,    9,    1
  5589, 71402,19491027,   -3,    1
  5589, 71402,19491028,  -21,    1
  5589, 71402,19491029,  -31,    1
  5589, 71402,19491030,  -37,    1
  5589, 71402,19491031,  -16,    1
  5589, 71402,19491101,    6,    1
  5589, 71402,19491102,  -21,    1
  5589, 71402,19491103,   33,    1
  5589, 71402,19491104,   76,    1
  5589, 71402,19491105,   66,    1
  5589, 71402,19491106,   37,    1
  5589, 71402,19491107,   61,    1
  5589, 71402,19491108,   50,    1
  5589, 71402,19491109,   38,    1
  5589, 71402,19491110,   40,    1
  5589, 71402,19491111,   38,    1
  5589, 71402,19491112,   47,    1
  5589, 71402,19491113,   32,    1
  5589, 71402,19491114,   26,    1
  5589, 71402,19491115,    9,    1
  5589, 71402,19491116,   23,    1
  5589, 71402,19491117,   42,    1
  5589, 71402,19491118,   45,    1
  5589, 71402,19491119,   26,    1
  5589, 71402,19491120,   40,    1
  5589, 71402,19491121,   57,    1
  5589, 71402,19491122,   52,    1
  5589, 71402,19491123,   47,    1
  5589, 71402,19491124,   20,    1
  5589, 71402,19491125,    6,    1
  5589, 71402,19491126,   -3,    1
  5589, 71402,19491127,   -8,    1
  5589, 71402,19491128,  -44,    1
  5589, 71402,19491129,  -96,    1
  5589, 71402,19491130,  -37,    1
  5589, 71402,19491201,   26,    1
  5589, 71402,19491202,   20,    1
  5589, 71402,19491203,  -19,    1
  5589, 71402,19491204,    1,    1
  5589, 71402,19491205,    2,    1
  5589, 71402,19491206,  -52,    1
  5589, 71402,19491207,  -87,    1
  5589, 71402,19491208,   31,    1
  5589, 71402,19491209,  -16,    1
  5589, 71402,19491210,  -47,    1
  5589, 71402,19491211,  -62,    1
  5589, 71402,19491212,  -93,    1
  5589, 71402,19491213,  -46,    1
  5589, 71402,19491214,   -3,    1
  5589, 71402,19491215,   18,    1
  5589, 71402,19491216,    1,    1
  5589, 71402,19491217,   16,    1
  5589, 71402,19491218,   21,    1
  5589, 71402,19491219,    8,    1
  5589, 71402,19491220,   24,    1
  5589, 71402,19491221,  -10,    1
  5589, 71402,19491222,   -5,    1
  5589, 71402,19491223,  -28,    1
  5589, 71402,19491224,  -39,    1
  5589, 71402,19491225,  -37,    1
  5589, 71402,19491226,    6,    1
  5589, 71402,19491227,    1,    1
  5589, 71402,19491228,   -6,    1
  5589, 71402,19491229,  -71,    1
  5589, 71402,19491230,   -4,    1
  5589, 71402,19491231,  -65,    1
  5589, 71402,19500101,  -72,    1
  5589, 71402,19500102,  -14,    1
  5589, 71402,19500103,  -65,    1
  5589, 71402,19500104, -138,    1
  5589, 71402,19500105, -210,    1
  5589, 71402,19500106, -203,    1
  5589, 71402,19500107, -162,    1
  5589, 71402,19500108, -108,    1
  5589, 71402,19500109,  -73,    1
  5589, 71402,19500110, -130,    1
  5589, 71402,19500111,  -81,    1
  5589, 71402,19500112,  -57,    1
  5589, 71402,19500113,  -12,    1
  5589, 71402,19500114,    2,    1
  5589, 71402,19500115,  -33,    1
  5589, 71402,19500116,  -61,    1
  5589, 71402,19500117,  -92,    1
  5589, 71402,19500118, -198,    1
  5589, 71402,19500119,  -95,    1
  5589, 71402,19500120,   -3,    1
