EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SARNA, SWEDEN (STAID: 5603)
Blended and updated with sources:36572 36575 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5603, 36572,19481201,-9999,    9
  5603, 36572,19481202,-9999,    9
  5603, 36572,19481203,-9999,    9
  5603, 36572,19481204,-9999,    9
  5603, 36572,19481205,-9999,    9
  5603, 36572,19481206,-9999,    9
  5603, 36572,19481207,-9999,    9
  5603, 36572,19481208,-9999,    9
  5603, 36572,19481209,-9999,    9
  5603, 36572,19481210,-9999,    9
  5603, 36572,19481211,-9999,    9
  5603, 36572,19481212,-9999,    9
  5603, 36572,19481213,-9999,    9
  5603, 36572,19481214,-9999,    9
  5603, 36572,19481215,-9999,    9
  5603, 36572,19481216,-9999,    9
  5603, 36572,19481217,-9999,    9
  5603, 36572,19481218,-9999,    9
  5603, 36572,19481219,-9999,    9
  5603, 36572,19481220,-9999,    9
  5603, 36572,19481221,-9999,    9
  5603, 36572,19481222,-9999,    9
  5603, 36572,19481223,-9999,    9
  5603, 36572,19481224,-9999,    9
  5603, 36572,19481225,-9999,    9
  5603, 36572,19481226,-9999,    9
  5603, 36572,19481227,-9999,    9
  5603, 36572,19481228,-9999,    9
  5603, 36572,19481229,-9999,    9
  5603, 36572,19481230,-9999,    9
  5603, 36572,19481231,  -11,    1
  5603, 36572,19490101,  -22,    1
  5603, 36572,19490102,   -2,    1
  5603, 36572,19490103,  -39,    1
  5603, 36572,19490104, -144,    1
  5603, 36572,19490105, -172,    1
  5603, 36572,19490106,  -30,    1
  5603, 36572,19490107,  -49,    1
  5603, 36572,19490108,  -89,    1
  5603, 36572,19490109,  -81,    1
  5603, 36572,19490110,  -45,    1
  5603, 36572,19490111,    5,    1
  5603, 36572,19490112,  -97,    1
  5603, 36572,19490113, -143,    1
  5603, 36572,19490114,    4,    1
  5603, 36572,19490115,  -43,    1
  5603, 36572,19490116, -146,    1
  5603, 36572,19490117,  -94,    1
  5603, 36572,19490118, -106,    1
  5603, 36572,19490119,  -81,    1
  5603, 36572,19490120, -110,    1
  5603, 36572,19490121, -159,    1
  5603, 36572,19490122, -207,    1
  5603, 36572,19490123, -144,    1
  5603, 36572,19490124,  -25,    1
  5603, 36572,19490125,    3,    1
  5603, 36572,19490126,  -25,    1
  5603, 36572,19490127,    7,    1
  5603, 36572,19490128,   13,    1
  5603, 36572,19490129,  -32,    1
  5603, 36572,19490130,  -18,    1
  5603, 36572,19490131,  -57,    1
  5603, 36572,19490201,  -96,    1
  5603, 36572,19490202, -115,    1
  5603, 36572,19490203,  -16,    1
  5603, 36572,19490204,   -8,    1
  5603, 36572,19490205,  -40,    1
  5603, 36572,19490206,  -78,    1
  5603, 36572,19490207, -138,    1
  5603, 36572,19490208,  -82,    1
  5603, 36572,19490209,  -49,    1
  5603, 36572,19490210, -164,    1
  5603, 36572,19490211, -184,    1
  5603, 36572,19490212, -145,    1
  5603, 36572,19490213,  -47,    1
  5603, 36572,19490214,    2,    1
  5603, 36572,19490215,  -66,    1
  5603, 36572,19490216,   -6,    1
  5603, 36572,19490217,   29,    1
  5603, 36572,19490218,  -41,    1
  5603, 36572,19490219,    4,    1
  5603, 36572,19490220,  -50,    1
  5603, 36572,19490221,    4,    1
  5603, 36572,19490222,    9,    1
  5603, 36572,19490223,   -9,    1
  5603, 36572,19490224,  -82,    1
  5603, 36572,19490225,  -45,    1
  5603, 36572,19490226,  -79,    1
  5603, 36572,19490227, -103,    1
  5603, 36572,19490228, -128,    1
  5603, 36572,19490301, -148,    1
  5603, 36572,19490302, -122,    1
