EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SVEG_A, SWEDEN (STAID: 5618)
Blended and updated with sources:36623 902327 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5618, 36623,20091001,    3,    0
  5618, 36623,20091002,   -2,    0
  5618, 36623,20091003,   -6,    0
  5618, 36623,20091004,   20,    0
  5618, 36623,20091005,   13,    0
  5618, 36623,20091006,  -12,    0
  5618, 36623,20091007,   47,    0
  5618, 36623,20091008,    8,    0
  5618, 36623,20091009,    5,    0
  5618, 36623,20091010,  -33,    0
  5618, 36623,20091011,  -16,    0
  5618, 36623,20091012,    4,    0
  5618, 36623,20091013,  -23,    0
  5618, 36623,20091014,  -50,    0
  5618, 36623,20091015,    0,    0
  5618, 36623,20091016,   39,    0
  5618, 36623,20091017,   13,    0
  5618, 36623,20091018,  -20,    0
  5618, 36623,20091019,    3,    0
  5618, 36623,20091020,  -40,    0
  5618, 36623,20091021,  -17,    0
  5618, 36623,20091022,   18,    0
  5618, 36623,20091023,    2,    0
  5618, 36623,20091024,   -3,    0
  5618, 36623,20091025,   22,    0
  5618, 36623,20091026,   33,    0
  5618, 36623,20091027,   33,    0
  5618, 36623,20091028,   19,    0
  5618, 36623,20091029,  -36,    0
  5618, 36623,20091030,  -14,    0
  5618, 36623,20091031,  -26,    0
  5618, 36623,20091101,  -27,    0
  5618, 36623,20091102,   18,    0
  5618, 36623,20091103,   21,    0
  5618, 36623,20091104,    3,    0
  5618, 36623,20091105,  -18,    0
  5618, 36623,20091106,    9,    0
  5618, 36623,20091107,   18,    0
  5618, 36623,20091108,   19,    0
  5618, 36623,20091109,  -25,    0
  5618, 36623,20091110,  -70,    0
  5618, 36623,20091111,  -43,    0
  5618, 36623,20091112,  -49,    0
  5618, 36623,20091113,  -63,    0
  5618, 36623,20091114,  -13,    0
  5618, 36623,20091115,   33,    0
  5618, 36623,20091116,   22,    0
  5618, 36623,20091117,   26,    0
  5618, 36623,20091118,   32,    0
  5618, 36623,20091119,    7,    0
  5618, 36623,20091120,   64,    0
  5618, 36623,20091121,   26,    0
  5618, 36623,20091122,   -9,    0
  5618, 36623,20091123,   18,    0
  5618, 36623,20091124,   33,    0
  5618, 36623,20091125,   27,    0
  5618, 36623,20091126,   46,    0
  5618, 36623,20091127,   19,    0
  5618, 36623,20091128,  -33,    0
  5618, 36623,20091129,  -25,    0
  5618, 36623,20091130,  -10,    0
  5618, 36623,20091201, -123,    0
  5618, 36623,20091202, -197,    0
  5618, 36623,20091203, -188,    0
  5618, 36623,20091204,  -49,    0
  5618, 36623,20091205,   -6,    0
  5618, 36623,20091206,    6,    0
  5618, 36623,20091207,    5,    0
  5618, 36623,20091208,    8,    0
  5618, 36623,20091209,    5,    0
  5618, 36623,20091210,    0,    0
  5618, 36623,20091211,   -7,    0
  5618, 36623,20091212,  -10,    0
  5618, 36623,20091213,  -37,    0
  5618, 36623,20091214,  -54,    0
  5618, 36623,20091215,  -59,    0
  5618, 36623,20091216,  -76,    0
  5618, 36623,20091217, -176,    0
  5618, 36623,20091218, -292,    0
  5618, 36623,20091219, -220,    0
  5618, 36623,20091220, -108,    0
  5618, 36623,20091221, -180,    0
  5618, 36623,20091222, -273,    0
  5618, 36623,20091223, -219,    0
  5618, 36623,20091224, -147,    0
  5618, 36623,20091225,  -40,    0
  5618, 36623,20091226,  -99,    0
  5618, 36623,20091227, -184,    0
  5618, 36623,20091228, -212,    0
  5618, 36623,20091229, -299,    0
  5618, 36623,20091230, -265,    0
  5618, 36623,20091231, -109,    0
  5618, 36623,20100101, -123,    0
  5618, 36623,20100102, -182,    0
  5618, 36623,20100103, -123,    0
  5618, 36623,20100104, -107,    0
  5618, 36623,20100105, -207,    0
  5618, 36623,20100106, -275,    0
  5618, 36623,20100107, -301,    0
  5618, 36623,20100108, -292,    0
  5618, 36623,20100109, -288,    0
  5618, 36623,20100110, -276,    0
  5618, 36623,20100111, -192,    0
  5618, 36623,20100112, -185,    0
  5618, 36623,20100113, -242,    0
  5618, 36623,20100114, -254,    0
  5618, 36623,20100115, -247,    0
  5618, 36623,20100116,  -70,    0
  5618, 36623,20100117,  -47,    0
  5618, 36623,20100118,  -61,    0
  5618, 36623,20100119, -124,    0
  5618, 36623,20100120, -146,    0
  5618, 36623,20100121,  -62,    0
  5618, 36623,20100122,  -74,    0
  5618, 36623,20100123,  -78,    0
  5618, 36623,20100124,  -86,    0
  5618, 36623,20100125, -156,    0
