EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LUNGO, SWEDEN (STAID: 5641)
Blended and updated with sources:36695 36698 36701 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5641, 36698,19481231,   18,    1
  5641, 36698,19490101,   15,    1
  5641, 36698,19490102,   28,    1
  5641, 36698,19490103,   16,    1
  5641, 36698,19490104,  -15,    1
  5641, 36698,19490105,  -53,    1
  5641, 36698,19490106,    7,    1
  5641, 36698,19490107,    2,    1
  5641, 36698,19490108,  -14,    1
  5641, 36698,19490109,  -39,    1
  5641, 36698,19490110,   -6,    1
  5641, 36698,19490111,   29,    1
  5641, 36698,19490112,  -37,    1
  5641, 36698,19490113,  -61,    1
  5641, 36698,19490114,   18,    1
  5641, 36698,19490115,    0,    0
  5641, 36698,19490116,  -99,    1
  5641, 36698,19490117,  -81,    1
  5641, 36698,19490118,   -5,    1
  5641, 36698,19490119,  -11,    1
  5641, 36698,19490120,  -33,    1
  5641, 36698,19490121,  -87,    1
  5641, 36698,19490122, -141,    1
  5641, 36698,19490123, -113,    1
  5641, 36698,19490124,    7,    1
  5641, 36698,19490125,   13,    1
  5641, 36698,19490126,   14,    1
  5641, 36698,19490127,   19,    1
  5641, 36698,19490128,   65,    1
  5641, 36698,19490129,   23,    1
  5641, 36698,19490130,    7,    1
  5641, 36698,19490131,  -40,    1
  5641, 36698,19490201,  -63,    1
  5641, 36698,19490202,  -23,    1
  5641, 36698,19490203,   40,    1
  5641, 36698,19490204,   25,    1
  5641, 36698,19490205,   12,    1
  5641, 36698,19490206,    6,    1
  5641, 36698,19490207,  -16,    1
  5641, 36698,19490208,  -30,    1
  5641, 36698,19490209,    2,    1
  5641, 36698,19490210,  -15,    1
  5641, 36698,19490211,  -74,    1
  5641, 36698,19490212, -102,    1
  5641, 36698,19490213,  -16,    1
  5641, 36698,19490214,   41,    1
  5641, 36698,19490215,   29,    1
  5641, 36698,19490216,   40,    1
  5641, 36698,19490217,   52,    1
  5641, 36698,19490218,   39,    1
  5641, 36698,19490219,   14,    1
  5641, 36698,19490220,   10,    1
  5641, 36698,19490221,   53,    1
  5641, 36698,19490222,   35,    1
  5641, 36698,19490223,    5,    1
  5641, 36698,19490224,   -9,    1
  5641, 36698,19490225,   -7,    1
  5641, 36698,19490226,  -19,    1
  5641, 36698,19490227,  -38,    1
  5641, 36698,19490228, -106,    1
  5641, 36698,19490301, -140,    1
  5641, 36698,19490302, -123,    1
  5641, 36698,19490303, -139,    1
  5641, 36698,19490304, -158,    1
  5641, 36698,19490305, -108,    1
  5641, 36698,19490306,  -42,    1
  5641, 36698,19490307,  -15,    1
  5641, 36698,19490308,  -16,    1
  5641, 36698,19490309,  -14,    1
  5641, 36698,19490310,  -77,    1
  5641, 36698,19490311,  -34,    1
  5641, 36698,19490312,   -9,    1
  5641, 36698,19490313,    7,    1
  5641, 36698,19490314,   10,    1
