EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROSTA, SWEDEN (STAID: 5669)
Blended and updated with sources:8913 36794 36797 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5669,  8913,19180101,  -50,    0
  5669,  8913,19180102, -101,    0
  5669,  8913,19180103, -154,    0
  5669,  8913,19180104, -125,    0
  5669,  8913,19180105,  -92,    0
  5669,  8913,19180106, -173,    0
  5669,  8913,19180107, -162,    0
  5669,  8913,19180108, -240,    0
  5669,  8913,19180109, -329,    0
  5669,  8913,19180110, -205,    0
  5669,  8913,19180111, -155,    0
  5669,  8913,19180112, -179,    0
  5669,  8913,19180113, -151,    0
  5669,  8913,19180114, -136,    0
  5669,  8913,19180115, -151,    0
  5669,  8913,19180116, -153,    0
  5669,  8913,19180117, -195,    0
  5669,  8913,19180118, -153,    0
  5669,  8913,19180119, -105,    0
  5669,  8913,19180120,  -88,    0
  5669,  8913,19180121,  -44,    0
  5669,  8913,19180122,  -66,    0
  5669,  8913,19180123, -138,    0
  5669,  8913,19180124, -177,    0
  5669,  8913,19180125,  -23,    0
  5669,  8913,19180126,   39,    0
  5669,  8913,19180127,   38,    0
  5669,  8913,19180128,   29,    0
  5669,  8913,19180129,   25,    0
  5669,  8913,19180130,   10,    0
  5669,  8913,19180131,   51,    0
  5669,  8913,19180201,   31,    0
  5669,  8913,19180202,  -20,    0
  5669,  8913,19180203,  -44,    0
  5669,  8913,19180204,  -12,    0
  5669,  8913,19180205,  -24,    0
  5669,  8913,19180206,  -42,    0
  5669,  8913,19180207,  -81,    0
  5669,  8913,19180208,  -90,    0
  5669,  8913,19180209,  -77,    0
  5669,  8913,19180210,  -54,    0
  5669,  8913,19180211,  -58,    0
  5669,  8913,19180212,  -59,    0
  5669,  8913,19180213,  -62,    0
  5669,  8913,19180214, -125,    0
  5669,  8913,19180215,  -86,    0
  5669,  8913,19180216,  -79,    0
  5669,  8913,19180217, -113,    0
  5669,  8913,19180218,  -49,    0
  5669,  8913,19180219,  -63,    0
  5669,  8913,19180220,  -99,    0
  5669,  8913,19180221,  -91,    0
  5669,  8913,19180222, -107,    0
  5669,  8913,19180223,  -46,    0
  5669,  8913,19180224,  -12,    0
  5669,  8913,19180225,  -47,    0
  5669,  8913,19180226,   -3,    0
  5669,  8913,19180227,  -21,    0
  5669,  8913,19180228,  -73,    0
  5669,  8913,19180301,  -79,    0
  5669,  8913,19180302,  -62,    0
  5669,  8913,19180303,    9,    0
  5669,  8913,19180304,    2,    0
  5669,  8913,19180305,   35,    0
  5669,  8913,19180306,   -2,    0
  5669,  8913,19180307,  -49,    0
  5669,  8913,19180308,  -57,    0
  5669,  8913,19180309,  -66,    0
  5669,  8913,19180310,  -54,    0
  5669,  8913,19180311,  -22,    0
  5669,  8913,19180312,  -34,    0
  5669,  8913,19180313,    3,    0
  5669,  8913,19180314,   54,    0
  5669,  8913,19180315,   42,    0
  5669,  8913,19180316,   32,    0
  5669,  8913,19180317,   31,    0
  5669,  8913,19180318,   -1,    0
  5669,  8913,19180319,    5,    0
  5669,  8913,19180320,   33,    0
  5669,  8913,19180321,   20,    0
  5669,  8913,19180322,   56,    0
  5669,  8913,19180323,   36,    0
  5669,  8913,19180324,  -27,    0
  5669,  8913,19180325, -131,    0
  5669,  8913,19180326, -139,    0
  5669,  8913,19180327,  -97,    0
  5669,  8913,19180328,  -23,    0
  5669,  8913,19180329,  -12,    0
  5669,  8913,19180330,   -8,    0
  5669,  8913,19180331,   35,    0
  5669,  8913,19180401,  -10,    0
  5669,  8913,19180402,    5,    0
  5669,  8913,19180403,    3,    0
  5669,  8913,19180404,   25,    0
  5669,  8913,19180405,   33,    0
  5669,  8913,19180406,   42,    0
  5669,  8913,19180407,   14,    0
  5669,  8913,19180408,   51,    0
  5669,  8913,19180409,   22,    0
  5669,  8913,19180410,   35,    0
  5669,  8913,19180411,   30,    0
  5669,  8913,19180412,   62,    0
  5669,  8913,19180413,   28,    0
  5669,  8913,19180414,  -18,    0
  5669,  8913,19180415,  -15,    0
  5669,  8913,19180416,    4,    0
  5669,  8913,19180417,    7,    0
  5669,  8913,19180418,  -27,    0
  5669,  8913,19180419,   -6,    0
  5669,  8913,19180420,   43,    0
  5669,  8913,19180421,   53,    0
  5669,  8913,19180422,   89,    0
  5669,  8913,19180423,   90,    0
  5669,  8913,19180424,   86,    0
  5669,  8913,19180425,   85,    0
  5669,  8913,19180426,   89,    0
  5669,  8913,19180427,   51,    0
  5669,  8913,19180428,   20,    0
  5669,  8913,19180429,   17,    0
  5669,  8913,19180430,   20,    0
  5669,  8913,19180501,   68,    0
  5669,  8913,19180502,   50,    0
  5669,  8913,19180503,   62,    0
  5669,  8913,19180504,   56,    0
  5669,  8913,19180505,   63,    0
  5669,  8913,19180506,   59,    0
  5669,  8913,19180507,   48,    0
  5669,  8913,19180508,   60,    0
  5669,  8913,19180509,   -4,    0
  5669,  8913,19180510,   -9,    0
  5669,  8913,19180511,   21,    0
  5669,  8913,19180512,   58,    0
  5669,  8913,19180513,   88,    0
  5669,  8913,19180514,   84,    0
  5669,  8913,19180515,  104,    0
  5669,  8913,19180516,   99,    0
  5669,  8913,19180517,  121,    0
  5669,  8913,19180518,  130,    0
  5669,  8913,19180519,   90,    0
  5669,  8913,19180520,   97,    0
  5669,  8913,19180521,  134,    0
  5669,  8913,19180522,   88,    0
  5669,  8913,19180523,   85,    0
  5669,  8913,19180524,   75,    0
  5669,  8913,19180525,   89,    0
  5669,  8913,19180526,  107,    0
  5669,  8913,19180527,  110,    0
  5669,  8913,19180528,   98,    0
  5669,  8913,19180529,  117,    0
  5669,  8913,19180530,   79,    0
  5669,  8913,19180531,   45,    0
  5669,  8913,19180601,   37,    0
  5669,  8913,19180602,   61,    0
  5669,  8913,19180603,   74,    0
  5669,  8913,19180604,  113,    0
  5669,  8913,19180605,  133,    0
  5669,  8913,19180606,  159,    0
  5669,  8913,19180607,  188,    0
  5669,  8913,19180608,  132,    0
  5669,  8913,19180609,   97,    0
  5669,  8913,19180610,   97,    0
  5669,  8913,19180611,   91,    0
  5669,  8913,19180612,  105,    0
  5669,  8913,19180613,   99,    0
  5669,  8913,19180614,   66,    0
  5669,  8913,19180615,   82,    0
  5669,  8913,19180616,   88,    0
  5669,  8913,19180617,   99,    0
  5669,  8913,19180618,  131,    0
  5669,  8913,19180619,   89,    0
  5669,  8913,19180620,  118,    0
  5669,  8913,19180621,  117,    0
  5669,  8913,19180622,  105,    0
  5669,  8913,19180623,  116,    0
  5669,  8913,19180624,   90,    0
  5669,  8913,19180625,  117,    0
  5669,  8913,19180626,  124,    0
  5669,  8913,19180627,  106,    0
  5669,  8913,19180628,  106,    0
  5669,  8913,19180629,  120,    0
  5669,  8913,19180630,  160,    0
  5669,  8913,19180701,  169,    0
  5669,  8913,19180702,  167,    0
  5669,  8913,19180703,  196,    0
  5669,  8913,19180704,  186,    0
  5669,  8913,19180705,  116,    0
  5669,  8913,19180706,  118,    0
  5669,  8913,19180707,   96,    0
  5669,  8913,19180708,  161,    0
  5669,  8913,19180709,  162,    0
  5669,  8913,19180710,  170,    0
  5669,  8913,19180711,  186,    0
  5669,  8913,19180712,  184,    0
  5669,  8913,19180713,  184,    0
  5669,  8913,19180714,  139,    0
  5669,  8913,19180715,  139,    0
  5669,  8913,19180716,  161,    0
  5669,  8913,19180717,  160,    0
  5669,  8913,19180718,  163,    0
  5669,  8913,19180719,  174,    0
  5669,  8913,19180720,  127,    0
  5669,  8913,19180721,  152,    0
  5669,  8913,19180722,  167,    0
  5669,  8913,19180723,  198,    0
  5669,  8913,19180724,  202,    0
  5669,  8913,19180725,  151,    0
  5669,  8913,19180726,  182,    0
  5669,  8913,19180727,  169,    0
  5669,  8913,19180728,  164,    0
  5669,  8913,19180729,  144,    0
  5669,  8913,19180730,  141,    0
  5669,  8913,19180731,  152,    0
  5669,  8913,19180801,  150,    0
  5669,  8913,19180802,  123,    0
  5669,  8913,19180803,  128,    0
  5669,  8913,19180804,  148,    0
