EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STORLIEN-STORVALLEN, SWEDEN (STAID: 5671)
Blended and updated with sources:36803 36809 71336 902207 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5671, 36809,19481201,-9999,    9
  5671, 36809,19481202,-9999,    9
  5671, 36809,19481203,-9999,    9
  5671, 36809,19481204,-9999,    9
  5671, 36809,19481205,-9999,    9
  5671, 36809,19481206,-9999,    9
  5671, 36809,19481207,-9999,    9
  5671, 36809,19481208,-9999,    9
  5671, 36809,19481209,-9999,    9
  5671, 36809,19481210,-9999,    9
  5671, 36809,19481211,-9999,    9
  5671, 36809,19481212,-9999,    9
  5671, 36809,19481213,-9999,    9
  5671, 36809,19481214,-9999,    9
  5671, 36809,19481215,-9999,    9
  5671, 36809,19481216,-9999,    9
  5671, 36809,19481217,-9999,    9
  5671, 36809,19481218,-9999,    9
  5671, 36809,19481219,-9999,    9
  5671, 36809,19481220,-9999,    9
  5671, 36809,19481221,-9999,    9
  5671, 36809,19481222,-9999,    9
  5671, 36809,19481223,-9999,    9
  5671, 36809,19481224,-9999,    9
  5671, 36809,19481225,-9999,    9
  5671, 36809,19481226,-9999,    9
  5671, 36809,19481227,-9999,    9
  5671, 36809,19481228,-9999,    9
  5671, 36809,19481229,-9999,    9
  5671, 36809,19481230,-9999,    9
  5671, 36809,19481231,  -21,    1
  5671, 36809,19490101,  -31,    1
  5671, 36809,19490102,   -1,    1
  5671, 36809,19490103,  -56,    1
  5671, 36809,19490104,  -79,    1
  5671, 36809,19490105,  -64,    1
  5671, 36809,19490106,  -18,    1
  5671, 36809,19490107,  -48,    1
  5671, 36809,19490108,  -53,    1
  5671, 36809,19490109,  -46,    1
  5671, 36809,19490110,  -14,    1
  5671, 36809,19490111,  -26,    1
  5671, 36809,19490112,  -66,    1
  5671, 36809,19490113,  -78,    1
  5671, 36809,19490114,  -30,    1
  5671, 36809,19490115,  -48,    1
  5671, 36809,19490116, -118,    1
  5671, 36809,19490117,  -81,    1
  5671, 36809,19490118,  -41,    1
  5671, 36809,19490119,  -25,    1
  5671, 36809,19490120,  -45,    1
  5671, 36809,19490121, -176,    1
  5671, 36809,19490122, -223,    1
  5671, 36809,19490123,  -43,    1
  5671, 36809,19490124,  -26,    1
  5671, 36809,19490125,  -17,    1
  5671, 36809,19490126,    0,    0
  5671, 36809,19490127,   17,    1
  5671, 36809,19490128,   24,    1
  5671, 36809,19490129,    8,    1
  5671, 36809,19490130,  -32,    1
  5671, 36809,19490131,  -53,    1
  5671, 36809,19490201,  -67,    1
  5671, 36809,19490202,    1,    1
  5671, 36809,19490203,    8,    1
  5671, 36809,19490204,  -33,    1
  5671, 36809,19490205,  -32,    1
  5671, 36809,19490206,  -19,    1
  5671, 36809,19490207,  -59,    1
  5671, 36809,19490208,  -39,    1
  5671, 36809,19490209,  -59,    1
  5671, 36809,19490210,  -68,    1
  5671, 36809,19490211,  -30,    1
  5671, 36809,19490212,  -48,    1
  5671, 36809,19490213,  -31,    1
  5671, 36809,19490214,   -1,    1
  5671, 36809,19490215,   -7,    1
  5671, 36809,19490216,   22,    1
  5671, 36809,19490217,    2,    1
  5671, 36809,19490218,  -19,    1
  5671, 36809,19490219,   -3,    1
  5671, 36809,19490220,   -5,    1
  5671, 36809,19490221,    1,    1
  5671, 36809,19490222,  -23,    1
  5671, 36809,19490223,  -29,    1
  5671, 36809,19490224,  -44,    1
  5671, 36809,19490225,  -52,    1
  5671, 36809,19490226,  -58,    1
  5671, 36809,19490227,  -82,    1
  5671, 36809,19490228,  -74,    1
