EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MO 1, SWEDEN (STAID: 5673)
Blended and updated with sources:36812 36824 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5673, 36812,19610101,  -44,    0
  5673, 36812,19610102, -132,    0
  5673, 36812,19610103, -128,    0
  5673, 36812,19610104,  -47,    0
  5673, 36812,19610105, -114,    0
  5673, 36812,19610106, -114,    0
  5673, 36812,19610107,  -95,    0
  5673, 36812,19610108, -110,    0
  5673, 36812,19610109, -197,    0
  5673, 36812,19610110, -257,    0
  5673, 36812,19610111,  -89,    0
  5673, 36812,19610112, -120,    0
  5673, 36812,19610113,  -39,    0
  5673, 36812,19610114,    4,    0
  5673, 36812,19610115,   30,    0
  5673, 36812,19610116,   15,    0
  5673, 36812,19610117,  -43,    0
  5673, 36812,19610118, -139,    0
  5673, 36812,19610119, -189,    0
  5673, 36812,19610120, -229,    0
  5673, 36812,19610121, -136,    0
  5673, 36812,19610122, -143,    0
  5673, 36812,19610123,  -92,    0
  5673, 36812,19610124, -147,    0
  5673, 36812,19610125, -161,    0
  5673, 36812,19610126,  -66,    0
  5673, 36812,19610127,  -73,    0
  5673, 36812,19610128,   -7,    0
  5673, 36812,19610129,  -56,    0
  5673, 36812,19610130,  -86,    0
  5673, 36812,19610131,  -90,    0
  5673, 36812,19610201,  -84,    0
  5673, 36812,19610202,  -91,    0
  5673, 36812,19610203, -132,    0
  5673, 36812,19610204, -120,    0
  5673, 36812,19610205, -163,    0
  5673, 36812,19610206, -115,    0
  5673, 36812,19610207,  -44,    0
  5673, 36812,19610208,  -61,    0
  5673, 36812,19610209, -151,    0
  5673, 36812,19610210,  -87,    0
  5673, 36812,19610211,  -26,    0
  5673, 36812,19610212,  -13,    0
  5673, 36812,19610213,  -47,    0
  5673, 36812,19610214,   26,    0
  5673, 36812,19610215,   -4,    0
  5673, 36812,19610216,   30,    0
  5673, 36812,19610217,   33,    0
  5673, 36812,19610218,   38,    0
  5673, 36812,19610219,   27,    0
  5673, 36812,19610220,   36,    0
  5673, 36812,19610221,   13,    0
  5673, 36812,19610222,  -19,    0
  5673, 36812,19610223,  -33,    0
  5673, 36812,19610224,  -66,    0
  5673, 36812,19610225,  -14,    0
  5673, 36812,19610226,   20,    0
  5673, 36812,19610227,   38,    0
  5673, 36812,19610228,   13,    0
  5673, 36812,19610301,   24,    0
  5673, 36812,19610302,  -18,    0
  5673, 36812,19610303,   27,    0
  5673, 36812,19610304,   22,    0
  5673, 36812,19610305,   31,    0
  5673, 36812,19610306,   60,    0
  5673, 36812,19610307,    6,    0
  5673, 36812,19610308,   26,    0
  5673, 36812,19610309,   57,    0
  5673, 36812,19610310,   49,    0
  5673, 36812,19610311,    2,    0
  5673, 36812,19610312,   -7,    0
  5673, 36812,19610313,  -21,    0
  5673, 36812,19610314,  -28,    0
  5673, 36812,19610315,  -22,    0
  5673, 36812,19610316,   -2,    0
  5673, 36812,19610317,   46,    0
  5673, 36812,19610318,  -42,    0
  5673, 36812,19610319,  -69,    0
  5673, 36812,19610320,  -62,    0
  5673, 36812,19610321,  -62,    0
  5673, 36812,19610322,   -2,    0
  5673, 36812,19610323,   -4,    0
  5673, 36812,19610324,  -23,    0
  5673, 36812,19610325,  -10,    0
  5673, 36812,19610326,    6,    0
  5673, 36812,19610327,  -15,    0
  5673, 36812,19610328,  -17,    0
  5673, 36812,19610329,  -27,    0
  5673, 36812,19610330,  -76,    0
  5673, 36812,19610331,  -30,    0
  5673, 36812,19610401,  -23,    0
  5673, 36812,19610402,  -24,    0
  5673, 36812,19610403,  -74,    0
  5673, 36812,19610404,  -67,    0
  5673, 36812,19610405,  -42,    0
  5673, 36812,19610406,  -45,    0
  5673, 36812,19610407,  -66,    0
  5673, 36812,19610408,  -43,    0
  5673, 36812,19610409,  -32,    0
  5673, 36812,19610410,  -10,    0
  5673, 36812,19610411,  -15,    0
  5673, 36812,19610412,  -50,    0
  5673, 36812,19610413,    4,    0
  5673, 36812,19610414,   34,    0
  5673, 36812,19610415,   11,    0
  5673, 36812,19610416,   31,    0
  5673, 36812,19610417,   39,    0
  5673, 36812,19610418,   14,    0
  5673, 36812,19610419,    4,    0
  5673, 36812,19610420,    5,    0
  5673, 36812,19610421,   12,    0
  5673, 36812,19610422,   41,    0
  5673, 36812,19610423,   34,    0
  5673, 36812,19610424,   62,    0
  5673, 36812,19610425,   85,    0
  5673, 36812,19610426,   71,    0
  5673, 36812,19610427,   46,    0
  5673, 36812,19610428,   61,    0
  5673, 36812,19610429,   30,    0
  5673, 36812,19610430,   38,    0
