EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UMEA_FLYGPLATS, SWEDEN (STAID: 5698)
Blended and updated with sources:36893 36899 36902 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5698, 36902,19610101,  -31,    0
  5698, 36902,19610102,  -54,    0
  5698, 36902,19610103,  -24,    0
  5698, 36902,19610104,  -12,    0
  5698, 36902,19610105,  -30,    0
  5698, 36902,19610106, -132,    0
  5698, 36902,19610107,  -61,    0
  5698, 36902,19610108, -110,    0
  5698, 36902,19610109, -106,    0
  5698, 36902,19610110,  -90,    0
  5698, 36902,19610111, -146,    0
  5698, 36902,19610112, -168,    0
  5698, 36902,19610113, -124,    0
  5698, 36902,19610114,  -94,    0
  5698, 36902,19610115,   -4,    0
  5698, 36902,19610116, -111,    0
  5698, 36902,19610117,  -16,    0
  5698, 36902,19610118, -118,    0
  5698, 36902,19610119, -102,    0
  5698, 36902,19610120, -155,    0
  5698, 36902,19610121,  -87,    0
  5698, 36902,19610122, -127,    0
  5698, 36902,19610123,  -75,    0
  5698, 36902,19610124, -122,    0
  5698, 36902,19610125, -109,    0
  5698, 36902,19610126,  -29,    0
  5698, 36902,19610127,  -79,    0
  5698, 36902,19610128,  -31,    0
  5698, 36902,19610129,  -37,    0
  5698, 36902,19610130,  -47,    0
  5698, 36902,19610131,  -87,    0
  5698, 36902,19610201,  -88,    0
  5698, 36902,19610202,  -70,    0
  5698, 36902,19610203,  -81,    0
  5698, 36902,19610204,  -94,    0
  5698, 36902,19610205, -117,    0
  5698, 36902,19610206, -140,    0
  5698, 36902,19610207,    3,    0
  5698, 36902,19610208,  -70,    0
  5698, 36902,19610209,  -48,    0
  5698, 36902,19610210,  -61,    0
  5698, 36902,19610211,  -30,    0
  5698, 36902,19610212,  -48,    0
  5698, 36902,19610213,  -55,    0
  5698, 36902,19610214,   14,    0
  5698, 36902,19610215,  -19,    0
  5698, 36902,19610216,   18,    0
  5698, 36902,19610217,   48,    0
  5698, 36902,19610218,   59,    0
  5698, 36902,19610219,   -4,    0
  5698, 36902,19610220,   38,    0
