EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOVANGER, SWEDEN (STAID: 5721)
Blended and updated with sources:36965 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5721, 36965,19610101,  -38,    0
  5721, 36965,19610102,  -72,    0
  5721, 36965,19610103,  -33,    0
  5721, 36965,19610104,  -10,    0
  5721, 36965,19610105,  -22,    0
  5721, 36965,19610106, -132,    0
  5721, 36965,19610107,  -73,    0
  5721, 36965,19610108, -145,    0
  5721, 36965,19610109, -115,    0
  5721, 36965,19610110, -109,    0
  5721, 36965,19610111, -145,    0
  5721, 36965,19610112, -201,    0
  5721, 36965,19610113, -155,    0
  5721, 36965,19610114,  -85,    0
  5721, 36965,19610115,  -32,    0
  5721, 36965,19610116, -133,    0
  5721, 36965,19610117,  -99,    0
  5721, 36965,19610118, -126,    0
  5721, 36965,19610119,  -55,    0
  5721, 36965,19610120, -138,    0
  5721, 36965,19610121, -116,    0
  5721, 36965,19610122, -137,    0
  5721, 36965,19610123,  -80,    0
  5721, 36965,19610124, -131,    0
  5721, 36965,19610125,  -98,    0
  5721, 36965,19610126,  -28,    0
  5721, 36965,19610127,  -40,    0
  5721, 36965,19610128,  -15,    0
  5721, 36965,19610129,  -19,    0
  5721, 36965,19610130,  -58,    0
  5721, 36965,19610131,  -86,    0
  5721, 36965,19610201, -109,    0
  5721, 36965,19610202,  -81,    0
  5721, 36965,19610203,  -94,    0
  5721, 36965,19610204,  -77,    0
  5721, 36965,19610205, -111,    0
  5721, 36965,19610206, -159,    0
  5721, 36965,19610207,  -10,    0
  5721, 36965,19610208,  -64,    0
  5721, 36965,19610209,  -56,    0
  5721, 36965,19610210,  -93,    0
  5721, 36965,19610211,  -62,    0
  5721, 36965,19610212,  -30,    0
  5721, 36965,19610213,  -56,    0
  5721, 36965,19610214,   15,    0
  5721, 36965,19610215,  -13,    0
  5721, 36965,19610216,   13,    0
  5721, 36965,19610217,   35,    0
  5721, 36965,19610218,   36,    0
  5721, 36965,19610219,  -10,    0
  5721, 36965,19610220,   34,    0
  5721, 36965,19610221,   49,    0
  5721, 36965,19610222,   45,    0
  5721, 36965,19610223,   33,    0
  5721, 36965,19610224,  -11,    0
  5721, 36965,19610225,  -13,    0
  5721, 36965,19610226,    6,    0
  5721, 36965,19610227,    6,    0
  5721, 36965,19610228,   25,    0
  5721, 36965,19610301,   11,    0
  5721, 36965,19610302,  -16,    0
  5721, 36965,19610303,   11,    0
  5721, 36965,19610304,   27,    0
  5721, 36965,19610305,   31,    0
  5721, 36965,19610306,   61,    0
  5721, 36965,19610307,   -3,    0
  5721, 36965,19610308,  -26,    0
  5721, 36965,19610309,   34,    0
  5721, 36965,19610310,   54,    0
  5721, 36965,19610311,   33,    0
  5721, 36965,19610312,   17,    0
  5721, 36965,19610313,  -10,    0
  5721, 36965,19610314,  -40,    0
  5721, 36965,19610315,   -5,    0
  5721, 36965,19610316,  -37,    0
  5721, 36965,19610317,  -29,    0
  5721, 36965,19610318,  -60,    0
  5721, 36965,19610319,  -47,    0
  5721, 36965,19610320,  -81,    0
  5721, 36965,19610321,  -64,    0
  5721, 36965,19610322,  -62,    0
  5721, 36965,19610323,   14,    0
  5721, 36965,19610324,   -5,    0
  5721, 36965,19610325,   -5,    0
  5721, 36965,19610326,   12,    0
  5721, 36965,19610327,  -12,    0
  5721, 36965,19610328,  -10,    0
  5721, 36965,19610329,  -12,    0
  5721, 36965,19610330,   -3,    0
  5721, 36965,19610331,  -29,    0
  5721, 36965,19610401,  -30,    0
  5721, 36965,19610402,  -56,    0
  5721, 36965,19610403,  -24,    0
  5721, 36965,19610404,  -14,    0
  5721, 36965,19610405,   -2,    0
  5721, 36965,19610406,   -6,    0
  5721, 36965,19610407,  -24,    0
  5721, 36965,19610408,   -2,    0
  5721, 36965,19610409,   -1,    0
  5721, 36965,19610410,  -16,    0
  5721, 36965,19610411,  -41,    0
  5721, 36965,19610412,  -19,    0
  5721, 36965,19610413,   14,    0
  5721, 36965,19610414,    3,    0
  5721, 36965,19610415,    4,    0
  5721, 36965,19610416,   46,    0
  5721, 36965,19610417,   49,    0
  5721, 36965,19610418,   48,    0
  5721, 36965,19610419,   21,    0
  5721, 36965,19610420,   -5,    0
  5721, 36965,19610421,   22,    0
  5721, 36965,19610422,    6,    0
  5721, 36965,19610423,   17,    0
  5721, 36965,19610424,   14,    0
  5721, 36965,19610425,   32,    0
  5721, 36965,19610426,   89,    0
  5721, 36965,19610427,   25,    0
  5721, 36965,19610428,    8,    0
  5721, 36965,19610429,   23,    0
  5721, 36965,19610430,   12,    0
  5721, 36965,19610501,   16,    0
  5721, 36965,19610502,   55,    0
  5721, 36965,19610503,   58,    0
  5721, 36965,19610504,   54,    0
  5721, 36965,19610505,   27,    0
  5721, 36965,19610506,   27,    0
  5721, 36965,19610507,   24,    0
  5721, 36965,19610508,   33,    0
  5721, 36965,19610509,   34,    0
  5721, 36965,19610510,   40,    0
  5721, 36965,19610511,   32,    0
  5721, 36965,19610512,   43,    0
  5721, 36965,19610513,   44,    0
  5721, 36965,19610514,   62,    0
  5721, 36965,19610515,   73,    0
  5721, 36965,19610516,   90,    0
  5721, 36965,19610517,   85,    0
  5721, 36965,19610518,  100,    0
  5721, 36965,19610519,   86,    0
  5721, 36965,19610520,   82,    0
  5721, 36965,19610521,   74,    0
  5721, 36965,19610522,   58,    0
  5721, 36965,19610523,   77,    0
  5721, 36965,19610524,   82,    0
  5721, 36965,19610525,   81,    0
  5721, 36965,19610526,   87,    0
  5721, 36965,19610527,   55,    0
  5721, 36965,19610528,   72,    0
  5721, 36965,19610529,   93,    0
  5721, 36965,19610530,   88,    0
  5721, 36965,19610531,  105,    0
  5721, 36965,19610601,  125,    0
  5721, 36965,19610602,  154,    0
  5721, 36965,19610603,  154,    0
  5721, 36965,19610604,  151,    0
  5721, 36965,19610605,  151,    0
  5721, 36965,19610606,  156,    0
  5721, 36965,19610607,  155,    0
  5721, 36965,19610608,  170,    0
  5721, 36965,19610609,  139,    0
  5721, 36965,19610610,  130,    0
  5721, 36965,19610611,  139,    0
  5721, 36965,19610612,  146,    0
  5721, 36965,19610613,  150,    0
  5721, 36965,19610614,  152,    0
  5721, 36965,19610615,  135,    0
  5721, 36965,19610616,  115,    0
  5721, 36965,19610617,  126,    0
  5721, 36965,19610618,  129,    0
  5721, 36965,19610619,  122,    0
  5721, 36965,19610620,  118,    0
  5721, 36965,19610621,  117,    0
  5721, 36965,19610622,  122,    0
  5721, 36965,19610623,  112,    0
  5721, 36965,19610624,  124,    0
  5721, 36965,19610625,  143,    0
  5721, 36965,19610626,  143,    0
  5721, 36965,19610627,  135,    0
  5721, 36965,19610628,  108,    0
