EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LYCKSELE_A, SWEDEN (STAID: 5729)
Blended and updated with sources:36998 37010 902261 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5729, 37010,19620201,  -18,    0
  5729, 37010,19620202, -131,    0
  5729, 37010,19620203, -174,    0
  5729, 37010,19620204,  -57,    0
  5729, 37010,19620205, -184,    0
  5729, 37010,19620206, -151,    0
  5729, 37010,19620207,  -48,    0
  5729, 37010,19620208,  -36,    0
  5729, 37010,19620209,  -56,    0
  5729, 37010,19620210,   14,    0
  5729, 37010,19620211,  -73,    0
  5729, 37010,19620212, -162,    0
  5729, 37010,19620213,  -86,    0
  5729, 37010,19620214, -101,    0
  5729, 37010,19620215, -208,    0
  5729, 37010,19620216,  -80,    0
  5729, 37010,19620217, -119,    0
  5729, 37010,19620218, -152,    0
  5729, 37010,19620219, -154,    0
  5729, 37010,19620220,  -96,    0
  5729, 37010,19620221, -183,    0
  5729, 37010,19620222, -105,    0
  5729, 37010,19620223,  -61,    0
  5729, 37010,19620224, -153,    0
  5729, 37010,19620225, -163,    0
  5729, 37010,19620226, -140,    0
  5729, 37010,19620227, -145,    0
  5729, 37010,19620228,  -75,    0
  5729, 37010,19620301, -146,    0
  5729, 37010,19620302, -168,    0
  5729, 37010,19620303, -244,    0
  5729, 37010,19620304, -188,    0
  5729, 37010,19620305, -123,    0
  5729, 37010,19620306, -212,    0
  5729, 37010,19620307, -184,    0
  5729, 37010,19620308, -113,    0
  5729, 37010,19620309, -115,    0
  5729, 37010,19620310,  -99,    0
  5729, 37010,19620311, -152,    0
  5729, 37010,19620312, -154,    0
  5729, 37010,19620313, -176,    0
  5729, 37010,19620314, -192,    0
  5729, 37010,19620315, -200,    0
  5729, 37010,19620316, -116,    0
  5729, 37010,19620317,  -77,    0
  5729, 37010,19620318, -147,    0
  5729, 37010,19620319, -106,    0
  5729, 37010,19620320, -107,    0
  5729, 37010,19620321,  -96,    0
  5729, 37010,19620322,  -78,    0
  5729, 37010,19620323, -125,    0
  5729, 37010,19620324,  -36,    0
  5729, 37010,19620325, -116,    0
  5729, 37010,19620326, -120,    0
  5729, 37010,19620327, -146,    0
  5729, 37010,19620328, -124,    0
  5729, 37010,19620329,  -50,    0
  5729, 37010,19620330,  -66,    0
  5729, 37010,19620331,  -56,    0
  5729, 37010,19620401,  -19,    0
  5729, 37010,19620402,  -20,    0
  5729, 37010,19620403,  -16,    0
  5729, 37010,19620404,   -6,    0
  5729, 37010,19620405,  -32,    0
  5729, 37010,19620406,  -50,    0
  5729, 37010,19620407,   -2,    0
  5729, 37010,19620408,   -6,    0
  5729, 37010,19620409,  -17,    0
  5729, 37010,19620410,   -4,    0
  5729, 37010,19620411,   -7,    0
  5729, 37010,19620412,    1,    0
  5729, 37010,19620413,   12,    0
  5729, 37010,19620414,  -15,    0
  5729, 37010,19620415,   33,    0
  5729, 37010,19620416,   51,    0
  5729, 37010,19620417,   39,    0
  5729, 37010,19620418,   46,    0
  5729, 37010,19620419,   22,    0
  5729, 37010,19620420,   31,    0
  5729, 37010,19620421,   28,    0
  5729, 37010,19620422,   36,    0
  5729, 37010,19620423,   48,    0
  5729, 37010,19620424,   50,    0
  5729, 37010,19620425,   42,    0
  5729, 37010,19620426,   50,    0
  5729, 37010,19620427,   38,    0
  5729, 37010,19620428,   31,    0
  5729, 37010,19620429,  -11,    0
  5729, 37010,19620430,   -4,    0
  5729, 37010,19620501,   15,    0
  5729, 37010,19620502,   24,    0
  5729, 37010,19620503,    2,    0
  5729, 37010,19620504,    9,    0
  5729, 37010,19620505,   32,    0
  5729, 37010,19620506,   35,    0
  5729, 37010,19620507,   46,    0
  5729, 37010,19620508,   36,    0
  5729, 37010,19620509,   50,    0
  5729, 37010,19620510,   35,    0
  5729, 37010,19620511,   55,    0
  5729, 37010,19620512,   56,    0
  5729, 37010,19620513,   20,    0
  5729, 37010,19620514,   53,    0
  5729, 37010,19620515,   65,    0
  5729, 37010,19620516,   71,    0
  5729, 37010,19620517,   71,    0
  5729, 37010,19620518,   82,    0
  5729, 37010,19620519,   66,    0
  5729, 37010,19620520,   58,    0
  5729, 37010,19620521,   69,    0
  5729, 37010,19620522,   95,    0
  5729, 37010,19620523,   72,    0
  5729, 37010,19620524,   56,    0
  5729, 37010,19620525,   79,    0
  5729, 37010,19620526,   60,    0
  5729, 37010,19620527,   95,    0
  5729, 37010,19620528,   96,    0
  5729, 37010,19620529,   81,    0
  5729, 37010,19620530,   56,    0
  5729, 37010,19620531,   53,    0
  5729, 37010,19620601,   28,    0
  5729, 37010,19620602,   43,    0
  5729, 37010,19620603,   51,    0
  5729, 37010,19620604,   49,    0
  5729, 37010,19620605,   61,    0
  5729, 37010,19620606,  116,    0
  5729, 37010,19620607,  133,    0
  5729, 37010,19620608,   96,    0
  5729, 37010,19620609,   95,    0
  5729, 37010,19620610,   86,    0
  5729, 37010,19620611,   67,    0
  5729, 37010,19620612,   62,    0
  5729, 37010,19620613,   82,    0
