EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAXBACKEN, SWEDEN (STAID: 5734)
Blended and updated with sources:37016 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5734, 37016,19610101,  -61,    0
  5734, 37016,19610102,  -73,    0
  5734, 37016,19610103,  -42,    0
  5734, 37016,19610104,  -30,    0
  5734, 37016,19610105,  -45,    0
  5734, 37016,19610106,  -67,    0
  5734, 37016,19610107, -164,    0
  5734, 37016,19610108, -211,    0
  5734, 37016,19610109, -180,    0
  5734, 37016,19610110, -285,    0
  5734, 37016,19610111, -284,    0
  5734, 37016,19610112, -223,    0
  5734, 37016,19610113, -172,    0
  5734, 37016,19610114,  -52,    0
  5734, 37016,19610115,  -14,    0
  5734, 37016,19610116,  -38,    0
  5734, 37016,19610117,  -44,    0
  5734, 37016,19610118, -151,    0
  5734, 37016,19610119, -215,    0
  5734, 37016,19610120, -264,    0
  5734, 37016,19610121, -290,    0
  5734, 37016,19610122, -227,    0
  5734, 37016,19610123, -146,    0
  5734, 37016,19610124, -168,    0
  5734, 37016,19610125, -261,    0
  5734, 37016,19610126,  -50,    0
  5734, 37016,19610127, -109,    0
  5734, 37016,19610128,  -73,    0
  5734, 37016,19610129,  -67,    0
  5734, 37016,19610130,  -82,    0
  5734, 37016,19610131, -109,    0
  5734, 37016,19610201,  -91,    0
  5734, 37016,19610202, -129,    0
  5734, 37016,19610203, -142,    0
  5734, 37016,19610204, -148,    0
  5734, 37016,19610205, -197,    0
  5734, 37016,19610206, -169,    0
  5734, 37016,19610207, -135,    0
  5734, 37016,19610208, -117,    0
  5734, 37016,19610209, -195,    0
  5734, 37016,19610210,  -95,    0
  5734, 37016,19610211,  -56,    0
  5734, 37016,19610212,  -58,    0
  5734, 37016,19610213,  -84,    0
  5734, 37016,19610214,    1,    0
  5734, 37016,19610215,  -31,    0
  5734, 37016,19610216,    9,    0
  5734, 37016,19610217,   38,    0
  5734, 37016,19610218,   36,    0
  5734, 37016,19610219,    5,    0
  5734, 37016,19610220,   27,    0
  5734, 37016,19610221,    9,    0
  5734, 37016,19610222,   12,    0
  5734, 37016,19610223,   15,    0
  5734, 37016,19610224,  -17,    0
