EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORSJO_A, SWEDEN (STAID: 5745)
Blended and updated with sources:37043 37049 37052 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5745, 37052,19650101,  -22,    0
  5745, 37052,19650102,  -61,    0
  5745, 37052,19650103,  -89,    0
  5745, 37052,19650104, -109,    0
  5745, 37052,19650105, -127,    0
  5745, 37052,19650106, -140,    0
  5745, 37052,19650107, -105,    0
  5745, 37052,19650108, -169,    0
  5745, 37052,19650109, -212,    0
  5745, 37052,19650110, -215,    0
  5745, 37052,19650111, -106,    0
  5745, 37052,19650112,  -57,    0
  5745, 37052,19650113,  -22,    0
  5745, 37052,19650114,  -26,    0
  5745, 37052,19650115,  -11,    0
  5745, 37052,19650116,  -43,    0
  5745, 37052,19650117,  -30,    0
  5745, 37052,19650118,  -50,    0
  5745, 37052,19650119, -109,    0
  5745, 37052,19650120, -170,    0
  5745, 37052,19650121, -149,    0
  5745, 37052,19650122, -106,    0
  5745, 37052,19650123, -101,    0
  5745, 37052,19650124, -103,    0
  5745, 37052,19650125, -113,    0
  5745, 37052,19650126, -118,    0
  5745, 37052,19650127, -152,    0
  5745, 37052,19650128, -153,    0
  5745, 37052,19650129, -110,    0
  5745, 37052,19650130, -142,    0
  5745, 37052,19650131, -114,    0
  5745, 37052,19650201,  -92,    0
  5745, 37052,19650202,  -77,    0
  5745, 37052,19650203,  -58,    0
  5745, 37052,19650204,  -71,    0
  5745, 37052,19650205,  -26,    0
  5745, 37052,19650206,    0,    0
  5745, 37052,19650207,  -41,    0
  5745, 37052,19650208,  -90,    0
  5745, 37052,19650209,  -51,    0
  5745, 37052,19650210,  -75,    0
  5745, 37052,19650211,  -50,    0
  5745, 37052,19650212,  -26,    0
  5745, 37052,19650213,  -95,    0
  5745, 37052,19650214, -157,    0
  5745, 37052,19650215, -122,    0
  5745, 37052,19650216, -117,    0
  5745, 37052,19650217,  -68,    0
  5745, 37052,19650218,    4,    0
  5745, 37052,19650219,   -6,    0
  5745, 37052,19650220,   14,    0
  5745, 37052,19650221,  -49,    0
  5745, 37052,19650222, -104,    0
  5745, 37052,19650223, -124,    0
  5745, 37052,19650224,  -93,    0
  5745, 37052,19650225, -135,    0
  5745, 37052,19650226, -172,    0
  5745, 37052,19650227, -160,    0
  5745, 37052,19650228, -135,    0
  5745, 37052,19650301, -104,    0
  5745, 37052,19650302,  -98,    0
  5745, 37052,19650303,  -74,    0
  5745, 37052,19650304, -112,    0
  5745, 37052,19650305, -137,    0
  5745, 37052,19650306, -105,    0
  5745, 37052,19650307,  -60,    0
  5745, 37052,19650308,  -59,    0
  5745, 37052,19650309,  -85,    0
  5745, 37052,19650310, -100,    0
  5745, 37052,19650311,  -21,    0
  5745, 37052,19650312,    2,    0
  5745, 37052,19650313,    7,    0
  5745, 37052,19650314,    5,    0
  5745, 37052,19650315,   12,    0
  5745, 37052,19650316,   18,    0
  5745, 37052,19650317,  -74,    0
  5745, 37052,19650318, -104,    0
  5745, 37052,19650319,  -60,    0
  5745, 37052,19650320,  -34,    0
  5745, 37052,19650321,  -62,    0
  5745, 37052,19650322,  -70,    0
  5745, 37052,19650323,  -55,    0
  5745, 37052,19650324,  -95,    0
  5745, 37052,19650325,  -78,    0
  5745, 37052,19650326,  -61,    0
  5745, 37052,19650327,  -42,    0
  5745, 37052,19650328,  -54,    0
  5745, 37052,19650329,  -30,    0
  5745, 37052,19650330,  -31,    0
  5745, 37052,19650331,  -43,    0
  5745, 37052,19650401,  -35,    0
  5745, 37052,19650402,  -67,    0
  5745, 37052,19650403,   -5,    0
  5745, 37052,19650404,   43,    0
  5745, 37052,19650405,    5,    0
  5745, 37052,19650406,   -7,    0
  5745, 37052,19650407,  -81,    0
  5745, 37052,19650408,  -79,    0
  5745, 37052,19650409,  -59,    0
  5745, 37052,19650410,  -44,    0
  5745, 37052,19650411,  -30,    0
  5745, 37052,19650412,   -5,    0
  5745, 37052,19650413,   -3,    0
  5745, 37052,19650414,   -4,    0
  5745, 37052,19650415,   10,    0
  5745, 37052,19650416,   -6,    0
  5745, 37052,19650417,    5,    0
  5745, 37052,19650418,    0,    0
  5745, 37052,19650419,   11,    0
  5745, 37052,19650420,   24,    0
  5745, 37052,19650421,   35,    0
  5745, 37052,19650422,   55,    0
  5745, 37052,19650423,   65,    0
  5745, 37052,19650424,   64,    0
  5745, 37052,19650425,   44,    0
  5745, 37052,19650426,   37,    0
  5745, 37052,19650427,   43,    0
  5745, 37052,19650428,   61,    0
  5745, 37052,19650429,   63,    0
  5745, 37052,19650430,   36,    0
  5745, 37052,19650501,    5,    0
  5745, 37052,19650502,   15,    0
  5745, 37052,19650503,   33,    0
  5745, 37052,19650504,   68,    0
  5745, 37052,19650505,   71,    0
  5745, 37052,19650506,   60,    0
  5745, 37052,19650507,   73,    0
  5745, 37052,19650508,   61,    0
  5745, 37052,19650509,   71,    0
  5745, 37052,19650510,   76,    0
  5745, 37052,19650511,   29,    0
  5745, 37052,19650512,   18,    0
  5745, 37052,19650513,  -13,    0
  5745, 37052,19650514,    0,    0
  5745, 37052,19650515,    6,    0
  5745, 37052,19650516,   14,    0
  5745, 37052,19650517,    0,    0
  5745, 37052,19650518,   15,    0
  5745, 37052,19650519,   -6,    0
  5745, 37052,19650520,    3,    0
  5745, 37052,19650521,    4,    0
  5745, 37052,19650522,   26,    0
  5745, 37052,19650523,   55,    0
  5745, 37052,19650524,   48,    0
  5745, 37052,19650525,   95,    0
  5745, 37052,19650526,   70,    0
  5745, 37052,19650527,   34,    0
  5745, 37052,19650528,   28,    0
  5745, 37052,19650529,   33,    0
  5745, 37052,19650530,   40,    0
  5745, 37052,19650531,   65,    0
  5745, 37052,19650601,   77,    0
  5745, 37052,19650602,   72,    0
  5745, 37052,19650603,   60,    0
  5745, 37052,19650604,   86,    0
  5745, 37052,19650605,  120,    0
  5745, 37052,19650606,  161,    0
  5745, 37052,19650607,  177,    0
  5745, 37052,19650608,  182,    0
  5745, 37052,19650609,  149,    0
  5745, 37052,19650610,  142,    0
  5745, 37052,19650611,  108,    0
  5745, 37052,19650612,   82,    0
  5745, 37052,19650613,  111,    0
  5745, 37052,19650614,  116,    0
  5745, 37052,19650615,  113,    0
  5745, 37052,19650616,  104,    0
  5745, 37052,19650617,  122,    0
  5745, 37052,19650618,  109,    0
  5745, 37052,19650619,  114,    0
  5745, 37052,19650620,  112,    0
  5745, 37052,19650621,  108,    0
  5745, 37052,19650622,   96,    0
  5745, 37052,19650623,  112,    0
  5745, 37052,19650624,  137,    0
  5745, 37052,19650625,  129,    0
  5745, 37052,19650626,  130,    0
  5745, 37052,19650627,  121,    0
  5745, 37052,19650628,  101,    0
