EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANGVATTNET, SWEDEN (STAID: 5755)
Blended and updated with sources:37085 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5755, 37085,19601201,-9999,    9
  5755, 37085,19601202,-9999,    9
  5755, 37085,19601203,-9999,    9
  5755, 37085,19601204,-9999,    9
  5755, 37085,19601205,-9999,    9
  5755, 37085,19601206,-9999,    9
  5755, 37085,19601207,-9999,    9
  5755, 37085,19601208,-9999,    9
  5755, 37085,19601209,-9999,    9
  5755, 37085,19601210,-9999,    9
  5755, 37085,19601211,-9999,    9
  5755, 37085,19601212,-9999,    9
  5755, 37085,19601213,-9999,    9
  5755, 37085,19601214,-9999,    9
  5755, 37085,19601215,-9999,    9
  5755, 37085,19601216,-9999,    9
  5755, 37085,19601217,-9999,    9
  5755, 37085,19601218,-9999,    9
  5755, 37085,19601219,-9999,    9
  5755, 37085,19601220,-9999,    9
  5755, 37085,19601221,-9999,    9
  5755, 37085,19601222,-9999,    9
  5755, 37085,19601223,-9999,    9
  5755, 37085,19601224,-9999,    9
  5755, 37085,19601225,-9999,    9
  5755, 37085,19601226,-9999,    9
  5755, 37085,19601227,-9999,    9
  5755, 37085,19601228,-9999,    9
  5755, 37085,19601229,-9999,    9
  5755, 37085,19601230,-9999,    9
  5755, 37085,19601231,  -56,    1
  5755, 37085,19610101,  -61,    0
  5755, 37085,19610102,  -76,    0
  5755, 37085,19610103,  -50,    0
  5755, 37085,19610104,  -41,    0
  5755, 37085,19610105,  -43,    0
  5755, 37085,19610106,  -81,    0
  5755, 37085,19610107, -205,    0
  5755, 37085,19610108, -202,    0
  5755, 37085,19610109, -235,    0
  5755, 37085,19610110, -264,    0
  5755, 37085,19610111, -236,    0
  5755, 37085,19610112, -171,    0
  5755, 37085,19610113, -153,    0
  5755, 37085,19610114,  -41,    0
  5755, 37085,19610115,  -21,    0
  5755, 37085,19610116,  -42,    0
  5755, 37085,19610117,  -40,    0
  5755, 37085,19610118, -162,    0
  5755, 37085,19610119, -197,    0
  5755, 37085,19610120, -222,    0
  5755, 37085,19610121, -263,    0
  5755, 37085,19610122, -162,    0
  5755, 37085,19610123, -124,    0
  5755, 37085,19610124, -119,    0
  5755, 37085,19610125,  -25,    0
  5755, 37085,19610126,  -63,    0
  5755, 37085,19610127,  -38,    0
  5755, 37085,19610128,  -38,    0
  5755, 37085,19610129,  -42,    0
  5755, 37085,19610130,  -84,    0
  5755, 37085,19610131,  -86,    0
  5755, 37085,19610201, -105,    0
  5755, 37085,19610202, -180,    0
  5755, 37085,19610203, -186,    0
  5755, 37085,19610204, -135,    0
  5755, 37085,19610205, -156,    0
  5755, 37085,19610206, -171,    0
  5755, 37085,19610207, -133,    0
  5755, 37085,19610208, -113,    0
  5755, 37085,19610209, -132,    0
  5755, 37085,19610210, -107,    0
  5755, 37085,19610211, -100,    0
  5755, 37085,19610212, -178,    0
  5755, 37085,19610213,  -71,    0
  5755, 37085,19610214,   16,    0
  5755, 37085,19610215,  -43,    0
  5755, 37085,19610216,   -3,    0
  5755, 37085,19610217,   24,    0
  5755, 37085,19610218,   34,    0
  5755, 37085,19610219,   25,    0
  5755, 37085,19610220,   26,    0
  5755, 37085,19610221,   11,    0
  5755, 37085,19610222,   16,    0
  5755, 37085,19610223,   11,    0
  5755, 37085,19610224,   13,    0
  5755, 37085,19610225,  -27,    0
  5755, 37085,19610226,    1,    0
  5755, 37085,19610227,    1,    0
  5755, 37085,19610228,   18,    0
  5755, 37085,19610301,   -9,    0
  5755, 37085,19610302,  -41,    0
  5755, 37085,19610303,   -2,    0
  5755, 37085,19610304,   19,    0
  5755, 37085,19610305,   12,    0
  5755, 37085,19610306,   34,    0
  5755, 37085,19610307,  -28,    0
  5755, 37085,19610308,    4,    0
  5755, 37085,19610309,   38,    0
  5755, 37085,19610310,   46,    0
  5755, 37085,19610311,  -12,    0
  5755, 37085,19610312,  -34,    0
  5755, 37085,19610313,  -41,    0
  5755, 37085,19610314,  -62,    0
  5755, 37085,19610315,  -59,    0
  5755, 37085,19610316,  -45,    0
  5755, 37085,19610317,  -67,    0
  5755, 37085,19610318, -115,    0
  5755, 37085,19610319, -103,    0
  5755, 37085,19610320, -121,    0
  5755, 37085,19610321, -100,    0
  5755, 37085,19610322,  -88,    0
  5755, 37085,19610323,  -78,    0
  5755, 37085,19610324,  -46,    0
  5755, 37085,19610325,  -71,    0
  5755, 37085,19610326,  -11,    0
  5755, 37085,19610327,  -38,    0
  5755, 37085,19610328,  -43,    0
  5755, 37085,19610329,  -63,    0
  5755, 37085,19610330,  -93,    0
  5755, 37085,19610331, -112,    0
  5755, 37085,19610401,  -86,    0
  5755, 37085,19610402, -101,    0
  5755, 37085,19610403, -110,    0
  5755, 37085,19610404,  -94,    0
  5755, 37085,19610405,  -55,    0
  5755, 37085,19610406,  -76,    0
  5755, 37085,19610407,  -55,    0
  5755, 37085,19610408,  -45,    0
  5755, 37085,19610409,  -43,    0
  5755, 37085,19610410,  -65,    0
  5755, 37085,19610411,  -90,    0
  5755, 37085,19610412,  -95,    0
  5755, 37085,19610413,  -36,    0
  5755, 37085,19610414,   -3,    0
  5755, 37085,19610415,    9,    0
  5755, 37085,19610416,   25,    0
  5755, 37085,19610417,   26,    0
