EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TARNABY, SWEDEN (STAID: 5786)
Blended and updated with sources:37181 37202 902101 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5786, 37181,19481201,-9999,    9
  5786, 37181,19481202,-9999,    9
  5786, 37181,19481203,-9999,    9
  5786, 37181,19481204,-9999,    9
  5786, 37181,19481205,-9999,    9
  5786, 37181,19481206,-9999,    9
  5786, 37181,19481207,-9999,    9
  5786, 37181,19481208,-9999,    9
  5786, 37181,19481209,-9999,    9
  5786, 37181,19481210,-9999,    9
  5786, 37181,19481211,-9999,    9
  5786, 37181,19481212,-9999,    9
  5786, 37181,19481213,-9999,    9
  5786, 37181,19481214,-9999,    9
  5786, 37181,19481215,-9999,    9
  5786, 37181,19481216,-9999,    9
  5786, 37181,19481217,-9999,    9
  5786, 37181,19481218,-9999,    9
  5786, 37181,19481219,-9999,    9
  5786, 37181,19481220,-9999,    9
  5786, 37181,19481221,-9999,    9
  5786, 37181,19481222,-9999,    9
  5786, 37181,19481223,-9999,    9
  5786, 37181,19481224,-9999,    9
  5786, 37181,19481225,-9999,    9
  5786, 37181,19481226,-9999,    9
  5786, 37181,19481227,-9999,    9
  5786, 37181,19481228,-9999,    9
  5786, 37181,19481229,-9999,    9
  5786, 37181,19481230,-9999,    9
  5786, 37181,19481231,  -82,    1
  5786, 37181,19490101,  -40,    1
