EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MIERKENIES, SWEDEN (STAID: 5823)
Blended and updated with sources:37313 37316 902121 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5823, 37313,19940101, -119,    0
  5823, 37313,19940102, -131,    0
  5823, 37313,19940103, -131,    0
  5823, 37313,19940104, -216,    0
  5823, 37313,19940105, -237,    0
  5823, 37313,19940106, -144,    0
  5823, 37313,19940107, -124,    0
  5823, 37313,19940108,  -94,    0
  5823, 37313,19940109,  -66,    0
  5823, 37313,19940110, -111,    0
  5823, 37313,19940111, -161,    0
  5823, 37313,19940112, -175,    0
  5823, 37313,19940113,  -86,    0
  5823, 37313,19940114, -102,    0
  5823, 37313,19940115, -186,    0
  5823, 37313,19940116, -208,    0
  5823, 37313,19940117, -179,    0
  5823, 37313,19940118, -226,    0
  5823, 37313,19940119, -175,    0
  5823, 37313,19940120, -179,    0
  5823, 37313,19940121,  -88,    0
  5823, 37313,19940122,  -62,    0
  5823, 37313,19940123, -131,    0
  5823, 37313,19940124, -167,    0
  5823, 37313,19940125, -237,    0
  5823, 37313,19940126, -182,    0
  5823, 37313,19940127, -179,    0
  5823, 37313,19940128, -281,    0
  5823, 37313,19940129, -219,    0
  5823, 37313,19940130, -175,    0
  5823, 37313,19940131, -187,    0
  5823, 37313,19940201, -279,    0
  5823, 37313,19940202, -207,    0
  5823, 37313,19940203, -321,    0
  5823, 37313,19940204, -236,    0
  5823, 37313,19940205, -259,    0
  5823, 37313,19940206, -255,    0
  5823, 37313,19940207, -241,    0
  5823, 37313,19940208, -198,    0
  5823, 37313,19940209, -232,    0
  5823, 37313,19940210, -188,    0
  5823, 37313,19940211, -245,    0
  5823, 37313,19940212, -239,    0
  5823, 37313,19940213, -113,    0
  5823, 37313,19940214,  -17,    0
  5823, 37313,19940215,  -13,    0
  5823, 37313,19940216,  -87,    0
  5823, 37313,19940217,  -47,    0
  5823, 37313,19940218,  -70,    0
  5823, 37313,19940219,  -40,    0
  5823, 37313,19940220,  -30,    0
  5823, 37313,19940221, -143,    0
  5823, 37313,19940222, -104,    0
  5823, 37313,19940223,  -66,    0
  5823, 37313,19940224, -119,    0
  5823, 37313,19940225, -117,    0
  5823, 37313,19940226,  -95,    0
  5823, 37313,19940227, -190,    0
  5823, 37313,19940228, -179,    0
  5823, 37313,19940301, -108,    0
  5823, 37313,19940302, -196,    0
  5823, 37313,19940303, -167,    0
  5823, 37313,19940304, -119,    0
  5823, 37313,19940305,  -60,    0
  5823, 37313,19940306,  -25,    0
  5823, 37313,19940307, -127,    0
  5823, 37313,19940308, -103,    0
  5823, 37313,19940309,  -24,    0
  5823, 37313,19940310,  -19,    0
  5823, 37313,19940311,  -31,    0
  5823, 37313,19940312,  -32,    0
  5823, 37313,19940313,  -68,    0
  5823, 37313,19940314,  -69,    0
  5823, 37313,19940315,  -78,    0
  5823, 37313,19940316,  -54,    0
  5823, 37313,19940317, -117,    0
  5823, 37313,19940318,  -61,    0
  5823, 37313,19940319,  -95,    0
  5823, 37313,19940320, -164,    0
  5823, 37313,19940321, -106,    0
  5823, 37313,19940322, -109,    0
  5823, 37313,19940323,  -73,    0
  5823, 37313,19940324,  -74,    0
  5823, 37313,19940325, -166,    0
  5823, 37313,19940326, -174,    0
  5823, 37313,19940327,  -79,    0
  5823, 37313,19940328,  -48,    0
  5823, 37313,19940329,  -33,    0
  5823, 37313,19940330,  -11,    0
  5823, 37313,19940331,  -18,    0
  5823, 37313,19940401,   -9,    0
  5823, 37313,19940402,   -7,    0
  5823, 37313,19940403,    4,    0
  5823, 37313,19940404,   -3,    0
  5823, 37313,19940405,  -13,    0
  5823, 37313,19940406,  -10,    0
  5823, 37313,19940407,  -50,    0
  5823, 37313,19940408,  -24,    0
  5823, 37313,19940409,  -55,    0
  5823, 37313,19940410,  -68,    0
  5823, 37313,19940411,  -37,    0
  5823, 37313,19940412,  -24,    0
  5823, 37313,19940413,   12,    0
  5823, 37313,19940414,   -8,    0
  5823, 37313,19940415,  -25,    0
  5823, 37313,19940416,   -4,    0
  5823, 37313,19940417,  -29,    0
  5823, 37313,19940418,  -33,    0
  5823, 37313,19940419,  -35,    0
  5823, 37313,19940420,  -68,    0
  5823, 37313,19940421,  -64,    0
  5823, 37313,19940422,    1,    0
  5823, 37313,19940423,  -20,    0
  5823, 37313,19940424,  -39,    0
  5823, 37313,19940425,   12,    0
  5823, 37313,19940426,   32,    0
  5823, 37313,19940427,   31,    0
  5823, 37313,19940428,   24,    0
  5823, 37313,19940429,    4,    0
  5823, 37313,19940430,  -27,    0
  5823, 37313,19940501,  -41,    0
  5823, 37313,19940502,  -19,    0
  5823, 37313,19940503,    3,    0
  5823, 37313,19940504,   22,    0
  5823, 37313,19940505,   45,    0
  5823, 37313,19940506,   50,    0
  5823, 37313,19940507,   44,    0
  5823, 37313,19940508,   47,    0
  5823, 37313,19940509,   63,    0
  5823, 37313,19940510,   39,    0
  5823, 37313,19940511,   22,    0
  5823, 37313,19940512,    1,    0
  5823, 37313,19940513,   25,    0
  5823, 37313,19940514,   21,    0
  5823, 37313,19940515,   17,    0
  5823, 37313,19940516,  -22,    0
  5823, 37313,19940517,  -14,    0
  5823, 37313,19940518,   -3,    0
  5823, 37313,19940519,    3,    0
  5823, 37313,19940520,   16,    0
  5823, 37313,19940521,   20,    0
  5823, 37313,19940522,   29,    0
  5823, 37313,19940523,   18,    0
  5823, 37313,19940524,   19,    0
  5823, 37313,19940525,   10,    0
  5823, 37313,19940526,   17,    0
  5823, 37313,19940527,    4,    0
  5823, 37313,19940528,    8,    0
  5823, 37313,19940529,    5,    0
  5823, 37313,19940530,   21,    0
  5823, 37313,19940531,   48,    0
  5823, 37313,19940601,   26,    0
  5823, 37313,19940602,   22,    0
  5823, 37313,19940603,   61,    0
  5823, 37313,19940604,   70,    0
  5823, 37313,19940605,   61,    0
  5823, 37313,19940606,   34,    0
  5823, 37313,19940607,   65,    0
  5823, 37313,19940608,   66,    0
  5823, 37313,19940609,   73,    0
  5823, 37313,19940610,   58,    0
  5823, 37313,19940611,   55,    0
  5823, 37313,19940612,   58,    0
  5823, 37313,19940613,   55,    0
  5823, 37313,19940614,   62,    0
  5823, 37313,19940615,   38,    0
  5823, 37313,19940616,   49,    0
  5823, 37313,19940617,   49,    0
  5823, 37313,19940618,   65,    0
  5823, 37313,19940619,   84,    0
  5823, 37313,19940620,   78,    0
  5823, 37313,19940621,   92,    0
  5823, 37313,19940622,   75,    0
  5823, 37313,19940623,   50,    0
  5823, 37313,19940624,   60,    0
  5823, 37313,19940625,   64,    0
  5823, 37313,19940626,   66,    0
  5823, 37313,19940627,   64,    0
  5823, 37313,19940628,   67,    0
  5823, 37313,19940629,  111,    0
  5823, 37313,19940630,   87,    0
  5823, 37313,19940701,   68,    0
  5823, 37313,19940702,   92,    0
  5823, 37313,19940703,   68,    0
  5823, 37313,19940704,  103,    0
  5823, 37313,19940705,  150,    0
  5823, 37313,19940706,  126,    0
  5823, 37313,19940707,  124,    0
  5823, 37313,19940708,   97,    0
  5823, 37313,19940709,   84,    0
  5823, 37313,19940710,  115,    0
  5823, 37313,19940711,  100,    0
  5823, 37313,19940712,   90,    0
  5823, 37313,19940713,  120,    0
  5823, 37313,19940714,  125,    0
  5823, 37313,19940715,  170,    0
  5823, 37313,19940716,  101,    0
  5823, 37313,19940717,   92,    0
  5823, 37313,19940718,  106,    0
  5823, 37313,19940719,  110,    0
  5823, 37313,19940720,  113,    0
  5823, 37313,19940721,  136,    0
  5823, 37313,19940722,  147,    0
  5823, 37313,19940723,  106,    0
  5823, 37313,19940724,   85,    0
  5823, 37313,19940725,  134,    0
  5823, 37313,19940726,  156,    0
  5823, 37313,19940727,  163,    0
  5823, 37313,19940728,  134,    0
  5823, 37313,19940729,  115,    0
  5823, 37313,19940730,  135,    0
  5823, 37313,19940731,  154,    0
  5823, 37313,19940801,  161,    0
  5823, 37313,19940802,  162,    0
  5823, 37313,19940803,  175,    0
  5823, 37313,19940804,  142,    0
  5823, 37313,19940805,  128,    0
  5823, 37313,19940806,  127,    0
  5823, 37313,19940807,   83,    0
  5823, 37313,19940808,  119,    0
  5823, 37313,19940809,  113,    0
  5823, 37313,19940810,   84,    0
  5823, 37313,19940811,   86,    0
  5823, 37313,19940812,  108,    0
  5823, 37313,19940813,   93,    0
  5823, 37313,19940814,   78,    0
  5823, 37313,19940815,   61,    0
  5823, 37313,19940816,   61,    0
  5823, 37313,19940817,   94,    0
  5823, 37313,19940818,   81,    0
  5823, 37313,19940819,  111,    0
