EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KVIKKJOKK-ARRENJARKA, SWEDEN (STAID: 5834)
Blended and updated with sources:37346 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5834, 37346,19481201,-9999,    9
  5834, 37346,19481202,-9999,    9
  5834, 37346,19481203,-9999,    9
  5834, 37346,19481204,-9999,    9
  5834, 37346,19481205,-9999,    9
  5834, 37346,19481206,-9999,    9
  5834, 37346,19481207,-9999,    9
  5834, 37346,19481208,-9999,    9
  5834, 37346,19481209,-9999,    9
  5834, 37346,19481210,-9999,    9
  5834, 37346,19481211,-9999,    9
  5834, 37346,19481212,-9999,    9
  5834, 37346,19481213,-9999,    9
  5834, 37346,19481214,-9999,    9
  5834, 37346,19481215,-9999,    9
  5834, 37346,19481216,-9999,    9
  5834, 37346,19481217,-9999,    9
  5834, 37346,19481218,-9999,    9
  5834, 37346,19481219,-9999,    9
  5834, 37346,19481220,-9999,    9
  5834, 37346,19481221,-9999,    9
  5834, 37346,19481222,-9999,    9
  5834, 37346,19481223,-9999,    9
  5834, 37346,19481224,-9999,    9
  5834, 37346,19481225,-9999,    9
  5834, 37346,19481226,-9999,    9
  5834, 37346,19481227,-9999,    9
  5834, 37346,19481228,-9999,    9
  5834, 37346,19481229,-9999,    9
  5834, 37346,19481230,-9999,    9
  5834, 37346,19481231,  -79,    1
  5834, 37346,19490101,  -42,    1
  5834, 37346,19490102,  -14,    1
  5834, 37346,19490103,    8,    1
  5834, 37346,19490104, -107,    1
  5834, 37346,19490105, -166,    1
  5834, 37346,19490106,  -75,    1
  5834, 37346,19490107,  -29,    1
  5834, 37346,19490108,  -22,    1
  5834, 37346,19490109, -115,    1
  5834, 37346,19490110,  -30,    1
  5834, 37346,19490111,  -28,    1
  5834, 37346,19490112, -150,    1
  5834, 37346,19490113,  -82,    1
  5834, 37346,19490114,  -36,    1
  5834, 37346,19490115, -114,    1
  5834, 37346,19490116, -284,    1
  5834, 37346,19490117, -283,    1
  5834, 37346,19490118, -173,    1
  5834, 37346,19490119,  -89,    1
  5834, 37346,19490120, -102,    1
  5834, 37346,19490121, -151,    1
  5834, 37346,19490122, -216,    1
  5834, 37346,19490123, -173,    1
  5834, 37346,19490124,  -84,    1
  5834, 37346,19490125,  -38,    1
  5834, 37346,19490126,   20,    1
  5834, 37346,19490127,   54,    1
  5834, 37346,19490128,   16,    1
  5834, 37346,19490129,  -14,    1
  5834, 37346,19490130,  -78,    1
  5834, 37346,19490131, -165,    1
  5834, 37346,19490201, -168,    1
  5834, 37346,19490202,   22,    1
  5834, 37346,19490203,   -4,    1
  5834, 37346,19490204,  -32,    1
  5834, 37346,19490205,  -15,    1
  5834, 37346,19490206,   30,    1
  5834, 37346,19490207,   -2,    1
  5834, 37346,19490208, -114,    1
  5834, 37346,19490209,  -93,    1
  5834, 37346,19490210,  -65,    1
  5834, 37346,19490211, -125,    1
  5834, 37346,19490212, -128,    1
  5834, 37346,19490213, -150,    1
  5834, 37346,19490214,  -42,    1
  5834, 37346,19490215,  -42,    1
  5834, 37346,19490216,  -27,    1
  5834, 37346,19490217,   -1,    1
  5834, 37346,19490218,  -20,    1
  5834, 37346,19490219,  -34,    1
  5834, 37346,19490220,  -75,    1
  5834, 37346,19490221,  -11,    1
  5834, 37346,19490222,  -50,    1
  5834, 37346,19490223,  -85,    1
  5834, 37346,19490224,  -80,    1
  5834, 37346,19490225,  -54,    1
  5834, 37346,19490226, -116,    1
  5834, 37346,19490227, -145,    1
  5834, 37346,19490228, -207,    1
  5834, 37346,19490301, -187,    1
  5834, 37346,19490302, -101,    1
  5834, 37346,19490303, -202,    1
  5834, 37346,19490304, -235,    1
  5834, 37346,19490305, -237,    1
  5834, 37346,19490306, -171,    1
  5834, 37346,19490307, -130,    1
  5834, 37346,19490308, -138,    1
  5834, 37346,19490309, -149,    1
  5834, 37346,19490310, -133,    1
  5834, 37346,19490311, -132,    1
  5834, 37346,19490312,  -41,    1
  5834, 37346,19490313,  -45,    1
  5834, 37346,19490314,  -40,    1
  5834, 37346,19490315,  -63,    1
