EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GALLIVARE_A, SWEDEN (STAID: 5839)
Blended and updated with sources:37361 902049 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5839, 37361,19951201,-9999,    9
  5839, 37361,19951202,-9999,    9
  5839, 37361,19951203,-9999,    9
  5839, 37361,19951204,-9999,    9
  5839, 37361,19951205,-9999,    9
  5839, 37361,19951206,-9999,    9
  5839, 37361,19951207,-9999,    9
  5839, 37361,19951208,-9999,    9
  5839, 37361,19951209,-9999,    9
  5839, 37361,19951210,-9999,    9
  5839, 37361,19951211,-9999,    9
  5839, 37361,19951212,-9999,    9
  5839, 37361,19951213,-9999,    9
  5839, 37361,19951214,-9999,    9
  5839, 37361,19951215,-9999,    9
  5839, 37361,19951216,  -23,    0
  5839, 37361,19951217,  -95,    0
  5839, 37361,19951218, -212,    0
  5839, 37361,19951219, -238,    0
  5839, 37361,19951220, -258,    0
  5839, 37361,19951221, -312,    0
  5839, 37361,19951222, -267,    0
  5839, 37361,19951223, -210,    0
  5839, 37361,19951224, -264,    0
  5839, 37361,19951225, -169,    0
  5839, 37361,19951226, -199,    0
  5839, 37361,19951227, -184,    0
  5839, 37361,19951228, -236,    0
  5839, 37361,19951229, -238,    0
  5839, 37361,19951230, -282,    0
  5839, 37361,19951231, -177,    0
  5839, 37361,19960101,  -34,    0
  5839, 37361,19960102, -119,    0
  5839, 37361,19960103, -134,    0
  5839, 37361,19960104,  -70,    0
  5839, 37361,19960105, -127,    0
  5839, 37361,19960106, -139,    0
  5839, 37361,19960107, -186,    0
  5839, 37361,19960108,  -76,    0
  5839, 37361,19960109,  -34,    0
  5839, 37361,19960110,  -22,    0
  5839, 37361,19960111,   -3,    0
  5839, 37361,19960112,  -25,    0
  5839, 37361,19960113,  -22,    0
  5839, 37361,19960114,  -25,    0
  5839, 37361,19960115,  -61,    0
  5839, 37361,19960116,  -80,    0
  5839, 37361,19960117,  -75,    0
