EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VASSIJAURE, SWEDEN (STAID: 5871)
Blended and updated with sources:37460 37463 37469 902019 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5871, 37463,19690901,   81,    0
  5871, 37463,19690902,   63,    0
  5871, 37463,19690903,   60,    0
  5871, 37463,19690904,   58,    0
  5871, 37463,19690905,   56,    0
  5871, 37463,19690906,   59,    0
  5871, 37463,19690907,   54,    0
  5871, 37463,19690908,   68,    0
  5871, 37463,19690909,   74,    0
  5871, 37463,19690910,   76,    0
  5871, 37463,19690911,   55,    0
  5871, 37463,19690912,   48,    0
  5871, 37463,19690913,   19,    0
  5871, 37463,19690914,   26,    0
  5871, 37463,19690915,   42,    0
  5871, 37463,19690916,   42,    0
  5871, 37463,19690917,   44,    0
  5871, 37463,19690918,   46,    0
  5871, 37463,19690919,   55,    0
  5871, 37463,19690920,   37,    0
  5871, 37463,19690921,   24,    0
  5871, 37463,19690922,   19,    0
  5871, 37463,19690923,   10,    0
  5871, 37463,19690924,   20,    0
  5871, 37463,19690925,   52,    0
  5871, 37463,19690926,   69,    0
  5871, 37463,19690927,   39,    0
  5871, 37463,19690928,   16,    0
  5871, 37463,19690929,   15,    0
  5871, 37463,19690930,   13,    0
  5871, 37463,19691001,    3,    0
  5871, 37463,19691002,   -4,    0
  5871, 37463,19691003,  -12,    0
  5871, 37463,19691004,  -16,    0
  5871, 37463,19691005,   -8,    0
  5871, 37463,19691006,    1,    0
  5871, 37463,19691007,   30,    0
  5871, 37463,19691008,   32,    0
  5871, 37463,19691009,   39,    0
  5871, 37463,19691010,  -10,    0
  5871, 37463,19691011,   -9,    0
  5871, 37463,19691012,   -5,    0
  5871, 37463,19691013,  -15,    0
  5871, 37463,19691014,    7,    0
  5871, 37463,19691015,   12,    0
  5871, 37463,19691016,   25,    0
  5871, 37463,19691017,   27,    0
  5871, 37463,19691018,   25,    0
  5871, 37463,19691019,   44,    0
  5871, 37463,19691020,   28,    0
  5871, 37463,19691021,  -13,    0
  5871, 37463,19691022,   -9,    0
  5871, 37463,19691023,   -8,    0
  5871, 37463,19691024,  -54,    0
  5871, 37463,19691025,   -2,    0
  5871, 37463,19691026,   -1,    0
  5871, 37463,19691027,  -21,    0
  5871, 37463,19691028,  -23,    0
  5871, 37463,19691029,  -41,    0
  5871, 37463,19691030,  -75,    0
  5871, 37463,19691031,  -61,    0
  5871, 37463,19691101,  -91,    0
  5871, 37463,19691102,  -60,    0
  5871, 37463,19691103,  -82,    0
  5871, 37463,19691104,  -77,    0
  5871, 37463,19691105,  -45,    0
  5871, 37463,19691106,  -14,    0
  5871, 37463,19691107,  -29,    0
  5871, 37463,19691108,  -52,    0
  5871, 37463,19691109,  -12,    0
  5871, 37463,19691110,  -39,    0
  5871, 37463,19691111,  -68,    0
  5871, 37463,19691112,  -39,    0
  5871, 37463,19691113,  -24,    0
  5871, 37463,19691114,  -43,    0
  5871, 37463,19691115,  -33,    0
  5871, 37463,19691116,  -30,    0
  5871, 37463,19691117,  -29,    0
  5871, 37463,19691118,  -59,    0
  5871, 37463,19691119, -118,    0
  5871, 37463,19691120,  -84,    0
  5871, 37463,19691121,  -53,    0
  5871, 37463,19691122,  -71,    0
  5871, 37463,19691123, -137,    0
  5871, 37463,19691124, -139,    0
  5871, 37463,19691125, -129,    0
  5871, 37463,19691126, -145,    0
  5871, 37463,19691127, -119,    0
  5871, 37463,19691128,  -55,    0
  5871, 37463,19691129,  -94,    0
  5871, 37463,19691130,  -77,    0
  5871, 37463,19691201,  -12,    0
  5871, 37463,19691202,  -61,    0
  5871, 37463,19691203,  -79,    0
  5871, 37463,19691204,  -96,    0
  5871, 37463,19691205, -160,    0
  5871, 37463,19691206, -212,    0
  5871, 37463,19691207, -165,    0
  5871, 37463,19691208,  -87,    0
  5871, 37463,19691209,  -68,    0
  5871, 37463,19691210,   22,    0
  5871, 37463,19691211,   17,    0
  5871, 37463,19691212,  -77,    0
  5871, 37463,19691213, -140,    0
  5871, 37463,19691214, -128,    0
  5871, 37463,19691215, -144,    0
  5871, 37463,19691216, -121,    0
  5871, 37463,19691217, -179,    0
  5871, 37463,19691218, -148,    0
  5871, 37463,19691219,  -76,    0
  5871, 37463,19691220, -155,    0
  5871, 37463,19691221, -217,    0
  5871, 37463,19691222, -280,    0
  5871, 37463,19691223, -182,    0
  5871, 37463,19691224, -163,    0
  5871, 37463,19691225, -144,    0
  5871, 37463,19691226,  -50,    0
  5871, 37463,19691227,  -23,    0
  5871, 37463,19691228,  -54,    0
  5871, 37463,19691229,  -78,    0
  5871, 37463,19691230,   -4,    0
  5871, 37463,19691231,  -59,    0
  5871, 37463,19700101, -123,    0
  5871, 37463,19700102, -129,    0
  5871, 37463,19700103, -117,    0
  5871, 37463,19700104, -151,    0
  5871, 37463,19700105, -109,    0
  5871, 37463,19700106, -176,    0
  5871, 37463,19700107, -127,    0
  5871, 37463,19700108, -147,    0
