EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SOMERO SALKOLA, FINLAND (STAID: 7117)
Blended and updated with sources:42739 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7117, 42739,20110511,  165,    0
  7117, 42739,20110512,  145,    0
  7117, 42739,20110513,  121,    0
  7117, 42739,20110514,   80,    0
  7117, 42739,20110515,   87,    0
  7117, 42739,20110516,   83,    0
  7117, 42739,20110517,   89,    0
  7117, 42739,20110518,   92,    0
  7117, 42739,20110519,   80,    0
  7117, 42739,20110520,  109,    0
  7117, 42739,20110521,  112,    0
  7117, 42739,20110522,  124,    0
  7117, 42739,20110523,   99,    0
  7117, 42739,20110524,  108,    0
  7117, 42739,20110525,   91,    0
  7117, 42739,20110526,   92,    0
  7117, 42739,20110527,   85,    0
  7117, 42739,20110528,   97,    0
  7117, 42739,20110529,   79,    0
  7117, 42739,20110530,  102,    0
  7117, 42739,20110531,  162,    0
  7117, 42739,20110601,  202,    0
  7117, 42739,20110602,  141,    0
  7117, 42739,20110603,  147,    0
  7117, 42739,20110604,  165,    0
  7117, 42739,20110605,  138,    0
  7117, 42739,20110606,  171,    0
  7117, 42739,20110607,  220,    0
  7117, 42739,20110608,  211,    0
  7117, 42739,20110609,  201,    0
  7117, 42739,20110610,  230,    0
  7117, 42739,20110611,  229,    0
  7117, 42739,20110612,  216,    0
  7117, 42739,20110613,  132,    0
  7117, 42739,20110614,  115,    0
  7117, 42739,20110615,  110,    0
  7117, 42739,20110616,  140,    0
  7117, 42739,20110617,  150,    0
  7117, 42739,20110618,  125,    0
  7117, 42739,20110619,  119,    0
  7117, 42739,20110620,  138,    0
  7117, 42739,20110621,  137,    0
  7117, 42739,20110622,  140,    0
  7117, 42739,20110623,  135,    0
  7117, 42739,20110624,  146,    0
  7117, 42739,20110625,  135,    0
  7117, 42739,20110626,  137,    0
  7117, 42739,20110627,  155,    0
  7117, 42739,20110628,  197,    0
  7117, 42739,20110629,  203,    0
  7117, 42739,20110630,  206,    0
  7117, 42739,20110701,  234,    0
  7117, 42739,20110702,  239,    0
  7117, 42739,20110703,  198,    0
  7117, 42739,20110704,  161,    0
  7117, 42739,20110705,  153,    0
  7117, 42739,20110706,  188,    0
  7117, 42739,20110707,  211,    0
  7117, 42739,20110708,  223,    0
  7117, 42739,20110709,  208,    0
  7117, 42739,20110710,  200,    0
  7117, 42739,20110711,  197,    0
  7117, 42739,20110712,  158,    0
  7117, 42739,20110713,  147,    0
  7117, 42739,20110714,  144,    0
  7117, 42739,20110715,  148,    0
  7117, 42739,20110716,  145,    0
  7117, 42739,20110717,  156,    0
  7117, 42739,20110718,  186,    0
  7117, 42739,20110719,  184,    0
  7117, 42739,20110720,  188,    0
  7117, 42739,20110721,  206,    0
  7117, 42739,20110722,  238,    0
  7117, 42739,20110723,  216,    0
  7117, 42739,20110724,  172,    0
  7117, 42739,20110725,  176,    0
  7117, 42739,20110726,  201,    0
  7117, 42739,20110727,  215,    0
  7117, 42739,20110728,  218,    0
  7117, 42739,20110729,  208,    0
  7117, 42739,20110730,  194,    0
  7117, 42739,20110731,  175,    0
  7117, 42739,20110801,  144,    0
  7117, 42739,20110802,  135,    0
  7117, 42739,20110803,  166,    0
  7117, 42739,20110804,  171,    0
  7117, 42739,20110805,  171,    0
  7117, 42739,20110806,  163,    0
  7117, 42739,20110807,  179,    0
  7117, 42739,20110808,  164,    0
  7117, 42739,20110809,  129,    0
  7117, 42739,20110810,  135,    0
  7117, 42739,20110811,  116,    0
  7117, 42739,20110812,  129,    0
  7117, 42739,20110813,  141,    0
  7117, 42739,20110814,  148,    0
  7117, 42739,20110815,  160,    0
  7117, 42739,20110816,  180,    0
  7117, 42739,20110817,  160,    0
  7117, 42739,20110818,  140,    0
  7117, 42739,20110819,  143,    0
