EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KUUSAMO OULANKA, FINLAND (STAID: 7776)
Blended and updated with sources:46120 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7776, 46120,20150901,-9999,    9
  7776, 46120,20150902,-9999,    9
  7776, 46120,20150903,-9999,    9
  7776, 46120,20150904,-9999,    9
  7776, 46120,20150905,-9999,    9
  7776, 46120,20150906,-9999,    9
  7776, 46120,20150907,-9999,    9
  7776, 46120,20150908,-9999,    9
  7776, 46120,20150909,-9999,    9
  7776, 46120,20150910,-9999,    9
  7776, 46120,20150911,-9999,    9
  7776, 46120,20150912,-9999,    9
  7776, 46120,20150913,-9999,    9
  7776, 46120,20150914,-9999,    9
  7776, 46120,20150915,-9999,    9
  7776, 46120,20150916,-9999,    9
  7776, 46120,20150917,-9999,    9
  7776, 46120,20150918,-9999,    9
  7776, 46120,20150919,-9999,    9
  7776, 46120,20150920,-9999,    9
  7776, 46120,20150921,-9999,    9
  7776, 46120,20150922,-9999,    9
  7776, 46120,20150923,-9999,    9
  7776, 46120,20150924,-9999,    9
  7776, 46120,20150925,-9999,    9
  7776, 46120,20150926,-9999,    9
  7776, 46120,20150927,-9999,    9
  7776, 46120,20150928,-9999,    9
  7776, 46120,20150929,-9999,    9
  7776, 46120,20150930,-9999,    9
  7776, 46120,20151001,   36,    0
  7776, 46120,20151002,   14,    0
  7776, 46120,20151003,   11,    0
  7776, 46120,20151004,   16,    0
  7776, 46120,20151005,    2,    0
  7776, 46120,20151006,  -14,    0
  7776, 46120,20151007,  -14,    0
  7776, 46120,20151008,  -12,    0
  7776, 46120,20151009,   -2,    0
  7776, 46120,20151010,    0,    0
  7776, 46120,20151011,  -15,    0
  7776, 46120,20151012,   18,    0
  7776, 46120,20151013,   45,    0
  7776, 46120,20151014,   21,    0
