EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KON-KOLODEZ, RUSSIAN FEDERATION (STAID: 8517)
Blended and updated with sources:51753 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8517, 51753,19890101, -130,    0
  8517, 51753,19890102, -209,    0
  8517, 51753,19890103, -154,    0
  8517, 51753,19890104,   -2,    0
  8517, 51753,19890105,   12,    0
  8517, 51753,19890106,    1,    0
  8517, 51753,19890107,  -19,    0
  8517, 51753,19890108,  -27,    0
  8517, 51753,19890109,  -45,    0
  8517, 51753,19890110,  -23,    0
  8517, 51753,19890111,   10,    0
  8517, 51753,19890112,   -5,    0
  8517, 51753,19890113,  -85,    0
  8517, 51753,19890114,  -42,    0
  8517, 51753,19890115,  -13,    0
  8517, 51753,19890116,    2,    0
  8517, 51753,19890117,   12,    0
  8517, 51753,19890118,   13,    0
  8517, 51753,19890119,  -23,    0
  8517, 51753,19890120,  -39,    0
  8517, 51753,19890121,    4,    0
  8517, 51753,19890122,    5,    0
  8517, 51753,19890123,   -2,    0
  8517, 51753,19890124,  -20,    0
  8517, 51753,19890125,  -68,    0
  8517, 51753,19890126,  -69,    0
  8517, 51753,19890127,    5,    0
  8517, 51753,19890128,    5,    0
  8517, 51753,19890129,   -1,    0
  8517, 51753,19890130,    5,    0
  8517, 51753,19890131,    6,    0
  8517, 51753,19890201,  -53,    0
  8517, 51753,19890202,  -23,    0
  8517, 51753,19890203,   11,    0
  8517, 51753,19890204,   12,    0
  8517, 51753,19890205,    7,    0
  8517, 51753,19890206,    3,    0
  8517, 51753,19890207,   -2,    0
  8517, 51753,19890208,   34,    0
  8517, 51753,19890209,   17,    0
  8517, 51753,19890210,  -52,    0
  8517, 51753,19890211,  -69,    0
  8517, 51753,19890212,  -56,    0
  8517, 51753,19890213,  -26,    0
  8517, 51753,19890214,  -11,    0
  8517, 51753,19890215,  -17,    0
  8517, 51753,19890216,  -31,    0
  8517, 51753,19890217,  -12,    0
  8517, 51753,19890218,  -29,    0
  8517, 51753,19890219,  -54,    0
  8517, 51753,19890220,  -59,    0
  8517, 51753,19890221,    5,    0
  8517, 51753,19890222,    3,    0
  8517, 51753,19890223,   -5,    0
  8517, 51753,19890224,  -16,    0
  8517, 51753,19890225,   14,    0
  8517, 51753,19890226,   38,    0
  8517, 51753,19890227,   41,    0
  8517, 51753,19890228,   21,    0
  8517, 51753,19890301,   39,    0
  8517, 51753,19890302,   22,    0
  8517, 51753,19890303,    4,    0
  8517, 51753,19890304,   -6,    0
  8517, 51753,19890305,  -14,    0
  8517, 51753,19890306,    4,    0
  8517, 51753,19890307,  -11,    0
  8517, 51753,19890308,  -18,    0
  8517, 51753,19890309,    1,    0
  8517, 51753,19890310,    0,    0
  8517, 51753,19890311,  -10,    0
  8517, 51753,19890312,   -2,    0
  8517, 51753,19890313,   -2,    0
  8517, 51753,19890314,    9,    0
  8517, 51753,19890315,   27,    0
  8517, 51753,19890316,   37,    0
  8517, 51753,19890317,   58,    0
  8517, 51753,19890318,   91,    0
  8517, 51753,19890319,   64,    0
  8517, 51753,19890320,   19,    0
  8517, 51753,19890321,   36,    0
  8517, 51753,19890322,   45,    0
  8517, 51753,19890323,   72,    0
  8517, 51753,19890324,   47,    0
  8517, 51753,19890325,   44,    0
  8517, 51753,19890326,   38,    0
  8517, 51753,19890327,   20,    0
  8517, 51753,19890328,   23,    0
  8517, 51753,19890329,    4,    0
  8517, 51753,19890330,   10,    0
  8517, 51753,19890331,    9,    0
  8517, 51753,19890401,   25,    0
  8517, 51753,19890402,   48,    0
