EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station P11-B, NETHERLANDS (STAID: 10981)
Blended and updated with sources:55452 906203 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 10981, 55452,20130601,   92,    0
 10981, 55452,20130602,   95,    0
 10981, 55452,20130603,   96,    0
 10981, 55452,20130604,   96,    0
 10981, 55452,20130605,   94,    0
 10981, 55452,20130606,  106,    0
 10981, 55452,20130607,  107,    0
 10981, 55452,20130608,  105,    0
 10981, 55452,20130609,  104,    0
 10981, 55452,20130610,  108,    0
 10981, 55452,20130611,  120,    0
 10981, 55452,20130612,  132,    0
 10981, 55452,20130613,  124,    0
 10981, 55452,20130614,-9999,    9
 10981, 55452,20130615,  122,    0
 10981, 55452,20130616,  117,    0
 10981, 55452,20130617,  128,    0
 10981, 55452,20130618,  146,    0
 10981, 55452,20130619,  135,    0
 10981, 55452,20130620,  135,    0
 10981, 55452,20130621,  124,    0
 10981, 55452,20130622,  126,    0
 10981, 55452,20130623,  129,    0
 10981, 55452,20130624,  119,    0
 10981, 55452,20130625,  118,    0
 10981, 55452,20130626,  117,    0
 10981, 55452,20130627,  119,    0
 10981, 55452,20130628,  127,    0
 10981, 55452,20130629,  125,    0
 10981, 55452,20130630,  127,    0
 10981,906203,20130701,  123,    0
 10981,906203,20130702,  133,    0
 10981, 55452,20130703,-9999,    9
 10981,906203,20130704,  139,    0
 10981,906203,20130705,  134,    0
 10981,906203,20130706,  150,    0
 10981,906203,20130707,  157,    0
 10981,906203,20130708,  142,    0
 10981,906203,20130709,  142,    0
 10981,906203,20130710,  140,    0
 10981,906203,20130711,  132,    0
 10981,906203,20130712,  137,    0
 10981,906203,20130713,  139,    0
 10981,906203,20130714,  138,    0
 10981,906203,20130715,  145,    0
 10981,906203,20130716,  141,    0
 10981,906203,20130717,  161,    0
 10981,906203,20130718,  148,    0
 10981,906203,20130719,  163,    0
 10981,906203,20130720,  157,    0
 10981,906203,20130721,  169,    0
 10981,906203,20130722,  178,    0
 10981,906203,20130723,  172,    0
 10981,906203,20130724,  158,    0
 10981,906203,20130725,  172,    0
 10981,906203,20130726,  168,    0
 10981,906203,20130727,  173,    0
 10981,906203,20130728,  167,    0
 10981,906203,20130729,  168,    0
 10981,906203,20130730,  163,    0
 10981,906203,20130731,  169,    0
 10981,906203,20130801,  207,    0
 10981,906203,20130802,  199,    0
 10981,906203,20130803,  167,    0
 10981,906203,20130804,  171,    0
 10981,906203,20130805,  189,    0
 10981,906203,20130806,  165,    0
 10981,906203,20130807,  165,    0
 10981,906203,20130808,  163,    0
 10981,906203,20130809,  167,    0
 10981,906203,20130810,  161,    0
 10981,906203,20130811,  163,    0
 10981,906203,20130812,  163,    0
 10981,906203,20130813,  153,    0
 10981,906203,20130814,  160,    0
 10981,906203,20130815,  167,    0
 10981,906203,20130816,  175,    0
 10981,906203,20130817,  172,    0
 10981,906203,20130818,  170,    0
 10981,906203,20130819,  170,    0
 10981,906203,20130820,  171,    0
 10981,906203,20130821,  171,    0
 10981,906203,20130822,  175,    0
 10981,906203,20130823,  177,    0
 10981,906203,20130824,  184,    0
 10981,906203,20130825,  176,    0
 10981,906203,20130826,  182,    0
 10981,906203,20130827,  178,    0
 10981,906203,20130828,  171,    0
 10981,906203,20130829,  174,    0
 10981,906203,20130830,  179,    0
 10981,906203,20130831,  171,    0
 10981,906203,20130901,  162,    0
 10981,906203,20130902,  169,    0
 10981,906203,20130903,  184,    0
 10981,906203,20130904,  188,    0
 10981,906203,20130905,  221,    0
 10981,906203,20130906,  183,    0
 10981,906203,20130907,  172,    0
 10981,906203,20130908,  168,    0
 10981,906203,20130909,  143,    0
 10981,906203,20130910,  147,    0
 10981,906203,20130911,  155,    0
 10981,906203,20130912,  158,    0
 10981,906203,20130913,  165,    0
 10981,906203,20130914,  150,    0
 10981,906203,20130915,  148,    0
 10981,906203,20130916,  129,    0
 10981,906203,20130917,  130,    0
 10981,906203,20130918,  131,    0
 10981,906203,20130919,  141,    0
 10981,906203,20130920,  151,    0
 10981, 55452,20130921,-9999,    9
 10981,906203,20130922,  164,    0
 10981,906203,20130923,  163,    0
 10981,906203,20130924,  161,    0
 10981,906203,20130925,  162,    0
 10981,906203,20130926,  148,    0
 10981,906203,20130927,  137,    0
 10981,906203,20130928,  147,    0
 10981,906203,20130929,  148,    0
 10981,906203,20130930,  138,    0
 10981,906203,20131001,  138,    0
 10981,906203,20131002,  138,    0
 10981,906203,20131003,  152,    0
 10981,906203,20131004,  170,    0
 10981,906203,20131005,  166,    0
 10981,906203,20131006,  158,    0
 10981,906203,20131007,  158,    0
 10981,906203,20131008,  160,    0
 10981,906203,20131009,  147,    0
 10981,906203,20131010,  116,    0
 10981,906203,20131011,  128,    0
 10981,906203,20131012,  110,    0
 10981,906203,20131013,  123,    0
 10981,906203,20131014,  118,    0
 10981,906203,20131015,  121,    0
 10981,906203,20131016,  138,    0
 10981,906203,20131017,  133,    0
 10981,906203,20131018,  148,    0
 10981,906203,20131019,  141,    0
 10981,906203,20131020,  156,    0
 10981,906203,20131021,  156,    0
 10981,906203,20131022,  167,    0
 10981,906203,20131023,  163,    0
 10981,906203,20131024,  140,    0
 10981,906203,20131025,  146,    0
 10981,906203,20131026,  160,    0
 10981,906203,20131027,  150,    0
 10981,906203,20131028,  149,    0
 10981,906203,20131029,  118,    0
 10981,906203,20131030,  122,    0
 10981,906203,20131031,  130,    0
 10981,906203,20131101,  139,    0
 10981,906203,20131102,  127,    0
 10981,906203,20131103,  115,    0
 10981,906203,20131104,  101,    0
 10981,906203,20131105,  105,    0
 10981,906203,20131106,  113,    0
 10981,906203,20131107,  112,    0
 10981,906203,20131108,  119,    0
 10981,906203,20131109,  100,    0
 10981,906203,20131110,   94,    0
 10981,906203,20131111,  105,    0
 10981,906203,20131112,  110,    0
 10981,906203,20131113,  108,    0
 10981,906203,20131114,  102,    0
 10981,906203,20131115,   99,    0
 10981,906203,20131116,  103,    0
 10981,906203,20131117,  107,    0
 10981,906203,20131118,   95,    0
 10981,906203,20131119,   89,    0
 10981,906203,20131120,   75,    0
 10981,906203,20131121,   60,    0
 10981,906203,20131122,   73,    0
 10981,906203,20131123,   89,    0
 10981,906203,20131124,   93,    0
 10981,906203,20131125,   76,    0
 10981,906203,20131126,   86,    0
 10981,906203,20131127,   93,    0
 10981,906203,20131128,  108,    0
 10981,906203,20131129,   97,    0
 10981,906203,20131130,   82,    0
 10981,906203,20131201,   95,    0
 10981,906203,20131202,   95,    0
 10981,906203,20131203,   79,    0
 10981,906203,20131204,   83,    0
 10981,906203,20131205,   89,    0
 10981,906203,20131206,   56,    0
 10981,906203,20131207,   74,    0
 10981,906203,20131208,   96,    0
 10981,906203,20131209,   99,    0
 10981,906203,20131210,   86,    0
 10981,906203,20131211,   86,    0
 10981,906203,20131212,   71,    0
 10981,906203,20131213,   78,    0
 10981,906203,20131214,   89,    0
 10981,906203,20131215,   95,    0
 10981,906203,20131216,  103,    0
 10981,906203,20131217,   69,    0
 10981,906203,20131218,   83,    0
 10981,906203,20131219,   93,    0
 10981,906203,20131220,   76,    0
 10981,906203,20131221,   91,    0
 10981,906203,20131222,   92,    0
 10981,906203,20131223,   91,    0
