EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CASTELLNOU DE SEANA, SPAIN (STAID: 11025)
Blended and updated with sources:56085 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11025, 56085,20150101,   12,    0
 11025, 56085,20150102,    7,    0
 11025, 56085,20150103,   16,    0
 11025, 56085,20150104,   33,    0
 11025, 56085,20150105,   25,    0
 11025, 56085,20150106,   28,    0
 11025, 56085,20150107,   39,    0
 11025, 56085,20150108,   40,    0
 11025, 56085,20150109,   37,    0
 11025, 56085,20150110,   33,    0
 11025, 56085,20150111,   37,    0
 11025, 56085,20150112,    5,    0
 11025, 56085,20150113,   22,    0
 11025, 56085,20150114,   24,    0
 11025, 56085,20150115,   17,    0
 11025, 56085,20150116,   54,    0
 11025, 56085,20150117,   29,    0
 11025, 56085,20150118,   31,    0
 11025, 56085,20150119,   45,    0
 11025, 56085,20150120,   23,    0
 11025, 56085,20150121,   20,    0
 11025, 56085,20150122,   31,    0
 11025, 56085,20150123,   37,    0
 11025, 56085,20150124,   43,    0
 11025, 56085,20150125,   50,    0
 11025, 56085,20150126,   24,    0
 11025, 56085,20150127,   38,    0
 11025, 56085,20150128,   43,    0
 11025, 56085,20150129,   73,    0
 11025, 56085,20150130,   91,    0
 11025, 56085,20150131,   64,    0
 11025, 56085,20150201,   40,    0
 11025, 56085,20150202,   34,    0
 11025, 56085,20150203,   48,    0
 11025, 56085,20150204,    9,    0
 11025, 56085,20150205,   17,    0
 11025, 56085,20150206,   -3,    0
 11025, 56085,20150207,    8,    0
 11025, 56085,20150208,   21,    0
 11025, 56085,20150209,   15,    0
