EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EL VENDRELL, SPAIN (STAID: 11036)
Blended and updated with sources:56184 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11036, 56184,20080101,   41,    0
 11036, 56184,20080102,   51,    0
 11036, 56184,20080103,   65,    0
 11036, 56184,20080104,   81,    0
 11036, 56184,20080105,   93,    0
 11036, 56184,20080106,  141,    0
 11036, 56184,20080107,  116,    0
 11036, 56184,20080108,  113,    0
 11036, 56184,20080109,  105,    0
 11036, 56184,20080110,  113,    0
 11036, 56184,20080111,  114,    0
 11036, 56184,20080112,   95,    0
 11036, 56184,20080113,   71,    0
 11036, 56184,20080114,   74,    0
 11036, 56184,20080115,   83,    0
 11036, 56184,20080116,  107,    0
 11036, 56184,20080117,  122,    0
 11036, 56184,20080118,  123,    0
 11036, 56184,20080119,  105,    0
 11036, 56184,20080120,   80,    0
 11036, 56184,20080121,   80,    0
 11036, 56184,20080122,   95,    0
 11036, 56184,20080123,  102,    0
 11036, 56184,20080124,   95,    0
 11036, 56184,20080125,   95,    0
 11036, 56184,20080126,   78,    0
 11036, 56184,20080127,   91,    0
 11036, 56184,20080128,  101,    0
 11036, 56184,20080129,   79,    0
 11036, 56184,20080130,   77,    0
 11036, 56184,20080131,   84,    0
 11036, 56184,20080201,   80,    0
 11036, 56184,20080202,   96,    0
 11036, 56184,20080203,   91,    0
 11036, 56184,20080204,  117,    0
 11036, 56184,20080205,  101,    0
 11036, 56184,20080206,  103,    0
 11036, 56184,20080207,   86,    0
 11036, 56184,20080208,   85,    0
 11036, 56184,20080209,   77,    0
 11036, 56184,20080210,   62,    0
 11036, 56184,20080211,   87,    0
 11036, 56184,20080212,   81,    0
 11036, 56184,20080213,   78,    0
 11036, 56184,20080214,   90,    0
 11036, 56184,20080215,   98,    0
 11036, 56184,20080216,   77,    0
 11036, 56184,20080217,   98,    0
 11036, 56184,20080218,   88,    0
 11036, 56184,20080219,  101,    0
 11036, 56184,20080220,  115,    0
 11036, 56184,20080221,  108,    0
 11036, 56184,20080222,  105,    0
 11036, 56184,20080223,   99,    0
 11036, 56184,20080224,   93,    0
 11036, 56184,20080225,  119,    0
 11036, 56184,20080226,  121,    0
 11036, 56184,20080227,  109,    0
 11036, 56184,20080228,  107,    0
 11036, 56184,20080229,  124,    0
 11036, 56184,20080301,  133,    0
 11036, 56184,20080302,  129,    0
 11036, 56184,20080303,  112,    0
 11036, 56184,20080304,  102,    0
 11036, 56184,20080305,   71,    0
 11036, 56184,20080306,   76,    0
 11036, 56184,20080307,   94,    0
 11036, 56184,20080308,  104,    0
 11036, 56184,20080309,  103,    0
 11036, 56184,20080310,   94,    0
 11036, 56184,20080311,  168,    0
 11036, 56184,20080312,  172,    0
 11036, 56184,20080313,  116,    0
 11036, 56184,20080314,  104,    0
 11036, 56184,20080315,  111,    0
 11036, 56184,20080316,  133,    0
 11036, 56184,20080317,  117,    0
 11036, 56184,20080318,  103,    0
 11036, 56184,20080319,  113,    0
 11036, 56184,20080320,   89,    0
 11036, 56184,20080321,  115,    0
 11036, 56184,20080322,  123,    0
 11036, 56184,20080323,   87,    0
 11036, 56184,20080324,  115,    0
 11036, 56184,20080325,  151,    0
 11036, 56184,20080326,  118,    0
 11036, 56184,20080327,  105,    0
 11036, 56184,20080328,  106,    0
 11036, 56184,20080329,  126,    0
 11036, 56184,20080330,  130,    0
 11036, 56184,20080331,  124,    0
 11036, 56184,20080401,  138,    0
 11036, 56184,20080402,  142,    0
 11036, 56184,20080403,  136,    0
 11036, 56184,20080404,  112,    0
 11036, 56184,20080405,  125,    0
 11036, 56184,20080406,  144,    0
 11036, 56184,20080407,  108,    0
 11036, 56184,20080408,  139,    0
 11036, 56184,20080409,  145,    0
 11036, 56184,20080410,  164,    0
 11036, 56184,20080411,  131,    0
 11036, 56184,20080412,  109,    0
 11036, 56184,20080413,  121,    0
 11036, 56184,20080414,  127,    0
 11036, 56184,20080415,  112,    0
 11036, 56184,20080416,  118,    0
 11036, 56184,20080417,  124,    0
 11036, 56184,20080418,  131,    0
 11036, 56184,20080419,  138,    0
 11036, 56184,20080420,  120,    0
 11036, 56184,20080421,  142,    0
 11036, 56184,20080422,  153,    0
 11036, 56184,20080423,  137,    0
 11036, 56184,20080424,  149,    0
 11036, 56184,20080425,  150,    0
 11036, 56184,20080426,  156,    0
 11036, 56184,20080427,  150,    0
 11036, 56184,20080428,  145,    0
 11036, 56184,20080429,  144,    0
 11036, 56184,20080430,  159,    0
 11036, 56184,20080501,  138,    0
 11036, 56184,20080502,  154,    0
 11036, 56184,20080503,  162,    0
 11036, 56184,20080504,  167,    0
 11036, 56184,20080505,  179,    0
 11036, 56184,20080506,  174,    0
 11036, 56184,20080507,  179,    0
 11036, 56184,20080508,  172,    0
 11036, 56184,20080509,  130,    0
 11036, 56184,20080510,  126,    0
 11036, 56184,20080511,  151,    0
 11036, 56184,20080512,  150,    0
 11036, 56184,20080513,  152,    0
 11036, 56184,20080514,  151,    0
 11036, 56184,20080515,  167,    0
 11036, 56184,20080516,  174,    0
 11036, 56184,20080517,  150,    0
 11036, 56184,20080518,  161,    0
 11036, 56184,20080519,  152,    0
 11036, 56184,20080520,  179,    0
 11036, 56184,20080521,  169,    0
 11036, 56184,20080522,  173,    0
 11036, 56184,20080523,  173,    0
 11036, 56184,20080524,  185,    0
 11036, 56184,20080525,  154,    0
 11036, 56184,20080526,  167,    0
 11036, 56184,20080527,  159,    0
 11036, 56184,20080528,  166,    0
 11036, 56184,20080529,  169,    0
 11036, 56184,20080530,  187,    0
 11036, 56184,20080531,  172,    0
 11036, 56184,20080601,  174,    0
 11036, 56184,20080602,  177,    0
 11036, 56184,20080603,  185,    0
 11036, 56184,20080604,  177,    0
 11036, 56184,20080605,  185,    0
 11036, 56184,20080606,  183,    0
 11036, 56184,20080607,  177,    0
 11036, 56184,20080608,  169,    0
 11036, 56184,20080609,  179,    0
 11036, 56184,20080610,  172,    0
 11036, 56184,20080611,-9999,    9
 11036, 56184,20080612,  213,    0
 11036, 56184,20080613,  207,    0
 11036, 56184,20080614,  193,    0
 11036, 56184,20080615,  190,    0
 11036, 56184,20080616,  201,    0
 11036, 56184,20080617,  210,    0
 11036, 56184,20080618,  209,    0
 11036, 56184,20080619,  217,    0
 11036, 56184,20080620,  223,    0
 11036, 56184,20080621,  234,    0
 11036, 56184,20080622,  248,    0
 11036, 56184,20080623,  259,    0
 11036, 56184,20080624,  249,    0
 11036, 56184,20080625,  248,    0
 11036, 56184,20080626,  257,    0
 11036, 56184,20080627,  248,    0
 11036, 56184,20080628,  249,    0
 11036, 56184,20080629,  246,    0
 11036, 56184,20080630,  252,    0
 11036, 56184,20080701,  249,    0
 11036, 56184,20080702,  248,    0
 11036, 56184,20080703,  255,    0
 11036, 56184,20080704,  234,    0
 11036, 56184,20080705,  246,    0
