EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONTSEC, SPAIN (STAID: 11055)
Blended and updated with sources:56355 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11055, 56355,20080101,   39,    0
 11055, 56355,20080102,    7,    0
 11055, 56355,20080103,   -4,    0
 11055, 56355,20080104,   -2,    0
 11055, 56355,20080105,   25,    0
 11055, 56355,20080106,   68,    0
 11055, 56355,20080107,   76,    0
 11055, 56355,20080108,   33,    0
 11055, 56355,20080109,   42,    0
 11055, 56355,20080110,   34,    0
 11055, 56355,20080111,   12,    0
 11055, 56355,20080112,  -22,    0
 11055, 56355,20080113,   21,    0
 11055, 56355,20080114,    0,    0
 11055, 56355,20080115,   -5,    0
 11055, 56355,20080116,   -6,    0
 11055, 56355,20080117,    5,    0
 11055, 56355,20080118,   76,    0
 11055, 56355,20080119,   81,    0
 11055, 56355,20080120,  115,    0
 11055, 56355,20080121,  111,    0
 11055, 56355,20080122,   74,    0
 11055, 56355,20080123,   60,    0
 11055, 56355,20080124,   45,    0
 11055, 56355,20080125,   55,    0
 11055, 56355,20080126,   53,    0
 11055, 56355,20080127,   63,    0
 11055, 56355,20080128,  102,    0
 11055, 56355,20080129,   71,    0
 11055, 56355,20080130,   45,    0
 11055, 56355,20080131,   11,    0
 11055, 56355,20080201,    9,    0
 11055, 56355,20080202,   -2,    0
 11055, 56355,20080203,   -3,    0
 11055, 56355,20080204,   -4,    0
 11055, 56355,20080205,   23,    0
 11055, 56355,20080206,   57,    0
 11055, 56355,20080207,   92,    0
 11055, 56355,20080208,   68,    0
 11055, 56355,20080209,   37,    0
 11055, 56355,20080210,   35,    0
 11055, 56355,20080211,    9,    0
 11055, 56355,20080212,   -6,    0
 11055, 56355,20080213,   -7,    0
 11055, 56355,20080214,  -10,    0
 11055, 56355,20080215,   10,    0
 11055, 56355,20080216,   24,    0
 11055, 56355,20080217,   -4,    0
 11055, 56355,20080218,   -4,    0
 11055, 56355,20080219,   17,    0
 11055, 56355,20080220,   32,    0
 11055, 56355,20080221,   41,    0
 11055, 56355,20080222,   58,    0
 11055, 56355,20080223,   64,    0
 11055, 56355,20080224,   45,    0
 11055, 56355,20080225,   42,    0
 11055, 56355,20080226,   55,    0
 11055, 56355,20080227,   70,    0
 11055, 56355,20080228,   60,    0
 11055, 56355,20080229,   60,    0
 11055, 56355,20080301,   72,    0
 11055, 56355,20080302,  110,    0
 11055, 56355,20080303,   85,    0
 11055, 56355,20080304,  -27,    0
 11055, 56355,20080305,  -81,    0
 11055, 56355,20080306,  -49,    0
 11055, 56355,20080307,   19,    0
 11055, 56355,20080308,   27,    0
 11055, 56355,20080309,    0,    0
 11055, 56355,20080310,  -11,    0
 11055, 56355,20080311,   49,    0
 11055, 56355,20080312,   68,    0
 11055, 56355,20080313,   79,    0
 11055, 56355,20080314,  105,    0
 11055, 56355,20080315,  102,    0
 11055, 56355,20080316,   38,    0
 11055, 56355,20080317,   54,    0
