EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ULLDEMOLINS, SPAIN (STAID: 11082)
Blended and updated with sources:56598 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11082, 56598,20080401,-9999,    9
 11082, 56598,20080402,-9999,    9
 11082, 56598,20080403,-9999,    9
 11082, 56598,20080404,-9999,    9
 11082, 56598,20080405,-9999,    9
 11082, 56598,20080406,-9999,    9
 11082, 56598,20080407,-9999,    9
 11082, 56598,20080408,-9999,    9
 11082, 56598,20080409,-9999,    9
 11082, 56598,20080410,-9999,    9
 11082, 56598,20080411,-9999,    9
 11082, 56598,20080412,-9999,    9
 11082, 56598,20080413,-9999,    9
 11082, 56598,20080414,-9999,    9
 11082, 56598,20080415,-9999,    9
 11082, 56598,20080416,-9999,    9
 11082, 56598,20080417,-9999,    9
 11082, 56598,20080418,  104,    0
 11082, 56598,20080419,  111,    0
 11082, 56598,20080420,   92,    0
 11082, 56598,20080421,   95,    0
 11082, 56598,20080422,  110,    0
 11082, 56598,20080423,  150,    0
 11082, 56598,20080424,  168,    0
 11082, 56598,20080425,  160,    0
 11082, 56598,20080426,  171,    0
 11082, 56598,20080427,  161,    0
 11082, 56598,20080428,  128,    0
 11082, 56598,20080429,  116,    0
 11082, 56598,20080430,  124,    0
 11082, 56598,20080501,  125,    0
 11082, 56598,20080502,  163,    0
 11082, 56598,20080503,  176,    0
 11082, 56598,20080504,  193,    0
 11082, 56598,20080505,  185,    0
 11082, 56598,20080506,  158,    0
 11082, 56598,20080507,  151,    0
 11082, 56598,20080508,  142,    0
 11082, 56598,20080509,  108,    0
 11082, 56598,20080510,   97,    0
 11082, 56598,20080511,  108,    0
 11082, 56598,20080512,  111,    0
 11082, 56598,20080513,  136,    0
 11082, 56598,20080514,  120,    0
 11082, 56598,20080515,  144,    0
 11082, 56598,20080516,  139,    0
 11082, 56598,20080517,  126,    0
 11082, 56598,20080518,  125,    0
 11082, 56598,20080519,  103,    0
 11082, 56598,20080520,  134,    0
 11082, 56598,20080521,  159,    0
 11082, 56598,20080522,  163,    0
 11082, 56598,20080523,  171,    0
 11082, 56598,20080524,  153,    0
 11082, 56598,20080525,  126,    0
 11082, 56598,20080526,  141,    0
 11082, 56598,20080527,  124,    0
 11082, 56598,20080528,  136,    0
 11082, 56598,20080529,  150,    0
 11082, 56598,20080530,  168,    0
 11082, 56598,20080531,  140,    0
 11082, 56598,20080601,  140,    0
 11082, 56598,20080602,  151,    0
 11082, 56598,20080603,  144,    0
 11082, 56598,20080604,  156,    0
 11082, 56598,20080605,  151,    0
 11082, 56598,20080606,  147,    0
 11082, 56598,20080607,  132,    0
 11082, 56598,20080608,  139,    0
 11082, 56598,20080609,  145,    0
 11082, 56598,20080610,  140,    0
 11082, 56598,20080611,  150,    0
 11082, 56598,20080612,  182,    0
 11082, 56598,20080613,  173,    0
 11082, 56598,20080614,  168,    0
 11082, 56598,20080615,  181,    0
 11082, 56598,20080616,  174,    0
 11082, 56598,20080617,  159,    0
 11082, 56598,20080618,  188,    0
 11082, 56598,20080619,  229,    0
 11082, 56598,20080620,  241,    0
 11082, 56598,20080621,  249,    0
 11082, 56598,20080622,  238,    0
 11082, 56598,20080623,  239,    0
 11082, 56598,20080624,  231,    0
 11082, 56598,20080625,  229,    0
 11082, 56598,20080626,  246,    0
 11082, 56598,20080627,  207,    0
 11082, 56598,20080628,  228,    0
 11082, 56598,20080629,  243,    0
 11082, 56598,20080630,  238,    0
 11082, 56598,20080701,  243,    0
 11082, 56598,20080702,  228,    0
 11082, 56598,20080703,  204,    0
 11082, 56598,20080704,  211,    0
 11082, 56598,20080705,  260,    0
 11082, 56598,20080706,  238,    0
 11082, 56598,20080707,  191,    0
 11082, 56598,20080708,  193,    0
 11082, 56598,20080709,  212,    0
 11082, 56598,20080710,  234,    0
 11082, 56598,20080711,  243,    0
 11082, 56598,20080712,  183,    0
 11082, 56598,20080713,  157,    0
 11082, 56598,20080714,  179,    0
 11082, 56598,20080715,  202,    0
 11082, 56598,20080716,  207,    0
 11082, 56598,20080717,  210,    0
 11082, 56598,20080718,  209,    0
 11082, 56598,20080719,  242,    0
 11082, 56598,20080720,  248,    0
 11082, 56598,20080721,  204,    0
 11082, 56598,20080722,  199,    0
 11082, 56598,20080723,  217,    0
 11082, 56598,20080724,  231,    0
