EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BLACKPOOL SQUIRES GATE, UNITED KINGDOM (STAID: 11102)
Blended and updated with sources:56831 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11102, 56831,20130101,   66,    0
 11102, 56831,20130102,   79,    0
 11102, 56831,20130103,   78,    0
 11102, 56831,20130104,   86,    0
 11102, 56831,20130105,   71,    0
 11102, 56831,20130106,   67,    0
 11102, 56831,20130107,   79,    0
 11102, 56831,20130108,   86,    1
 11102, 56831,20130109,   21,    0
 11102, 56831,20130110,   13,    0
 11102, 56831,20130111,   28,    0
 11102, 56831,20130112,   31,    1
 11102, 56831,20130113,   -2,    0
 11102, 56831,20130114,   23,    0
 11102, 56831,20130115,   14,    1
 11102, 56831,20130116,  -14,    0
 11102, 56831,20130117,   -5,    0
 11102, 56831,20130118,    3,    0
 11102, 56831,20130119,   -3,    0
 11102, 56831,20130120,   13,    1
 11102, 56831,20130121,    5,    0
 11102, 56831,20130122,    7,    0
 11102, 56831,20130123,   -4,    0
 11102, 56831,20130124,    3,    0
 11102, 56831,20130125,   16,    0
 11102, 56831,20130126,   39,    0
 11102, 56831,20130127,   57,    0
 11102, 56831,20130128,   70,    0
 11102, 56831,20130129,   79,    0
 11102, 56831,20130130,   75,    0
 11102, 56831,20130131,   69,    0
 11102, 56831,20130201,   65,    0
 11102, 56831,20130202,   45,    0
 11102, 56831,20130203,   40,    0
 11102, 56831,20130204,   63,    0
 11102, 56831,20130205,   39,    0
 11102, 56831,20130206,   43,    0
 11102, 56831,20130207,   35,    0
 11102, 56831,20130208,   47,    1
 11102, 56831,20130209,   32,    0
 11102, 56831,20130210,   32,    0
 11102, 56831,20130211,   27,    0
 11102, 56831,20130212,    5,    0
 11102, 56831,20130213,   29,    0
 11102, 56831,20130214,   33,    0
 11102, 56831,20130215,   58,    0
 11102, 56831,20130216,   45,    0
 11102, 56831,20130217,   52,    0
 11102, 56831,20130218,   40,    0
 11102, 56831,20130219,   22,    0
 11102, 56831,20130220,   12,    0
 11102, 56831,20130221,   24,    0
 11102, 56831,20130222,   13,    0
 11102, 56831,20130223,   18,    0
 11102, 56831,20130224,   25,    0
 11102, 56831,20130225,   38,    0
 11102, 56831,20130226,   41,    0
 11102, 56831,20130227,   21,    0
 11102, 56831,20130228,   14,    0
 11102, 56831,20130301,   37,    0
 11102, 56831,20130302,   16,    0
 11102, 56831,20130303,   37,    0
 11102, 56831,20130304,   39,    0
 11102, 56831,20130305,   49,    0
 11102, 56831,20130306,   41,    0
 11102, 56831,20130307,   68,    0
 11102, 56831,20130308,   65,    1
 11102, 56831,20130309,   44,    1
 11102, 56831,20130310,   32,    1
 11102, 56831,20130311,   -3,    0
 11102, 56831,20130312,   11,    0
 11102, 56831,20130313,   35,    0
 11102, 56831,20130314,    7,    0
 11102, 56831,20130315,   61,    0
 11102, 56831,20130316,   47,    0
 11102, 56831,20130317,   48,    0
 11102, 56831,20130318,   27,    0
 11102, 56831,20130319,   27,    0
 11102, 56831,20130320,   39,    0
 11102, 56831,20130321,   25,    1
 11102, 56831,20130322,   12,    0
 11102, 56831,20130323,   12,    0
 11102, 56831,20130324,   24,    0
 11102, 56831,20130325,   31,    0
 11102, 56831,20130326,   24,    0
 11102, 56831,20130327,   25,    0
 11102, 56831,20130328,   24,    0
 11102, 56831,20130329,   15,    0
 11102, 56831,20130330,   15,    0
 11102, 56831,20130331,   13,    0
 11102, 56831,20130401,   27,    0
 11102, 56831,20130402,   22,    0
 11102, 56831,20130403,   37,    0
 11102, 56831,20130404,   49,    0
 11102, 56831,20130405,   48,    0
 11102, 56831,20130406,   29,    0
 11102, 56831,20130407,   30,    0
 11102, 56831,20130408,   58,    0
 11102, 56831,20130409,   60,    0
 11102, 56831,20130410,   42,    0
 11102, 56831,20130411,   49,    0
 11102, 56831,20130412,   72,    0
 11102, 56831,20130413,   78,    0
 11102, 56831,20130414,  117,    0
 11102, 56831,20130415,  108,    0
 11102, 56831,20130416,   98,    0
 11102, 56831,20130417,  103,    0
 11102, 56831,20130418,   86,    0
 11102, 56831,20130419,   81,    0
 11102, 56831,20130420,   65,    0
 11102, 56831,20130421,   77,    0
 11102, 56831,20130422,   90,    0
 11102, 56831,20130423,   97,    0
 11102, 56831,20130424,  104,    1
 11102, 56831,20130425,   87,    0
 11102, 56831,20130426,   76,    0
 11102, 56831,20130427,   57,    0
 11102, 56831,20130428,   79,    0
 11102, 56831,20130429,   86,    0
 11102, 56831,20130430,   84,    0
 11102, 56831,20130501,   78,    0
 11102, 56831,20130502,   72,    0
 11102, 56831,20130503,  108,    0
 11102, 56831,20130504,  102,    0
 11102, 56831,20130505,  119,    0
 11102, 56831,20130506,  115,    0
 11102, 56831,20130507,  148,    0
 11102, 56831,20130508,  146,    1
 11102, 56831,20130509,   91,    0
 11102, 56831,20130510,  106,    0
 11102, 56831,20130511,   94,    0
 11102, 56831,20130512,   88,    0
 11102, 56831,20130513,   87,    0
 11102, 56831,20130514,   79,    0
 11102, 56831,20130515,   92,    0
 11102, 56831,20130516,   90,    0
 11102, 56831,20130517,  105,    0
 11102, 56831,20130518,   99,    0
 11102, 56831,20130519,  109,    0
 11102, 56831,20130520,  121,    0
 11102, 56831,20130521,  117,    0
 11102, 56831,20130522,  109,    0
 11102, 56831,20130523,   83,    0
 11102, 56831,20130524,  102,    0
 11102, 56831,20130525,   76,    0
 11102, 56831,20130526,   82,    0
 11102, 56831,20130527,   92,    0
 11102, 56831,20130528,  112,    0
 11102, 56831,20130529,  112,    0
 11102, 56831,20130530,  143,    1
 11102, 56831,20130531,  115,    0
 11102, 56831,20130601,  111,    0
 11102, 56831,20130602,  114,    0
 11102, 56831,20130603,  108,    0
 11102, 56831,20130604,  145,    0
 11102, 56831,20130605,  129,    0
 11102, 56831,20130606,  134,    0
 11102, 56831,20130607,  140,    0
 11102, 56831,20130608,  135,    0
 11102, 56831,20130609,  130,    0
 11102, 56831,20130610,  130,    0
 11102, 56831,20130611,  138,    0
 11102, 56831,20130612,  141,    0
 11102, 56831,20130613,  143,    0
 11102, 56831,20130614,  141,    0
 11102, 56831,20130615,  129,    0
 11102, 56831,20130616,  142,    0
 11102, 56831,20130617,  164,    0
 11102, 56831,20130618,  154,    0
 11102, 56831,20130619,  156,    0
 11102, 56831,20130620,  134,    0
 11102, 56831,20130621,  156,    0
 11102, 56831,20130622,  137,    0
 11102, 56831,20130623,  132,    0
 11102, 56831,20130624,  133,    0
 11102, 56831,20130625,  136,    0
 11102, 56831,20130626,  141,    0
 11102, 56831,20130627,  131,    0
 11102, 56831,20130628,  132,    0
 11102, 56831,20130629,  142,    0
 11102, 56831,20130630,  161,    1
 11102, 56831,20130701,  140,    0
 11102, 56831,20130702,  133,    0
 11102, 56831,20130703,  149,    0
 11102, 56831,20130704,  159,    0
 11102, 56831,20130705,  154,    0
 11102, 56831,20130706,  140,    0
 11102, 56831,20130707,  160,    0
 11102, 56831,20130708,  183,    0
 11102, 56831,20130709,  171,    0
 11102, 56831,20130710,  197,    0
 11102, 56831,20130711,  147,    0
 11102, 56831,20130712,  173,    0
 11102, 56831,20130713,  181,    0
 11102, 56831,20130714,  144,    0
 11102, 56831,20130715,  147,    0
 11102, 56831,20130716,  157,    0
 11102, 56831,20130717,  193,    0
 11102, 56831,20130718,  186,    0
 11102, 56831,20130719,  215,    0
 11102, 56831,20130720,  201,    0
 11102, 56831,20130721,  186,    0
 11102, 56831,20130722,  208,    0
 11102, 56831,20130723,  198,    0
 11102, 56831,20130724,  188,    0
 11102, 56831,20130725,  200,    0
 11102, 56831,20130726,  167,    0
 11102, 56831,20130727,  187,    0
 11102, 56831,20130728,  180,    0
 11102, 56831,20130729,  190,    0
 11102, 56831,20130730,  179,    0
 11102, 56831,20130731,  184,    0
 11102, 56831,20130801,  218,    0
 11102, 56831,20130802,  188,    0
 11102, 56831,20130803,  182,    0
 11102, 56831,20130804,  183,    1
 11102, 56831,20130805,  165,    0
 11102, 56831,20130806,  166,    0
 11102, 56831,20130807,  153,    0
 11102, 56831,20130808,  146,    0
 11102, 56831,20130809,  167,    0
 11102, 56831,20130810,  167,    0
 11102, 56831,20130811,  161,    0
 11102, 56831,20130812,  161,    0
 11102, 56831,20130813,  157,    0
 11102, 56831,20130814,  172,    0
 11102, 56831,20130815,  192,    1
 11102, 56831,20130816,  173,    0
 11102, 56831,20130817,  164,    0
 11102, 56831,20130818,  163,    0
 11102, 56831,20130819,  163,    0
 11102, 56831,20130820,  175,    0
 11102, 56831,20130821,  171,    0
 11102, 56831,20130822,  188,    0
 11102, 56831,20130823,  186,    1
 11102, 56831,20130824,  168,    0
 11102, 56831,20130825,  167,    0
 11102, 56831,20130826,  170,    0
 11102, 56831,20130827,  154,    0
 11102, 56831,20130828,  159,    0
 11102, 56831,20130829,  164,    0
 11102, 56831,20130830,  175,    1
 11102, 56831,20130831,  150,    0
 11102, 56831,20130901,  151,    0
 11102, 56831,20130902,  170,    0
 11102, 56831,20130903,  180,    0
 11102, 56831,20130904,  167,    0
 11102, 56831,20130905,  144,    1
 11102, 56831,20130906,  126,    0
 11102, 56831,20130907,  118,    0
 11102, 56831,20130908,  108,    0
 11102, 56831,20130909,  126,    0
 11102, 56831,20130910,  130,    0
