EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WISLEY, UNITED KINGDOM (STAID: 11112)
Blended and updated with sources:56883 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11112, 56883,20140101,   83,    0
 11112, 56883,20140102,   85,    0
 11112, 56883,20140103,   84,    0
 11112, 56883,20140104,   81,    0
 11112, 56883,20140105,   67,    0
 11112, 56883,20140106,   72,    0
 11112, 56883,20140107,  101,    0
 11112, 56883,20140108,   98,    1
 11112, 56883,20140109,   90,    0
 11112, 56883,20140110,   71,    0
 11112, 56883,20140111,   67,    0
 11112, 56883,20140112,   33,    0
 11112, 56883,20140113,   61,    0
 11112, 56883,20140114,   51,    0
 11112, 56883,20140115,   60,    0
 11112, 56883,20140116,   87,    0
 11112, 56883,20140117,   74,    0
 11112, 56883,20140118,   85,    0
 11112, 56883,20140119,   74,    0
 11112, 56883,20140120,   43,    0
 11112, 56883,20140121,   41,    0
 11112, 56883,20140122,   51,    0
 11112, 56883,20140123,   57,    0
 11112, 56883,20140124,   54,    0
 11112, 56883,20140125,   81,    0
 11112, 56883,20140126,   70,    0
 11112, 56883,20140127,   52,    0
 11112, 56883,20140128,   67,    1
 11112, 56883,20140129,   46,    0
 11112, 56883,20140130,   44,    0
 11112, 56883,20140131,   48,    0
 11112, 56883,20140201,   48,    0
 11112, 56883,20140202,   71,    0
 11112, 56883,20140203,   65,    0
 11112, 56883,20140204,   67,    0
 11112, 56883,20140205,   78,    0
 11112, 56883,20140206,   84,    0
 11112, 56883,20140207,   69,    0
 11112, 56883,20140208,   68,    0
 11112, 56883,20140209,   75,    0
 11112, 56883,20140210,   65,    0
 11112, 56883,20140211,   56,    0
 11112, 56883,20140212,   57,    0
 11112, 56883,20140213,   59,    0
 11112, 56883,20140214,   75,    0
 11112, 56883,20140215,   79,    0
 11112, 56883,20140216,   63,    0
 11112, 56883,20140217,   63,    0
 11112, 56883,20140218,   91,    0
 11112, 56883,20140219,   73,    0
 11112, 56883,20140220,   97,    0
 11112, 56883,20140221,   66,    0
 11112, 56883,20140222,   81,    0
 11112, 56883,20140223,   92,    0
 11112, 56883,20140224,  105,    0
 11112, 56883,20140225,   95,    0
 11112, 56883,20140226,   78,    0
 11112, 56883,20140227,   83,    0
 11112, 56883,20140228,   70,    0
 11112, 56883,20140301,   48,    0
 11112, 56883,20140302,   59,    0
 11112, 56883,20140303,   52,    0
 11112, 56883,20140304,   56,    0
 11112, 56883,20140305,   56,    0
 11112, 56883,20140306,   89,    0
 11112, 56883,20140307,  107,    0
 11112, 56883,20140308,  103,    0
 11112, 56883,20140309,  131,    0
 11112, 56883,20140310,   77,    0
 11112, 56883,20140311,   91,    0
 11112, 56883,20140312,   92,    0
 11112, 56883,20140313,   92,    0
 11112, 56883,20140314,   87,    0
 11112, 56883,20140315,  105,    0
 11112, 56883,20140316,  132,    0
 11112, 56883,20140317,   98,    0
 11112, 56883,20140318,  104,    0
 11112, 56883,20140319,  119,    0
 11112, 56883,20140320,   98,    0
 11112, 56883,20140321,   92,    0
 11112, 56883,20140322,   73,    0
 11112, 56883,20140323,   60,    0
 11112, 56883,20140324,   43,    0
 11112, 56883,20140325,   72,    0
 11112, 56883,20140326,   38,    0
 11112, 56883,20140327,   50,    0
