EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSTMARK-ASARNA, SWEDEN (STAID: 11208)
Blended and updated with sources:71325 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11208, 71325,20131101,   55,    0
 11208, 71325,20131102,   30,    0
 11208, 71325,20131103,   29,    0
 11208, 71325,20131104,   59,    0
 11208, 71325,20131105,   40,    0
 11208, 71325,20131106,   16,    0
 11208, 71325,20131107,    2,    0
 11208, 71325,20131108,   27,    0
 11208, 71325,20131109,   50,    0
 11208, 71325,20131110,    7,    0
 11208, 71325,20131111,  -21,    0
 11208, 71325,20131112,   60,    0
 11208, 71325,20131113,    7,    0
 11208, 71325,20131114,   -7,    0
 11208, 71325,20131115,   48,    0
 11208, 71325,20131116,   96,    0
 11208, 71325,20131117,   25,    0
 11208, 71325,20131118,   28,    0
 11208, 71325,20131119,   12,    0
 11208, 71325,20131120,  -44,    0
 11208, 71325,20131121,  -36,    0
 11208, 71325,20131122,  -80,    0
 11208, 71325,20131123, -100,    0
 11208, 71325,20131124,  -99,    0
 11208, 71325,20131125,  -31,    0
 11208, 71325,20131126,  -76,    0
 11208, 71325,20131127,   18,    0
 11208, 71325,20131128,   32,    0
 11208, 71325,20131129,  -19,    0
 11208, 71325,20131130,  -15,    0
 11208, 71325,20131201,   19,    0
 11208, 71325,20131202,  -38,    0
 11208, 71325,20131203,   29,    0
 11208, 71325,20131204,  -17,    0
 11208, 71325,20131205,    7,    0
 11208, 71325,20131206,  -22,    0
 11208, 71325,20131207,  -81,    0
 11208, 71325,20131208,  -94,    0
 11208, 71325,20131209,  -43,    0
 11208, 71325,20131210,   -3,    0
 11208, 71325,20131211,   -5,    0
 11208, 71325,20131212,   48,    0
 11208, 71325,20131213,  -39,    0
 11208, 71325,20131214,  -14,    0
 11208, 71325,20131215,   25,    0
 11208, 71325,20131216,   64,    0
 11208, 71325,20131217,   13,    0
 11208, 71325,20131218,  -14,    0
 11208, 71325,20131219,   38,    0
 11208, 71325,20131220,   27,    0
 11208, 71325,20131221,   44,    0
 11208, 71325,20131222,   50,    0
 11208, 71325,20131223,   10,    0
 11208, 71325,20131224,   51,    0
 11208, 71325,20131225,   53,    0
 11208, 71325,20131226,   43,    0
 11208, 71325,20131227,   20,    0
 11208, 71325,20131228,   50,    0
 11208, 71325,20131229,   32,    0
 11208, 71325,20131230,  -22,    0
 11208, 71325,20131231,   36,    0
 11208, 71325,20140101,   27,    0
 11208, 71325,20140102,   17,    0
 11208, 71325,20140103,   26,    0
 11208, 71325,20140104,   47,    0
 11208, 71325,20140105,   13,    0
 11208, 71325,20140106,   15,    0
 11208, 71325,20140107,   61,    0
 11208, 71325,20140108,   56,    0
 11208, 71325,20140109,   28,    0
 11208, 71325,20140110,  -12,    0
 11208, 71325,20140111,  -70,    0
 11208, 71325,20140112, -133,    0
 11208, 71325,20140113, -153,    0
 11208, 71325,20140114,  -82,    0
 11208, 71325,20140115,  -69,    0
 11208, 71325,20140116,  -63,    0
