EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PUIGCERDA, SPAIN (STAID: 11347)
Blended and updated with sources:73109 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11347, 73109,20160101,-9999,    9
 11347, 73109,20160102,-9999,    9
 11347, 73109,20160103,-9999,    9
 11347, 73109,20160104,   49,    0
 11347, 73109,20160105,   33,    0
 11347, 73109,20160106,  115,    0
 11347, 73109,20160107,  177,    0
 11347, 73109,20160108,  176,    0
 11347, 73109,20160109,  193,    0
 11347, 73109,20160110,  128,    0
 11347, 73109,20160111,   81,    0
 11347, 73109,20160112,    4,    0
 11347, 73109,20160113,-9999,    9
 11347, 73109,20160114,-9999,    9
 11347, 73109,20160115,-9999,    9
 11347, 73109,20160116,-9999,    9
 11347, 73109,20160117,-9999,    9
 11347, 73109,20160118,-9999,    9
 11347, 73109,20160119,-9999,    9
 11347, 73109,20160120,-9999,    9
 11347, 73109,20160121,-9999,    9
 11347, 73109,20160122,-9999,    9
 11347, 73109,20160123,-9999,    9
 11347, 73109,20160124,-9999,    9
 11347, 73109,20160125,-9999,    9
 11347, 73109,20160126,-9999,    9
 11347, 73109,20160127,-9999,    9
 11347, 73109,20160128,-9999,    9
 11347, 73109,20160129,-9999,    9
 11347, 73109,20160130,-9999,    9
 11347, 73109,20160131,-9999,    9
 11347, 73109,20160201,-9999,    9
 11347, 73109,20160202,-9999,    9
 11347, 73109,20160203,-9999,    9
 11347, 73109,20160204,   49,    0
 11347, 73109,20160205,   83,    0
 11347, 73109,20160206,  134,    0
 11347, 73109,20160207,  181,    0
 11347, 73109,20160208,  193,    0
 11347, 73109,20160209,  192,    0
 11347, 73109,20160210,  136,    0
 11347, 73109,20160211,   83,    0
 11347, 73109,20160212,    5,    0
 11347, 73109,20160213,-9999,    9
 11347, 73109,20160214,-9999,    9
 11347, 73109,20160215,-9999,    9
 11347, 73109,20160216,-9999,    9
 11347, 73109,20160217,-9999,    9
 11347, 73109,20160218,-9999,    9
 11347, 73109,20160219,-9999,    9
 11347, 73109,20160220,-9999,    9
 11347, 73109,20160221,-9999,    9
 11347, 73109,20160222,-9999,    9
 11347, 73109,20160223,-9999,    9
 11347, 73109,20160224,-9999,    9
 11347, 73109,20160225,-9999,    9
 11347, 73109,20160226,-9999,    9
 11347, 73109,20160227,-9999,    9
 11347, 73109,20160228,-9999,    9
 11347, 73109,20160229,-9999,    9
 11347, 73109,20160301,-9999,    9
 11347, 73109,20160302,-9999,    9
 11347, 73109,20160303,-9999,    9
 11347, 73109,20160304,   80,    0
 11347, 73109,20160305,   96,    0
 11347, 73109,20160306,  135,    0
 11347, 73109,20160307,  195,    0
 11347, 73109,20160308,  215,    0
 11347, 73109,20160309,  177,    0
 11347, 73109,20160310,  140,    0
 11347, 73109,20160311,   81,    0
 11347, 73109,20160312,    5,    0
 11347, 73109,20160313,-9999,    9
 11347, 73109,20160314,-9999,    9
 11347, 73109,20160315,-9999,    9
 11347, 73109,20160316,-9999,    9
 11347, 73109,20160317,-9999,    9
 11347, 73109,20160318,-9999,    9
 11347, 73109,20160319,-9999,    9
 11347, 73109,20160320,-9999,    9
 11347, 73109,20160321,-9999,    9
 11347, 73109,20160322,-9999,    9
 11347, 73109,20160323,   51,    0
 11347, 73109,20160324,   76,    0
 11347, 73109,20160325,   74,    0
 11347, 73109,20160326,   97,    0
 11347, 73109,20160327,   90,    0
 11347, 73109,20160328,   70,    0
 11347, 73109,20160329,   77,    0
 11347, 73109,20160330,  103,    0
 11347, 73109,20160331,  109,    0
 11347, 73109,20160401,   49,    0
 11347, 73109,20160402,   49,    0
 11347, 73109,20160403,   80,    0
 11347, 73109,20160404,   70,    0
 11347, 73109,20160405,   52,    0
 11347, 73109,20160406,   79,    0
 11347, 73109,20160407,   67,    0
 11347, 73109,20160408,   26,    0
 11347, 73109,20160409,   58,    0
 11347, 73109,20160410,   74,    0
 11347, 73109,20160411,   79,    0
 11347, 73109,20160412,   91,    0
 11347, 73109,20160413,   78,    0
 11347, 73109,20160414,   88,    0
 11347, 73109,20160415,  116,    0
 11347, 73109,20160416,  118,    0
 11347, 73109,20160417,   94,    0
 11347, 73109,20160418,   83,    0
 11347, 73109,20160419,  107,    0
 11347, 73109,20160420,  124,    0
 11347, 73109,20160421,   73,    0
 11347, 73109,20160422,   80,    0
 11347, 73109,20160423,   81,    0
 11347, 73109,20160424,   67,    0
 11347, 73109,20160425,   73,    0
 11347, 73109,20160426,   75,    0
 11347, 73109,20160427,   83,    0
 11347, 73109,20160428,   55,    0
 11347, 73109,20160429,   85,    0
 11347, 73109,20160430,   54,    0
 11347, 73109,20160501,   33,    0
 11347, 73109,20160502,   83,    0
 11347, 73109,20160503,   96,    0
 11347, 73109,20160504,  117,    0
 11347, 73109,20160505,  133,    0
 11347, 73109,20160506,   98,    0
 11347, 73109,20160507,   96,    0
 11347, 73109,20160508,   98,    0
 11347, 73109,20160509,   89,    0
 11347, 73109,20160510,   79,    0
 11347, 73109,20160511,   79,    0
 11347, 73109,20160512,   81,    0
 11347, 73109,20160513,   94,    0
 11347, 73109,20160514,  106,    0
 11347, 73109,20160515,  111,    0
 11347, 73109,20160516,  104,    0
 11347, 73109,20160517,  116,    0
 11347, 73109,20160518,  114,    0
 11347, 73109,20160519,  121,    0
 11347, 73109,20160520,  140,    0
 11347, 73109,20160521,  162,    0
 11347, 73109,20160522,  117,    0
 11347, 73109,20160523,   94,    0
 11347, 73109,20160524,  120,    0
 11347, 73109,20160525,  156,    0
 11347, 73109,20160526,  163,    0
 11347, 73109,20160527,  175,    0
 11347, 73109,20160528,  155,    0
 11347, 73109,20160529,  106,    0
 11347, 73109,20160530,   92,    0
 11347, 73109,20160531,  100,    0
 11347, 73109,20160601,  115,    0
 11347, 73109,20160602,  134,    0
 11347, 73109,20160603,  135,    0
 11347, 73109,20160604,  119,    0
 11347, 73109,20160605,  138,    0
 11347, 73109,20160606,  148,    0
 11347, 73109,20160607,  158,    0
 11347, 73109,20160608,  174,    0
 11347, 73109,20160609,  172,    0
 11347, 73109,20160610,  153,    0
 11347, 73109,20160611,  152,    0
 11347, 73109,20160612,  158,    0
 11347, 73109,20160613,  154,    0
 11347, 73109,20160614,  136,    0
 11347, 73109,20160615,  140,    0
 11347, 73109,20160616,  105,    0
 11347, 73109,20160617,  110,    0
 11347, 73109,20160618,  103,    0
 11347, 73109,20160619,  120,    0
 11347, 73109,20160620,  151,    0
 11347, 73109,20160621,  189,    0
 11347, 73109,20160622,  206,    0
 11347, 73109,20160623,  212,    0
 11347, 73109,20160624,  200,    0
 11347, 73109,20160625,  156,    0
 11347, 73109,20160626,  154,    0
 11347, 73109,20160627,  164,    0
 11347, 73109,20160628,  192,    0
 11347, 73109,20160629,  181,    0
 11347, 73109,20160630,  165,    0
 11347, 73109,20160701,  177,    0
 11347, 73109,20160702,  181,    0
 11347, 73109,20160703,  195,    0
 11347, 73109,20160704,  184,    0
 11347, 73109,20160705,  174,    0
 11347, 73109,20160706,  191,    0
 11347, 73109,20160707,  208,    0
 11347, 73109,20160708,  179,    0
 11347, 73109,20160709,  192,    0
 11347, 73109,20160710,  203,    0
 11347, 73109,20160711,  202,    0
 11347, 73109,20160712,  170,    0
 11347, 73109,20160713,  134,    0
 11347, 73109,20160714,  125,    0
 11347, 73109,20160715,  138,    0
 11347, 73109,20160716,  164,    0
 11347, 73109,20160717,  191,    0
 11347, 73109,20160718,  209,    0
 11347, 73109,20160719,  228,    0
 11347, 73109,20160720,  210,    0
 11347, 73109,20160721,  211,    0
 11347, 73109,20160722,  159,    0
 11347, 73109,20160723,  159,    0
 11347, 73109,20160724,  173,    0
 11347, 73109,20160725,  187,    0
 11347, 73109,20160726,  188,    0
 11347, 73109,20160727,  186,    0
 11347, 73109,20160728,  191,    0
 11347, 73109,20160729,  211,    0
 11347, 73109,20160730,  235,    0
 11347, 73109,20160731,  192,    0
 11347, 73109,20160801,  176,    0
 11347, 73109,20160802,  193,    0
 11347, 73109,20160803,  215,    0
 11347, 73109,20160804,  220,    0
 11347, 73109,20160805,  179,    0
 11347, 73109,20160806,  169,    0
 11347, 73109,20160807,  190,    0
 11347, 73109,20160808,  205,    0
 11347, 73109,20160809,  153,    0
 11347, 73109,20160810,  145,    0
 11347, 73109,20160811,  137,    0
 11347, 73109,20160812,  165,    0
 11347, 73109,20160813,  181,    0
 11347, 73109,20160814,  192,    0
 11347, 73109,20160815,  181,    0
 11347, 73109,20160816,  171,    0
 11347, 73109,20160817,  171,    0
 11347, 73109,20160818,  186,    0
 11347, 73109,20160819,  204,    0
 11347, 73109,20160820,  171,    0
 11347, 73109,20160821,  160,    0
 11347, 73109,20160822,  180,    0
 11347, 73109,20160823,  203,    0
 11347, 73109,20160824,  209,    0
 11347, 73109,20160825,  200,    0
 11347, 73109,20160826,  200,    0
 11347, 73109,20160827,  201,    0
 11347, 73109,20160828,  213,    0
 11347, 73109,20160829,  167,    0
 11347, 73109,20160830,  160,    0
 11347, 73109,20160831,  180,    0
 11347, 73109,20160901,  193,    0
 11347, 73109,20160902,  192,    0
 11347, 73109,20160903,  177,    0
 11347, 73109,20160904,  195,    0
 11347, 73109,20160905,  210,    0
 11347, 73109,20160906,  209,    0
 11347, 73109,20160907,  187,    0
 11347, 73109,20160908,  177,    0
 11347, 73109,20160909,  174,    0
 11347, 73109,20160910,  166,    0
 11347, 73109,20160911,  172,    0
 11347, 73109,20160912,  184,    0
 11347, 73109,20160913,  178,    0
 11347, 73109,20160914,  140,    0
 11347, 73109,20160915,  101,    0
 11347, 73109,20160916,  122,    0
 11347, 73109,20160917,  118,    0
 11347, 73109,20160918,  108,    0
 11347, 73109,20160919,  130,    0
 11347, 73109,20160920,  124,    0
 11347, 73109,20160921,  134,    0
 11347, 73109,20160922,  137,    0
 11347, 73109,20160923,  129,    0
 11347, 73109,20160924,  129,    0
 11347, 73109,20160925,  122,    0
 11347, 73109,20160926,  115,    0
 11347, 73109,20160927,  129,    0
 11347, 73109,20160928,  132,    0
 11347, 73109,20160929,  129,    0
 11347, 73109,20160930,  124,    0
 11347, 73109,20161001,  128,    0
 11347, 73109,20161002,  136,    0
 11347, 73109,20161003,  140,    0
 11347, 73109,20161004,  151,    0
 11347, 73109,20161005,  136,    0
 11347, 73109,20161006,   94,    0
 11347, 73109,20161007,   97,    0
 11347, 73109,20161008,  112,    0
 11347, 73109,20161009,   93,    0
 11347, 73109,20161010,   89,    0
 11347, 73109,20161011,   79,    0
 11347, 73109,20161012,   76,    0
 11347, 73109,20161013,   96,    0
 11347, 73109,20161014,   92,    0
 11347, 73109,20161015,   88,    0
 11347, 73109,20161016,   96,    0
 11347, 73109,20161017,  108,    0
 11347, 73109,20161018,  114,    0
 11347, 73109,20161019,  105,    0
 11347, 73109,20161020,   83,    0
 11347, 73109,20161021,   66,    0
 11347, 73109,20161022,   69,    0
 11347, 73109,20161023,  118,    0
 11347, 73109,20161024,  137,    0
 11347, 73109,20161025,  123,    0
 11347, 73109,20161026,  121,    0
 11347, 73109,20161027,  104,    0
 11347, 73109,20161028,   90,    0
 11347, 73109,20161029,  110,    0
 11347, 73109,20161030,  104,    0
 11347, 73109,20161031,   94,    0
 11347, 73109,20161101,   81,    0
 11347, 73109,20161102,   83,    0
 11347, 73109,20161103,   81,    0
 11347, 73109,20161104,   71,    0
 11347, 73109,20161105,   87,    0
 11347, 73109,20161106,   45,    0
 11347, 73109,20161107,    9,    0
 11347, 73109,20161108,    9,    0
 11347, 73109,20161109,   32,    0
 11347, 73109,20161110,   42,    0
 11347, 73109,20161111,   45,    0
 11347, 73109,20161112,   50,    0
 11347, 73109,20161113,   62,    0
 11347, 73109,20161114,   39,    0
 11347, 73109,20161115,   54,    0
 11347, 73109,20161116,   74,    0
 11347, 73109,20161117,   71,    0
 11347, 73109,20161118,   47,    0
 11347, 73109,20161119,   47,    0
