EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TIVISSA, SPAIN (STAID: 11348)
Blended and updated with sources:73118 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11348, 73118,20160101,  108,    0
 11348, 73118,20160102,  101,    0
 11348, 73118,20160103,   81,    0
 11348, 73118,20160104,   93,    0
 11348, 73118,20160105,   82,    0
 11348, 73118,20160106,   79,    0
 11348, 73118,20160107,  137,    0
 11348, 73118,20160108,  158,    0
 11348, 73118,20160109,  125,    0
 11348, 73118,20160110,  126,    0
 11348, 73118,20160111,  129,    0
 11348, 73118,20160112,   93,    0
 11348, 73118,20160113,   73,    0
 11348, 73118,20160114,   77,    0
 11348, 73118,20160115,   68,    0
 11348, 73118,20160116,   46,    0
 11348, 73118,20160117,   49,    0
 11348, 73118,20160118,   75,    0
 11348, 73118,20160119,   70,    0
 11348, 73118,20160120,   62,    0
 11348, 73118,20160121,   63,    0
 11348, 73118,20160122,   80,    0
 11348, 73118,20160123,  100,    0
 11348, 73118,20160124,  101,    0
 11348, 73118,20160125,  117,    0
 11348, 73118,20160126,  110,    0
 11348, 73118,20160127,  108,    0
 11348, 73118,20160128,  100,    0
 11348, 73118,20160129,   84,    0
 11348, 73118,20160130,   85,    0
 11348, 73118,20160131,  120,    0
 11348, 73118,20160201,  130,    0
 11348, 73118,20160202,  102,    0
 11348, 73118,20160203,  101,    0
 11348, 73118,20160204,   66,    0
 11348, 73118,20160205,   80,    0
 11348, 73118,20160206,  105,    0
 11348, 73118,20160207,   96,    0
 11348, 73118,20160208,  116,    0
 11348, 73118,20160209,  143,    0
 11348, 73118,20160210,  115,    0
 11348, 73118,20160211,  102,    0
 11348, 73118,20160212,  131,    0
 11348, 73118,20160213,  149,    0
 11348, 73118,20160214,  100,    0
 11348, 73118,20160215,   67,    0
 11348, 73118,20160216,   43,    0
 11348, 73118,20160217,   35,    0
 11348, 73118,20160218,   53,    0
 11348, 73118,20160219,   58,    0
 11348, 73118,20160220,   71,    0
 11348, 73118,20160221,   97,    0
 11348, 73118,20160222,  114,    0
 11348, 73118,20160223,  119,    0
 11348, 73118,20160224,  115,    0
 11348, 73118,20160225,  109,    0
 11348, 73118,20160226,   97,    0
 11348, 73118,20160227,   41,    0
 11348, 73118,20160228,   61,    0
 11348, 73118,20160229,   75,    0
 11348, 73118,20160301,   88,    0
 11348, 73118,20160302,  124,    0
 11348, 73118,20160303,   94,    0
 11348, 73118,20160304,  106,    0
 11348, 73118,20160305,   83,    0
 11348, 73118,20160306,   71,    0
 11348, 73118,20160307,   66,    0
 11348, 73118,20160308,   75,    0
 11348, 73118,20160309,   69,    0
 11348, 73118,20160310,   71,    0
 11348, 73118,20160311,   80,    0
 11348, 73118,20160312,   79,    0
 11348, 73118,20160313,   78,    0
 11348, 73118,20160314,   65,    0
 11348, 73118,20160315,   50,    0
 11348, 73118,20160316,   74,    0
 11348, 73118,20160317,   77,    0
 11348, 73118,20160318,   83,    0
 11348, 73118,20160319,  103,    0
 11348, 73118,20160320,  106,    0
 11348, 73118,20160321,   98,    0
 11348, 73118,20160322,  101,    0
 11348, 73118,20160323,   99,    0
 11348, 73118,20160324,  116,    0
 11348, 73118,20160325,  128,    0
 11348, 73118,20160326,  141,    0
 11348, 73118,20160327,  134,    0
 11348, 73118,20160328,  123,    0
 11348, 73118,20160329,  157,    0
 11348, 73118,20160330,  143,    0
 11348, 73118,20160331,  122,    0
 11348, 73118,20160401,   90,    0
 11348, 73118,20160402,  113,    0
 11348, 73118,20160403,  124,    0
 11348, 73118,20160404,  119,    0
 11348, 73118,20160405,  106,    0
 11348, 73118,20160406,  116,    0
 11348, 73118,20160407,  114,    0
 11348, 73118,20160408,  100,    0
 11348, 73118,20160409,  125,    0
 11348, 73118,20160410,  141,    0
 11348, 73118,20160411,  140,    0
 11348, 73118,20160412,  145,    0
 11348, 73118,20160413,  142,    0
 11348, 73118,20160414,  152,    0
 11348, 73118,20160415,  150,    0
 11348, 73118,20160416,  160,    0
 11348, 73118,20160417,  155,    0
 11348, 73118,20160418,  136,    0
 11348, 73118,20160419,  124,    0
 11348, 73118,20160420,  138,    0
 11348, 73118,20160421,  146,    0
 11348, 73118,20160422,  124,    0
 11348, 73118,20160423,  151,    0
 11348, 73118,20160424,  132,    0
 11348, 73118,20160425,  111,    0
 11348, 73118,20160426,  139,    0
 11348, 73118,20160427,  120,    0
 11348, 73118,20160428,  100,    0
 11348, 73118,20160429,  112,    0
 11348, 73118,20160430,  119,    0
 11348, 73118,20160501,  110,    0
 11348, 73118,20160502,  130,    0
 11348, 73118,20160503,  158,    0
 11348, 73118,20160504,  148,    0
 11348, 73118,20160505,  152,    0
 11348, 73118,20160506,  141,    0
 11348, 73118,20160507,  144,    0
 11348, 73118,20160508,  137,    0
