EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PLJEVLJA, MONTENEGRO (STAID: 11375)
Blended and updated with sources:75530 913363 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11375, 75530,20160701,  222,    0
 11375, 75530,20160702,  215,    0
 11375, 75530,20160703,  216,    0
 11375, 75530,20160704,  177,    0
 11375, 75530,20160705,  189,    0
 11375, 75530,20160706,  193,    0
 11375, 75530,20160707,  194,    0
 11375, 75530,20160708,  179,    0
 11375, 75530,20160709,  204,    0
 11375,913363,20160710,  216,    0
 11375, 75530,20160711,  218,    0
 11375, 75530,20160712,  231,    0
 11375, 75530,20160713,  241,    0
 11375, 75530,20160714,  230,    0
 11375, 75530,20160715,  167,    0
 11375, 75530,20160716,  146,    0
 11375, 75530,20160717,  150,    0
 11375, 75530,20160718,  184,    0
 11375, 75530,20160719,  168,    0
 11375, 75530,20160720,  185,    0
 11375,913363,20160721,  191,    0
 11375, 75530,20160722,  214,    0
 11375, 75530,20160723,  235,    0
 11375, 75530,20160724,  231,    0
 11375, 75530,20160725,  204,    0
 11375, 75530,20160726,  201,    0
 11375, 75530,20160727,  227,    0
 11375, 75530,20160728,  226,    0
 11375, 75530,20160729,  217,    0
 11375, 75530,20160730,  226,    0
 11375, 75530,20160731,  219,    0
 11375, 75530,20160801,  210,    0
 11375, 75530,20160802,  190,    0
 11375, 75530,20160803,  193,    0
 11375, 75530,20160804,  192,    0
 11375, 75530,20160805,  231,    0
 11375, 75530,20160806,  168,    0
 11375, 75530,20160807,  158,    0
 11375, 75530,20160808,  183,    0
 11375, 75530,20160809,  202,    0
 11375, 75530,20160810,  217,    0
 11375, 75530,20160811,  165,    0
 11375, 75530,20160812,  148,    0
 11375, 75530,20160813,  130,    0
 11375, 75530,20160814,  157,    0
 11375, 75530,20160815,  188,    0
 11375, 75530,20160816,  198,    0
 11375, 75530,20160817,  199,    0
 11375, 75530,20160818,  199,    0
 11375, 75530,20160819,  199,    0
 11375, 75530,20160820,  131,    0
 11375, 75530,20160821,  215,    0
 11375, 75530,20160822,  168,    0
 11375,913363,20160823,  134,    0
 11375, 75530,20160824,  162,    0
 11375, 75530,20160825,  188,    0
 11375, 75530,20160826,  203,    0
 11375, 75530,20160827,  194,    0
 11375, 75530,20160828,  192,    0
 11375, 75530,20160829,  195,    0
 11375, 75530,20160830,  198,    0
 11375,913363,20160831,  205,    0
 11375, 75530,20160901,  193,    0
 11375, 75530,20160902,  185,    0
 11375, 75530,20160903,  172,    0
 11375, 75530,20160904,  180,    0
 11375, 75530,20160905,  161,    0
 11375, 75530,20160906,  136,    0
 11375, 75530,20160907,  162,    0
 11375, 75530,20160908,  186,    0
 11375, 75530,20160909,  172,    0
 11375, 75530,20160910,  188,    0
 11375, 75530,20160911,  183,    0
 11375, 75530,20160912,  200,    0
 11375, 75530,20160913,  190,    0
 11375, 75530,20160914,  181,    0
 11375, 75530,20160915,  177,    0
 11375, 75530,20160916,  191,    0
 11375, 75530,20160917,  189,    0
 11375, 75530,20160918,  160,    0
 11375, 75530,20160919,  161,    0
 11375, 75530,20160920,  133,    0
 11375, 75530,20160921,  132,    0
 11375, 75530,20160922,  128,    0
 11375, 75530,20160923,  116,    0
 11375, 75530,20160924,  113,    0
 11375, 75530,20160925,  106,    0
 11375, 75530,20160926,  120,    0
 11375, 75530,20160927,  110,    0
 11375, 75530,20160928,  123,    0
 11375, 75530,20160929,  132,    0
 11375, 75530,20160930,  142,    0
 11375, 75530,20161001,  145,    0
 11375, 75530,20161002,  149,    0
 11375, 75530,20161003,  173,    0
 11375, 75530,20161004,  134,    0
 11375, 75530,20161005,   71,    0
 11375, 75530,20161006,  -28,    0
 11375, 75530,20161007,   69,    0
 11375, 75530,20161008,   80,    0
 11375, 75530,20161009,   66,    0
 11375, 75530,20161010,   84,    0
 11375, 75530,20161011,   86,    0
 11375, 75530,20161012,   65,    0
 11375, 75530,20161013,   76,    0
 11375, 75530,20161014,  125,    0
 11375, 75530,20161015,  157,    0
 11375, 75530,20161016,  132,    0
 11375, 75530,20161017,  133,    0
 11375, 75530,20161018,  100,    0
 11375, 75530,20161019,  109,    0
 11375, 75530,20161020,  109,    0
 11375, 75530,20161021,  136,    0
 11375, 75530,20161022,  142,    0
 11375, 75530,20161023,   94,    0
 11375, 75530,20161024,  136,    0
 11375, 75530,20161025,  142,    0
 11375, 75530,20161026,  133,    0
 11375, 75530,20161027,  107,    0
 11375, 75530,20161028,   62,    0
 11375, 75530,20161029,   62,    0
 11375, 75530,20161030,   94,    0
 11375, 75530,20161031,   56,    0
 11375, 75530,20161101,   46,    0
 11375, 75530,20161102,   76,    0
 11375, 75530,20161103,  107,    0
 11375, 75530,20161104,   22,    0
 11375, 75530,20161105,   79,    0
 11375, 75530,20161106,  165,    0
 11375, 75530,20161107,  155,    0
 11375, 75530,20161108,   73,    0
 11375, 75530,20161109,   52,    0
 11375, 75530,20161110,   33,    0
 11375, 75530,20161111,   66,    0
 11375, 75530,20161112,   65,    0
 11375, 75530,20161113,   36,    0
 11375, 75530,20161114,    9,    0
 11375, 75530,20161115,   -2,    0
 11375, 75530,20161116,  -11,    0
 11375, 75530,20161117,   65,    0
 11375, 75530,20161118,   67,    0
 11375, 75530,20161119,   87,    0
 11375, 75530,20161120,  104,    0
 11375, 75530,20161121,   87,    0
 11375,913363,20161122,   78,    0
 11375, 75530,20161123,   70,    0
 11375, 75530,20161124,   61,    0
 11375, 75530,20161125,   29,    0
 11375, 75530,20161126,   71,    0
 11375, 75530,20161127,   58,    0
 11375, 75530,20161128,   30,    0
 11375, 75530,20161129,  -29,    0
 11375, 75530,20161130,  -22,    0
 11375, 75530,20161201,  -13,    0
 11375, 75530,20161202,   24,    0
 11375, 75530,20161203,   14,    0
 11375, 75530,20161204,   -9,    0
 11375, 75530,20161205,  -18,    0
 11375, 75530,20161206,   13,    0
 11375, 75530,20161207,  -18,    0
 11375, 75530,20161208,  -25,    0
 11375, 75530,20161209,    5,    0
 11375, 75530,20161210,    1,    0
 11375, 75530,20161211,   11,    0
 11375, 75530,20161212,  -13,    0
 11375, 75530,20161213,    3,    0
 11375, 75530,20161214,  -59,    0
 11375, 75530,20161215,  -28,    0
 11375, 75530,20161216,   -2,    0
 11375, 75530,20161217,  -31,    0
 11375, 75530,20161218,  -31,    0
 11375, 75530,20161219,  -21,    0
 11375, 75530,20161220,  -24,    0
 11375, 75530,20161221,  -22,    0
 11375, 75530,20161222,  -22,    0
 11375, 75530,20161223,  -14,    0
 11375, 75530,20161224,    4,    0
 11375, 75530,20161225,  -16,    0
 11375, 75530,20161226,   18,    0
 11375, 75530,20161227,   28,    0
 11375,913363,20161228,    7,    0
 11375, 75530,20161229,  -32,    0
 11375, 75530,20161230,  -35,    0
 11375, 75530,20161231,  -55,    0
 11375, 75530,20170101,  -72,    0
 11375, 75530,20170102,  -46,    0
 11375, 75530,20170103,  -27,    0
 11375, 75530,20170104,  -37,    0
 11375, 75530,20170105,  -39,    0
 11375, 75530,20170106,  -99,    0
 11375, 75530,20170107, -136,    0
 11375, 75530,20170108, -183,    0
 11375, 75530,20170109, -166,    0
 11375, 75530,20170110, -173,    0
 11375, 75530,20170111, -160,    0
 11375, 75530,20170112, -136,    0
 11375, 75530,20170113,  -26,    0
 11375, 75530,20170114,    6,    0
 11375, 75530,20170115,-9999,    9
 11375, 75530,20170116,  -59,    0
 11375, 75530,20170117,  -26,    0
 11375, 75530,20170118,  -38,    0
 11375, 75530,20170119,  -51,    0
 11375, 75530,20170120,  -33,    0
